Station Code,Distance from RB,Services from/to RB,Disruptions on path to RB
OST,213,0.0,795
OT,82,0.0,372
OTB,162,0.0,726
OVN,156,0.0,248
OW,114,0.0,445
PMO,190,0.0,269
PMR,189,0.0,269
PMW,188,0.0,272
PT,181,0.0,510
RAI,166,0.0,391
RAT,247,0.0,524
RB,0,0.0,0
RD,373,0.0,608
RH,168,0.0,727
RHN,183,0.0,357
RL,209,0.0,731
RLB,80,0.0,221
RM,163,0.0,421
RS,103,0.0,445
RSD,29,39.58064516129032,31
RSN,229,0.0,729
RSW,106,0.0,223
RTA,97,0.0,192
RTB,86,21.677419354838708,122
RTD,87,21.677419354838708,122
RTN,92,0.0,192
RTST,82,0.0,122
RTZ,83,0.0,122
RV,174,0.0,470
RVS,123,0.0,466
SBK,195,0.0,502
SD,162,0.0,294
SDA,362,0.0,598
SDM,91,21.64516129032258,192
SDT,77,0.0,122
SDTB,74,0.0,122
SGL,219,0.0,488
SGN,210,0.0,374
SHL,154,0.0,267
SK,346,0.0,527
SKND,345,0.0,527
SM,168,0.0,470
SN,197,0.0,503
SOG,217,0.0,489
SPTN,161,0.0,248
SPTZ,159,0.0,248
SRN,181,0.0,499
SSH,133,0.0,248
ST,161,0.0,294
STD,188,0.0,470
STM,357,0.0,604
STV,375,0.0,535
STZ,160,0.0,294
SWD,346,0.0,592
SWK,271,0.0,574
TB,74,0.0,359
TBG,194,0.0,763
TBR,69,0.0,378
TBU,73,0.0,380
TG,168,0.0,422
TL,128,0.0,197
TPSW,126,0.0,197
TWL,208,0.0,795
UHM,370,0.0,608
UHZ,367,0.0,608
UST,362,0.0,607
UT,142,0.0,197
UTG,173,0.0,268
UTLN,138,0.0,278
UTLR,140,0.0,292
UTO,145,0.0,270
UTT,138,0.0,287
UTVR,141,0.0,278
UTZL,144,0.0,270
VB,113,0.0,267
VD,199,0.0,729
VDL,211,0.0,489
VDM,362,0.0,605
VEM,191,0.0,729
VG,99,0.0,415
VH,133,0.0,248
VHP,255,0.0,866
VK,220,0.0,489
VL,163,0.0,421
VLB,171,0.0,529
VNDC,175,0.0,356
VNDW,174,0.0,356
VP,164,0.0,727
VRY,178,0.0,530
VS,46,43.29032258064516,0
VSS,45,41.064516129032256,0
VST,120,0.0,241
VSV,201,0.0,763
VTN,136,0.0,278
VZ,248,0.0,865
WAD,119,0.0,277
WADN,120,0.0,277
WADT,118,0.0,277
WC,130,0.0,469
WD,127,0.0,277
WDN,237,0.0,736
WF,166,0.0,726
WFM,359,0.0,607
WH,220,0.0,805
WK,362,0.0,530
WL,183,0.0,746
WM,180,0.0,294
WP,174,0.0,438
WR,389,0.0,616
WS,367,0.0,607
WSM,351,0.0,593
WT,139,0.0,421
WTV,163,0.0,728
WV,284,0.0,524
WW,222,0.0,782
WWW,223,0.0,782
WZ,220,0.0,523
YPB,117,0.0,270
ZA,150,0.0,200
ZB,354,0.0,601
ZBM,109,0.0,445
ZD,175,0.0,269
ZDK,178,0.0,272
ZH,347,0.0,592
ZL,229,0.0,510
