Station Code,Distance from LWC,Services from/to LWC,Disruptions on path to LWC
WADT,224,0.0,415
WC,202,0.0,367
WD,201,0.0,257
WDN,138,0.0,52
WF,182,0.0,367
WFM,75,0.0,40
WH,112,0.0,31
WK,41,0.0,20
WL,197,0.0,139
WM,225,0.0,313
WP,195,0.0,43
WR,109,0.0,64
WS,87,0.0,55
WSM,67,0.0,26
WT,293,0.0,468
WTV,177,0.0,116
WV,43,0.0,17
WW,190,0.0,121
WWW,189,0.0,121
WZ,107,0.0,31
YPB,238,0.0,333
ZA,196,0.0,381
ZB,74,0.0,49
ZBM,220,0.0,373
ZD,219,0.0,310
ZDK,222,0.0,313
ZH,39,31.451612903225808,10
ZL,98,0.0,17
ZLSH,103,0.0,31
ZLW,275,0.0,522
ZP,145,0.0,107
ZTM,233,0.0,330
ZTMO,232,0.0,415
ZV,186,0.0,119
ZVB,283,0.0,527
ZVT,236,0.0,326
ZWD,259,0.0,590
ZZS,222,0.0,313
