Station Code,Distance from HTO,Services from/to HTO,Disruptions on path to HTO
OST,116,0.032258064516129,368
OT,22,0.0,116
OTB,65,0.0,299
OVN,109,0.0,441
OW,17,31.096774193548388,0
PMO,113,0.0,426
PMR,112,0.0,425
PMW,111,0.0,428
PT,88,0.0,389
RAI,83,0.0,149
RAT,154,0.0,400
RB,97,0.0,445
RD,280,0.0,484
RH,71,0.0,302
RHN,90,0.0,276
RL,112,0.0,304
RLB,85,0.0,366
RM,85,0.0,135
RS,6,31.096774193548388,0
RSD,68,0.0,409
RSN,132,0.0,368
RSW,111,0.0,438
RTA,95,0.0,231
RTB,91,0.0,267
RTD,92,0.0,267
RTN,97,0.0,337
RTST,87,0.0,372
RTZ,88,0.0,372
RV,96,0.0,184
RVS,26,30.161290322580644,21
SBK,117,0.0,216
SD,69,0.0,170
SDA,269,0.0,474
SDM,96,0.0,337
SDT,62,0.0,147
SDTB,65,0.0,148
SGL,141,0.0,202
SGN,148,0.0,517
SHL,95,0.0,160
SK,253,0.0,417
SKND,252,0.0,417
SM,90,0.0,184
SN,119,0.0,217
SOG,139,0.0,203
SPTN,114,0.0,459
SPTZ,112,0.0,459
SRN,103,0.0,213
SSH,107,0.0,254
ST,68,0.0,170
STD,110,0.0,184
STM,264,0.0,480
STV,282,0.0,425
STZ,67,0.0,170
SWD,253,0.0,468
SWK,178,0.0,450
TB,23,28.258064516129032,73
TBG,97,0.0,336
TBR,28,28.258064516129032,86
TBU,24,28.258064516129032,86
TG,90,0.0,220
TL,35,0.0,116
TPSW,33,0.0,116
TWL,111,0.0,368
UHM,277,0.0,484
UHZ,274,0.0,484
UST,269,0.0,483
UT,49,0.0,73
UTG,111,0.0,463
UTLN,45,0.0,197
UTLR,52,0.0,146
UTO,52,0.0,146
UTT,54,0.0,146
UTVR,48,0.0,197
UTZL,51,0.0,146
VB,106,0.0,231
VD,102,0.0,302
VDL,133,0.0,203
VDM,269,0.0,481
VEM,94,0.0,302
VG,5,0.0,73
VH,107,0.0,254
VHP,158,0.0,439
VK,142,0.0,203
VL,85,0.0,219
VLB,74,0.0,84
VNDC,82,0.0,275
VNDW,81,0.0,275
VP,67,0.0,302
VRY,81,0.0,85
VS,143,0.0,447
VSS,142,0.0,447
VST,104,0.0,339
VSV,104,0.0,336
VTN,56,0.0,151
VZ,151,0.0,438
WAD,89,0.0,231
WADN,90,0.0,231
WADT,88,0.0,231
WC,33,30.161290322580644,24
WD,65,0.0,146
WDN,140,0.0,375
WF,69,0.0,299
WFM,266,0.0,483
WH,123,0.032258064516129,378
WK,269,0.0,420
WL,86,0.0,319
WM,104,0.0,428
WP,82,0.0,158
WR,296,0.0,492
WS,274,0.0,483
WSM,258,0.0,469
WT,61,0.0,135
WTV,66,0.0,301
WV,191,0.0,400
WW,125,0.0,355
WWW,126,0.0,355
WZ,127,0.0,399
YPB,102,0.0,231
ZA,57,0.0,119
ZB,261,0.0,477
ZBM,14,0.0,73
ZD,98,0.0,425
ZDK,101,0.0,428
ZH,254,0.0,468
ZL,136,0.032258064516129,386
ZLSH,141,0.0,400
ZLW,59,27.483870967741936,427
ZP,90,0.032258064516129,302
ZTM,97,0.0,231
ZTMO,96,0.0,231
ZV,75,0.0,299
ZVB,67,0.0,432
ZVT,115,0.0,442
ZWD,74,0.0,267
ZZS,101,0.0,428
