Station Code,distance_ODB,services_per_day_ODB,n_of_disruptions_ODB
GW,275,0,614
GZ,41,0,328
HAD,114,0.7419354838709677,318
HB,181,0,472
HBZM,42,0,125
HD,154,0,596
HDB,235,0,614
HDE,175,0,593
HDG,298,0,624
HDR,195,0,532
HDRZ,194,0,532
HFD,113,0,318
HGL,210,0,764
HGLG,208,0,764
HGLO,212,0,783
HGV,241,0,607
HGZ,310,0,683
HIL,107,0,318
HK,134,0,433
HKS,182,0,319
HLG,314,0,625
HLGH,315,0,629
HLM,118,0.7419354838709677,358
HLMS,119,0,395
HLO,148,0,437
HM,102,0,390
HMBH,103,0,394
HMBV,99,0,390
HMH,101,0,390
HMN,111,0,202
HN,172,0,263
HNK,173,0,319
HNO,205,0,607
HNP,330,0,627
HON,200,0,782
HOR,118,0,353
HR,259,0,607
HRL,185,0,441
HRLW,187,0,458
HRN,293,0,660
HRT,129,0,422
HT,74,0,341
HTN,98,0,252
HTNC,97,0,252
HTO,75,0,414
HVL,133,0,593
HVS,124,0,353
HVSM,125,0,354
HVSP,123,0,353
HWD,160,0,513
HWZB,126,0,395
HZE,100,0,396
IJT,313,0,625
KBD,39,0.0967741935483871,36
KBK,174,0,716
KLP,138,0,356
KMA,142,0,434
KMR,193,0,458
KMW,335,0,632
KPN,208,0,607
KPNZ,208,0,607
KRD,193,0,469
KRG,46,0.06451612903225806,36
KTR,104,0,199
KW,307,0,681
KZ,141,0,266
LAA,75,0.9354838709677419,308
LC,182,0,716
LDL,90,0,318
LDM,66,0,155
LEDN,89,0.9354838709677419,308
LG,188,0,458
LLS,179,0,497
LLZM,88,0,277
LP,325,0,687
LTN,153,0,379
LTV,200,0,718
LUT,170,0,441
LW,288,0,607
LWC,291,0,624
MAS,113,0,353
MDB,76,0.06451612903225806,36
MES,193,0,443
MG,298,0,624
MMLH,127,0,456
MP,221,0,607
MRB,227,0,614
MRN,124,0,356
MT,187,0,441
MTH,308,0,683
MTN,190,0,443
MTR,188,0,443
MZ,110,0,401
NDB,130,0,354
NH,178,0,472
NKK,138,0,593
NM,117,0,435
NMD,112,0,438
NMGO,114,0,439
NMH,120,0,456
NML,118,0,456
NS,166,0,593
NSCH,343,0,690
NVD,223,0,789
NVP,108,0,318
NWK,66,0,250
O,93,0,414
OBD,166,0,523
ODB,0,0,0
ODZ,221,0,783
OMN,216,0,614
OP,108,0,202
OST,191,0,782
OT,60,0,341
OTB,140,0,713
OVN,120,0,395
OW,92,0,417
PMO,154,0,264
PMR,153,0,263
PMW,152,0,266
PT,145,0,596
RAI,130,0,316
RAT,211,0,607
RB,36,0.0967741935483871,36
RD,337,0,691
RH,146,0,716
RHN,147,0,359
RL,187,0,718
RLB,44,0,221
RM,141,0,390
RS,81,0,417
RSD,7,29.483870967741936,0
RSN,207,0,782
RSW,70,0,293
RTA,61,0,192
RTB,50,1.064516129032258,122
RTD,51,1.064516129032258,122
RTN,56,0,192
RTST,46,0,227
RTZ,47,0,227
RV,152,0,439
RVS,101,0,435
SBK,173,0,471
SD,126,0,377
SDA,326,0,681
SDM,55,1.064516129032258,192
SDT,41,0,124
SDTB,38,0,124
SGL,197,0,457
SGN,174,0,523
SHL,118,0.06451612903225806,192
SK,310,0,624
SKND,309,0,624
SM,146,0,439
SN,175,0,472
SOG,195,0,458
SPTN,125,0,413
SPTZ,123,0,413
SRN,159,0,468
SSH,97,0,318
ST,125,0,377
STD,166,0,439
STM,321,0,687
STV,339,0,632
STZ,124,0,377
SWD,310,0,675
SWK,235,0,657
TB,52,0,328
TBG,172,0,750
TBR,47,0,347
TBU,51,0,349
TG,146,0,475
TL,92,0,199
TPSW,90,0,199
TWL,180,0,628
UHM,334,0,691
UHZ,331,0,691
UST,326,0,690
UT,106,0,280
UTG,137,0,433
UTLN,102,0,280
UTLR,104,0,300
UTO,109,0,353
UTT,102,0,295
UTVR,105,0,280
UTZL,108,0,353
VB,77,0,337
VD,177,0,716
VDL,189,0,458
VDM,326,0,688
VEM,169,0,716
VG,77,0,384
VH,97,0,318
VHP,233,0,853
VK,198,0,458
VL,141,0,474
VLB,149,0,498
VNDC,139,0,358
VNDW,138,0,358
VP,142,0,716
VRY,156,0,499
VS,82,0.06451612903225806,38
VSS,81,0.06451612903225806,38
VST,84,0,311
VSV,179,0,750
VTN,100,0,286
VZ,226,0,852
WAD,83,0,277
WADN,84,0,277
WADT,82,0,277
WC,108,0,438
WD,91,0,285
