Station Code,Distance from HMBV,Services from/to HMBV,Disruptions on path to HMBV
OTB,108,0.0,416
OVN,150,0.0,503
OW,60,0.935483870967742,135
PMO,154,0.0,466
PMR,153,0.0,487
PMW,152,0.0,490
PT,129,0.0,448
RAI,124,0.0,211
RAT,195,0.0,462
RB,121,0.0,421
RD,321,0.0,546
RH,114,0.0,417
RHN,131,0.0,338
RL,155,0.0,421
RLB,111,0.0,601
RM,62,0.0,62
RS,49,0.935483870967742,135
RSD,92,0.0,385
RSN,175,0.0,419
RSW,137,0.0,603
RTA,128,0.0,455
RTB,117,0.0,502
RTD,118,0.0,385
RTN,123,0.0,455
RTST,113,0.0,502
RTZ,114,0.0,385
RV,54,0.0,52
RVS,69,0.0,156
SBK,94,0.0,143
SD,110,0.0,232
SDA,310,0.0,536
SDM,122,0.0,455
SDT,103,0.0,209
SDTB,105,0.0,502
SGL,118,0.0,129
SGN,189,0.0,579
SHL,136,0.0,222
SK,294,0.0,465
SKND,293,0.0,465
SM,60,0.0,66
SN,96,0.0,144
SOG,116,0.0,130
SPTN,155,0.0,503
SPTZ,153,0.0,503
SRN,80,0.0,140
SSH,148,0.0,316
ST,109,0.0,232
STD,87,0.0,111
STM,305,0.0,542
STV,323,0.0,473
STZ,108,0.0,232
SWD,294,0.0,530
SWK,219,0.0,512
TB,47,0.0,62
TBG,140,0.0,453
TBR,52,0.0,75
TBU,48,0.0,75
TG,47,0.0,33
TL,76,0.0,178
TPSW,74,0.0,178
TWL,154,0.0,485
UHM,318,0.0,546
UHZ,315,0.0,546
UST,310,0.0,545
UT,90,0.0,135
UTG,152,0.0,525
UTLN,86,0.0,259
UTLR,93,0.0,208
UTO,93,0.0,208
UTT,95,0.0,208
UTVR,89,0.0,259
UTZL,92,0.0,208
VB,144,0.0,647
VD,145,0.0,419
VDL,110,0.0,130
VDM,310,0.0,543
VEM,137,0.0,419
VG,38,27.90322580645161,105
VH,148,0.0,316
VHP,201,0.0,556
VK,119,0.0,130
VL,42,0.0,32
VLB,68,0.0,84
VNDC,123,0.0,337
VNDW,122,0.0,337
VP,110,0.0,417
VRY,61,0.0,84
VS,167,0.0,417
VSS,166,0.0,390
VST,145,0.0,401
VSV,147,0.0,453
VTN,97,0.0,213
VZ,194,0.0,555
WAD,130,0.0,293
WADN,131,0.0,293
WADT,129,0.0,293
WC,76,0.0,159
WD,106,0.0,208
WDN,183,0.0,426
WF,112,0.0,416
WFM,307,0.0,545
WH,166,0.0,495
WK,310,0.0,468
WL,129,0.0,436
WM,145,0.0,490
WP,123,0.0,220
WR,337,0.0,554
WS,315,0.0,545
WSM,299,0.0,531
WT,38,0.0,62
WTV,109,0.0,418
WV,232,0.0,462
WW,168,0.0,472
WWW,169,0.0,472
WZ,168,0.0,461
YPB,143,0.0,211
ZA,98,0.0,181
ZB,302,0.0,539
ZBM,55,0.0,135
ZD,139,0.0,487
ZDK,142,0.0,490
ZH,295,0.0,530
ZL,177,0.0,448
ZLSH,182,0.0,462
ZLW,83,0.0,403
ZP,133,0.0,419
ZTM,138,0.0,208
ZTMO,137,0.0,293
ZV,118,0.0,416
ZVB,91,0.0,408
ZVT,156,0.0,503
ZWD,100,0.0,502
ZZS,142,0.0,490
