Station Code,Distance from VNDW,Services from/to VNDW,Disruptions on path to VNDW
AC,58,0.0,140
AH,68,0.0,56
AHP,69,0.0,313
AHPR,71,0.0,313
AHZ,76,0.0,313
AKL,79,0.0,203
AKM,198,0.0,411
ALM,83,0.0,120
ALMB,89,0.0,251
ALMM,82,0.0,119
ALMO,91,0.0,251
ALMP,85,0.0,251
AMF,55,0.0,107
AMFS,58,0.0,347
AML,152,0.0,413
AMPO,80,0.0,119
AMR,112,0.0,392
AMRI,154,0.0,483
AMRN,113,0.0,467
ANA,142,0.0,478
APD,98,0.0,347
APDM,99,0.0,382
APDO,101,0.0,382
APG,261,0.0,441
APN,69,0.0,117
ARN,210,0.0,356
ASA,67,0.0,107
ASB,63,0.0,34
ASD,73,0.0,107
ASDL,80,0.0,365
ASDM,69,0.0,144
ASDZ,69,0.0,48
ASHD,62,0.0,267
ASN,199,0.0,361
ASS,77,0.0,365
ASSP,70,0.0,158
ATN,120,0.0,350
AVAT,61,0.0,353
BD,123,0.0,288
BDE,204,0.0,369
BDG,61,0.0,108
BDM,242,0.0,430
BDPB,128,0.0,611
BET,102,0.0,275
BF,246,0.0,430
BGN,158,0.0,355
BHDV,90,0.0,223
BHV,43,0.0,107
BK,197,0.0,370
BKF,131,0.0,450
BKG,130,0.0,446
BKL,46,35.67741935483871,107
BL,183,0.0,361
BLL,95,0.0,402
BMN,90,0.0,316
BMR,112,0.0,91
BN,147,0.0,383
BNC,66,0.0,57
BNK,26,36.54838709677419,34
BNN,69,0.0,73
BNZ,64,0.0,57
BP,240,0.0,364
BR,147,0.0,120
BRD,101,0.0,268
BRN,58,0.0,131
BSD,65,0.0,202
BSK,75,0.0,198
BSKS,76,0.0,221
BSMZ,57,0.0,108
BTL,92,0.0,275
BV,102,0.0,386
BZL,190,0.0,386
CAS,100,0.0,389
CK,102,0.0,88
CL,50,0.0,106
CO,176,0.0,381
CPS,79,0.0,192
CVM,214,0.0,387
DA,163,0.0,483
DB,22,36.54838709677419,2
DDN,137,0.0,331
DDR,107,0.0,234
DDRS,104,0.0,234
DDZD,108,0.0,351
DEI,220,0.0,364
DID,87,0.0,313
DL,133,0.0,361
DLD,46,0.0,127
DLN,180,0.0,395
DMN,72,0.0,158
DMNZ,67,0.0,110
DN,134,0.0,322
DR,84,0.0,313
DRH,100,0.0,403
DRON,132,0.0,265
DRP,227,0.0,378
DT,103,0.0,207
DTC,98,0.0,333
DTCH,96,0.0,333
DTCP,103,0.0,262
DV,113,0.0,347
DVC,117,0.0,382
DVD,65,0.0,107
DVN,77,0.0,315
DVNK,87,0.0,215
DWE,233,0.0,364
DZ,265,0.0,459
DZW,264,0.0,459
EC,177,0.0,367
ED,51,0.0,34
EDC,53,0.0,56
EDN,219,0.0,371
EEM,272,0.0,458
EGH,213,0.0,386
EGHM,214,0.0,386
EHS,111,0.0,351
EHV,112,0.0,275
EKZ,134,0.0,458
EML,78,0.0,347
EMN,196,0.0,396
EMNZ,192,0.0,395
ES,150,0.0,383
ESK,146,0.0,383
EST,79,0.0,313
ETN,134,0.0,611
FN,233,0.0,364
FWD,230,0.0,364
GBG,169,0.0,381
GD,66,0.0,107
GDG,63,0.0,107
GDM,58,0.0,159
GDR,103,0.0,350
GERP,225,0.0,414
GK,246,0.0,429
GLN,193,0.0,369
GN,227,0.0,414
GND,93,0.0,223
GNN,231,0.0,429
GO,127,0.0,323
GP,118,0.0,337
GR,84,0.0,221
GS,195,0.0,356
GV,95,0.0,192
GVC,94,0.0,110
GVM,95,0.0,300
GVMW,96,0.0,207
GW,203,0.0,418
GZ,113,0.0,290
HAD,96,0.0,386
HB,204,0.0,400
HBZM,96,0.0,233
HD,82,0.0,350
HDB,163,0.0,368
HDE,103,0.0,347
HDG,226,0.0,364
HDR,154,0.0,487
HDRZ,153,0.0,487
HFD,85,0.0,122
HGL,142,0.0,364
HGLG,140,0.0,364
HGLO,144,0.0,383
HGV,169,0.0,361
HGZ,238,0.0,437
HIL,102,0.0,215
HK,99,0.0,425
HKS,126,0.0,442
HLG,242,0.0,365
HLGH,243,0.0,369
HLM,92,0.0,365
HLMS,91,0.0,386
HLO,107,0.0,392
HM,125,0.0,318
HMBH,126,0.0,322
HMBV,122,0.0,337
HMH,124,0.0,337
HMN,89,0.0,205
HN,116,0.0,386
HNK,117,0.0,442
HNO,133,0.0,361
HNP,258,0.0,367
HON,132,0.0,382
HOR,46,0.0,107
HR,187,0.0,418
HRL,208,0.0,369
HRLW,210,0.0,386
HRN,221,0.0,414
HRT,152,0.0,350
HT,80,0.0,202
HTN,40,0.0,78
HTNC,41,0.0,106
HTO,81,0.0,275
HVL,61,0.0,347
HVS,52,0.0,107
HVSM,53,0.0,108
HVSP,51,0.0,107
HWD,119,0.0,468
HWZB,84,0.0,386
HZE,123,0.0,343
IJT,241,0.0,365
KBD,177,0.0,356
KBK,106,0.0,316
KLP,44,0.0,34
KMA,91,0.0,399
KMR,216,0.0,386
KMW,263,0.0,372
KPN,136,0.0,361
KPNZ,136,0.0,361
KRD,216,0.0,397
KRG,184,0.0,356
KTR,82,0.0,202
KW,235,0.0,435
KZ,85,0.0,389
LAA,95,0.0,139
LC,114,0.0,316
LDL,83,0.0,198
LDM,72,0.0,203
LEDN,84,0.0,205
LG,211,0.0,386
LLS,107,0.0,251
LLZM,79,0.0,192
LP,253,0.0,441
LTN,59,0.0,57
LTV,132,0.0,318
LUT,193,0.0,369
LW,216,0.0,347
LWC,219,0.0,364
MAS,41,35.67741935483871,107
MDB,214,0.0,383
MES,216,0.0,371
MG,226,0.0,364
MMLH,97,0.0,77
MP,149,0.0,361
MRB,155,0.0,368
MRN,14,36.58064516129032,0
MT,210,0.0,369
MTH,236,0.0,437
MTN,213,0.0,371
MTR,211,0.0,371
MZ,133,0.0,348
NDB,58,0.0,108
NH,201,0.0,400
NKK,66,0.0,347
NM,87,0.0,56
NMD,92,0.0,77
NMGO,90,0.0,77
NMH,90,0.0,77
NML,86,0.0,327
