Station Code,Distance from UTLR,Services from/to UTLR,Disruptions on path to UTLR
DDZD,74,0.0,287
DEI,189,0.0,330
DID,80,0.0,330
DL,102,0.0,327
DLD,15,0.0,93
DLN,149,0.0,361
DMN,41,0.0,124
DMNZ,36,0.0,76
DN,105,0.0,215
DR,77,0.0,330
DRH,69,0.0,369
DRON,101,0.0,231
DRP,196,0.0,344
DT,66,0.0,115
DTC,91,0.0,350
DTCH,89,0.0,350
DTCP,66,0.0,170
DV,82,0.0,313
DVC,86,0.0,348
DVD,34,0.0,73
DVN,70,0.0,332
DVNK,50,0.0,122
DWE,202,0.0,330
DZ,234,0.0,425
DZW,233,0.0,425
EC,148,0.0,260
ED,44,0.0,73
EDC,46,0.0,95
EDN,190,0.0,264
EEM,241,0.0,424
EGH,184,0.0,279
EGHM,185,0.0,279
EHS,82,0.0,149
EHV,83,0.0,149
EKZ,103,0.0,424
EML,47,0.0,313
EMN,165,0.0,362
EMNZ,161,0.0,361
ES,138,0.0,415
ESK,134,0.0,415
EST,72,0.0,330
ETN,105,0.0,482
FN,202,0.0,330
FWD,199,0.0,330
GBG,138,0.0,347
GD,29,37.516129032258064,15
GDG,26,37.516129032258064,15
GDM,29,36.25806451612903,73
GDR,96,0.0,367
GERP,194,0.0,380
GK,215,0.0,395
GLN,164,0.0,262
GN,196,0.0,380
GND,64,0.0,137
GNN,200,0.0,395
GO,115,0.0,355
GP,89,0.0,211
GR,55,0.0,135
GS,161,0.0,175
GV,58,0.0,100
GVC,57,36.45161290322581,100
GVM,58,0.0,207
GVMW,59,0.0,115
GW,172,0.0,384
GZ,84,0.0,161
HAD,65,0.0,352
HB,175,0.0,293
HBZM,67,0.0,147
HD,51,0.0,316
HDB,132,0.0,334
HDE,72,0.0,313
HDG,195,0.0,330
HDR,123,0.0,453
HDRZ,122,0.0,453
HFD,54,0.0,161
HGL,130,0.0,396
HGLG,128,0.0,396
HGLO,132,0.0,415
HGV,138,0.0,327
HGZ,207,0.0,403
HIL,65,0.0,122
HK,68,0.0,391
HKS,95,0.0,408
HLG,211,0.0,331
HLGH,212,0.0,335
HLM,61,0.0,331
HLMS,60,0.0,352
HLO,76,0.0,358
HM,96,0.0,211
HMBH,97,0.0,215
HMBV,93,0.0,211
HMH,95,0.0,211
HMN,60,0.0,119
HN,85,0.0,352
HNK,86,0.0,408
HNO,102,0.0,327
HNP,227,0.0,333
HON,101,0.0,348
HOR,15,0.0,73
HR,156,0.0,384
HRL,179,0.0,262
HRLW,181,0.0,279
HRN,190,0.0,380
HRT,123,0.0,243
HT,51,1.032258064516129,73
HTN,11,36.25806451612903,73
HTNC,12,36.25806451612903,101
HTO,52,0.0,146
HVL,30,0.0,313
HVS,21,0.0,73
HVSM,22,0.0,74
HVSP,20,0.0,73
HWD,88,0.0,434
HWZB,53,0.0,352
HZE,94,0.0,217
IJT,210,0.0,331
KBD,143,0.0,175
KBK,76,0.0,349
KLP,37,0.0,73
KMA,60,0.0,365
KMR,187,0.0,279
KMW,232,0.0,338
KPN,105,0.0,327
KPNZ,105,0.0,327
KRD,187,0.0,290
KRG,150,0.0,175
KTR,53,0.0,116
KW,204,0.0,401
KZ,54,0.0,355
LAA,58,0.0,129
LC,102,0.0,348
LDL,46,4.516129032258065,105
LDM,43,0.0,117
LEDN,47,4.516129032258065,112
LG,182,0.0,279
LLS,76,0.0,217
LLZM,42,36.45161290322581,100
LP,222,0.0,407
LTN,50,0.0,330
LTV,120,0.0,350
LUT,164,0.0,262
LW,185,0.0,313
LWC,188,0.0,330
MAS,10,0.0,73
MDB,180,0.0,202
MES,187,0.0,264
MG,195,0.0,330
MMLH,90,0.0,351
MP,118,0.0,327
MRB,124,0.0,334
MRN,23,0.0,105
MT,181,0.0,262
MTH,205,0.0,403
MTN,184,0.0,264
MTR,182,0.0,264
MZ,104,0.0,222
NDB,27,0.0,74
NH,172,0.0,293
NKK,35,0.0,313
NM,80,0.0,330
NMD,85,0.0,351
NMGO,83,0.0,351
NMH,83,0.0,351
NML,79,0.0,344
NS,63,0.0,313
NSCH,240,0.0,410
NVD,122,0.0,336
NVP,59,0.0,289
NWK,38,0.0,100
O,70,0.0,146
OBD,94,0.0,352
ODB,104,0.0,292
ODZ,141,0.0,415
OMN,113,0.0,334
OP,57,0.0,119
OST,92,0.0,379
OT,72,0.0,189
OTB,57,0.0,95
OVN,63,0.0,368
OW,69,0.0,146
PMO,67,0.0,331
PMR,66,0.0,352
PMW,65,0.0,355
PT,42,0.0,313
RAI,37,0.0,76
RAT,108,0.0,327
RB,140,0.0,292
RD,234,0.0,411
RH,71,0.0,331
RHN,46,0.0,108
RL,107,0.0,350
RLB,60,0.0,170
RM,135,0.0,211
RS,58,0.0,146
RSD,111,0.0,170
RSN,108,0.0,348
RSW,61,0.0,115
RTA,43,0.0,100
RTB,54,0.0,170
RTD,53,0.0,100
RTN,48,0.0,102
RTST,58,0.0,170
RTZ,57,0.0,170
RV,146,0.0,260
RVS,78,0.0,167
SBK,167,0.0,292
SD,23,0.0,97
SDA,223,0.0,401
SDM,57,0.0,170
SDT,68,0.0,147
SDTB,71,0.0,148
SGL,191,0.0,278
SGN,102,0.0,444
SHL,49,0.0,87
SK,207,0.0,330
SKND,206,0.0,330
SM,140,0.0,260
SN,169,0.0,293
SOG,189,0.0,279
SPTN,68,0.0,368
SPTZ,66,0.0,368
SRN,153,0.0,289
SSH,55,0.0,122
ST,22,0.0,97
STD,160,0.0,260
STM,218,0.0,407
STV,236,0.0,338
STZ,21,0.0,97
SWD,207,0.0,395
SWK,132,0.0,377
TB,73,0.0,146
TBG,97,0.0,367
TBR,78,0.0,159
TBU,74,0.0,159
TG,140,0.0,212
TL,41,35.225806451612904,116
TPSW,39,35.225806451612904,116
TWL,77,0.0,348
UHM,231,0.0,411
UHZ,228,0.0,411
UST,223,0.0,410
UT,3,50.74193548387097,0
UTG,65,0.0,390
UTLN,7,36.25806451612903,73
UTLR,0,0.0,0
UTO,6,0.0,73
UTT,2,49.70967741935484,0
UTVR,4,36.25806451612903,73
UTZL,5,0.0,73
VB,54,36.45161290322581,100
VD,97,0.0,348
VDL,183,0.0,279
VDM,223,0.0,408
VEM,81,0.0,350
VG,55,0.0,146
VH,55,0.0,122
VHP,130,0.0,337
VK,192,0.0,279
VL,135,0.0,211
VLB,112,0.0,393
VNDC,38,0.0,107
VNDW,37,0.0,107
VP,67,0.0,331
VRY,119,0.0,394
VS,186,0.0,202
VSS,185,0.0,175
VST,52,0.0,207
VSV,104,0.0,367
VTN,4,49.70967741935484,5
VZ,127,0.0,449
WAD,37,0.0,100
WADN,38,0.0,100
WADT,36,0.0,100
WC,85,0.0,170
WD,13,49.70967741935484,14
WDN,116,0.0,355
WF,53,0.0,95
WFM,220,0.0,410
WH,99,0.0,389
WK,223,0.0,333
WL,86,0.0,350
WM,58,0.0,355
WP,36,0.0,85
WR,250,0.0,419
WS,228,0.0,410
WSM,212,0.0,396
WT,111,0.0,211
WTV,66,0.0,332
WV,145,0.0,327
WW,125,0.0,386
WWW,126,0.0,386
WZ,81,0.0,326
YPB,50,36.45161290322581,103
ZA,63,0.0,119
ZB,215,0.0,404
ZBM,38,1.032258064516129,116
ZD,52,0.0,352
ZDK,55,0.0,355
ZH,208,0.0,395
ZL,90,0.0,313
ZLSH,95,0.0,327
ZLW,88,0.0,287
ZP,85,0.0,348
ZTM,45,28.032258064516128,100
ZTMO,44,36.45161290322581,100
ZV,75,0.0,330
ZVB,96,0.0,292
ZVT,69,0.0,368
ZWD,71,0.0,275
ZZS,55,0.0,355
