Station Code,Distance from SDT,Services from/to SDT,Disruptions on path to SDT
AC,89,0.0,264
AH,95,0.0,91
AHP,96,0.0,348
AHPR,98,0.0,350
AHZ,87,0.0,91
AKL,18,32.225806451612904,12
AKM,229,0.0,532
ALM,114,0.0,241
ALMB,120,0.0,372
ALMM,113,0.0,240
ALMO,122,0.0,372
ALMP,116,0.0,372
AMF,86,0.0,228
AMFS,89,0.0,468
AML,179,0.0,417
AMPO,111,0.0,240
AMR,132,0.0,434
AMRI,181,0.0,487
AMRN,133,0.0,509
ANA,162,0.0,520
APD,129,0.0,468
APDM,130,0.0,503
APDO,132,0.0,503
APG,292,0.0,562
APN,72,0.0,297
ARN,113,0.0,155
ASA,98,0.0,228
ASB,94,0.0,228
ASD,104,0.0,228
ASDL,109,0.0,239
ASDM,100,0.0,265
ASDZ,100,0.0,231
ASHD,95,0.0,242
ASN,230,0.0,482
ASS,108,0.0,486
ASSP,101,0.0,279
ATN,147,0.0,385
AVAT,92,0.0,474
BD,40,0.0,119
BDE,185,0.0,261
BDG,80,0.0,378
BDM,273,0.0,551
BDPB,35,0.0,124
BET,83,0.0,190
BF,277,0.0,551
BGN,61,0.0,124
BHDV,7,57.32258064516129,10
BHV,74,0.0,228
BK,178,0.0,261
BKF,162,0.0,571
BKG,161,0.0,567
BKL,77,0.0,231
BL,214,0.0,487
BLL,100,0.0,392
BMN,117,0.0,351
BMR,117,0.0,126
BN,174,0.0,418
BNC,105,0.0,469
BNK,71,0.0,155
BNN,102,0.0,468
BNZ,107,0.0,485
BP,271,0.0,499
BR,143,0.0,241
BRD,19,0.0,119
BRN,89,0.0,252
BSD,32,32.225806451612904,30
BSK,66,0.0,274
BSKS,65,0.0,274
BSMZ,88,0.0,229
BTL,73,0.0,147
BV,110,0.0,412
BZL,93,0.0,155
CAS,120,0.0,431
CK,107,0.0,123
CL,47,0.0,74
CO,207,0.0,502
CPS,41,0.0,191
CVM,195,0.0,278
DA,190,0.0,487
DB,75,0.0,199
DDN,164,0.0,366
DDR,10,56.32258064516129,2
DDRS,7,56.25806451612903,0
DDZD,11,0.0,119
DEI,251,0.0,499
DID,114,0.0,348
DL,164,0.0,482
DLD,77,0.0,248
DLN,211,0.0,516
DMN,103,0.0,279
DMNZ,98,0.0,231
DN,115,0.0,213
DR,111,0.0,348
DRH,105,0.0,411
DRON,163,0.0,386
DRP,258,0.0,513
DT,44,0.0,189
DTC,125,0.0,368
DTCH,123,0.0,368
DTCP,43,0.0,189
DV,140,0.0,351
DVC,144,0.0,417
DVD,96,0.0,228
DVN,104,0.0,350
DVNK,65,0.0,308
DWE,264,0.0,499
DZ,296,0.0,580
DZW,295,0.0,580
EC,158,0.0,258
ED,104,0.0,231
EDC,106,0.0,253
EDN,200,0.0,262
EEM,303,0.0,579
EGH,194,0.0,277
EGHM,195,0.0,277
EHS,92,0.0,266
EHV,93,0.0,147
EKZ,165,0.0,579
EML,109,0.0,471
EMN,227,0.0,517
EMNZ,223,0.0,516
ES,177,0.0,418
ESK,173,0.0,418
EST,84,0.0,77
ETN,51,0.0,442
FN,264,0.0,499
FWD,261,0.0,499
GBG,200,0.0,502
GD,54,0.0,189
GDG,57,0.0,274
GDM,39,32.225806451612904,31
GDR,130,0.0,385
GERP,256,0.0,535
GK,277,0.0,550
GLN,174,0.0,260
GN,258,0.0,535
GND,4,57.38709677419355,0
GNN,262,0.0,550
GO,154,0.0,358
GP,99,0.0,209
GR,13,57.32258064516129,10
GS,98,0.0,155
GV,52,0.0,290
GVC,53,0.0,305
GVM,57,0.0,305
GVMW,51,0.0,290
GW,234,0.0,489
GZ,50,0.0,442
HAD,93,0.0,315
HB,185,0.0,291
HBZM,1,34.064516129032256,0
HD,113,0.0,471
HDB,194,0.0,489
HDE,134,0.0,468
HDG,257,0.0,499
HDR,174,0.0,529
HDRZ,173,0.0,529
HFD,92,0.0,315
HGL,169,0.0,399
HGLG,167,0.0,399
HGLO,171,0.0,418
HGV,200,0.0,482
HGZ,269,0.0,558
HIL,86,0.0,315
HK,113,0.0,430
HKS,157,0.0,563
HLG,273,0.0,500
HLGH,274,0.0,504
HLM,97,0.0,355
HLMS,98,0.0,392
HLO,127,0.0,434
HM,106,0.0,209
HMBH,107,0.0,213
HMBV,103,0.0,209
HMH,105,0.0,209
HMN,70,0.0,77
HN,147,0.0,507
HNK,148,0.0,563
HNO,164,0.0,482
HNP,289,0.0,502
HON,159,0.0,417
HOR,77,0.0,228
HR,218,0.0,482
HRL,189,0.0,260
HRLW,191,0.0,277
HRN,252,0.0,535
HRT,133,0.0,241
HT,61,0.0,74
HTN,57,0.0,127
HTNC,56,0.0,127
HTO,62,0.0,147
HVL,92,0.0,468
HVS,83,0.0,228
HVSM,84,0.0,229
HVSP,82,0.0,228
HWD,139,0.0,510
HWZB,105,0.0,392
HZE,104,0.0,215
IJT,272,0.0,500
KBD,80,0.0,155
KBK,133,0.0,351
KLP,97,0.0,231
KMA,121,0.0,431
KMR,197,0.0,277
KMW,294,0.0,507
KPN,167,0.0,482
KPNZ,167,0.0,482
KRD,197,0.0,288
KRG,87,0.0,155
KTR,63,0.0,74
KW,266,0.0,556
KZ,116,0.0,510
LAA,54,0.0,305
LC,141,0.0,351
LDL,69,0.0,315
LDM,25,32.225806451612904,30
LEDN,68,0.0,305
LG,192,0.0,277
LLS,138,0.0,372
LLZM,67,0.0,274
LP,284,0.0,562
LTN,112,0.0,254
LTV,159,0.0,353
LUT,174,0.0,260
LW,247,0.0,482
LWC,250,0.0,499
MAS,72,0.0,228
MDB,117,0.0,155
MES,197,0.0,262
MG,257,0.0,499
MMLH,102,0.0,112
MP,180,0.0,482
MRB,186,0.0,489
MRN,83,0.0,231
MT,191,0.0,260
MTH,267,0.0,558
MTN,194,0.0,262
MTR,192,0.0,262
MZ,114,0.0,220
NDB,89,0.0,229
NH,182,0.0,291
NKK,97,0.0,468
NM,92,0.0,91
NMD,97,0.0,112
NMGO,95,0.0,112
NMH,95,0.0,112
NML,91,0.0,91
NS,125,0.0,468
NSCH,302,0.0,565
NVD,182,0.0,424
NVP,87,0.0,315
NWK,45,0.0,247
O,80,0.0,147
OBD,145,0.0,520
ODB,41,0.0,124
ODZ,180,0.0,418
OMN,175,0.0,489
OP,67,0.0,77
OST,150,0.0,417
OT,69,0.0,455
OTB,99,0.0,348
OVN,99,0.0,392
OW,79,0.0,150
PMO,129,0.0,508
PMR,128,0.0,507
PMW,127,0.0,510
PT,104,0.0,471
RAI,99,0.0,231
RAT,170,0.0,482
RB,77,0.0,155
RD,296,0.0,566
RH,105,0.0,351
RHN,106,0.0,234
RL,146,0.0,353
RLB,23,0.0,218
RM,145,0.0,209
RS,68,0.0,150
RSD,48,0.0,119
RSN,166,0.0,417
RSW,49,0.0,290
RTA,40,0.0,189
RTB,29,0.0,119
RTD,30,0.0,119
RTN,35,0.0,189
RTST,25,0.0,224
RTZ,26,0.0,224
RV,156,0.0,258
RVS,88,0.0,168
SBK,177,0.0,290
SD,85,0.0,252
SDA,285,0.0,556
SDM,34,0.0,189
SDT,0,0.0,0
SDTB,3,56.32258064516129,0
SGL,201,0.0,276
SGN,153,0.0,520
SHL,97,0.0,189
SK,269,0.0,499
SKND,268,0.0,499
SM,150,0.0,258
SN,179,0.0,291
SOG,199,0.0,277
