Station Code,distance_HNO,services_per_day_HNO,n_of_disruptions_HNO
AC,123,0,363
AH,88,0,93
AHP,87,0,97
AHPR,85,0,96
AHZ,96,0,350
AKL,146,0,452
AKM,89,0,64
ALM,93,0,25
ALMB,87,0,25
ALMM,94,0,156
ALMO,85,0,14
ALMP,91,0,30
AMF,78,0,14
AMFS,75,0,14
AML,33,37.87096774193548,12
AMPO,96,0,157
AMR,162,0,441
AMRI,35,37.83870967741935,82
AMRN,163,0,516
ANA,192,0,527
APD,58,0,14
APDM,59,0,49
APDO,55,0,90
APG,152,0,94
APN,134,0,264
ARN,277,0,638
ASA,120,0,159
ASB,120,0,159
ASD,123,0,156
ASDL,130,0,435
ASDM,119,0,273
ASDZ,122,0,156
ASHD,121,0,173
ASN,90,0,14
ASS,127,0,414
ASSP,118,0,273
ATN,116,0,104
AVAT,72,0,20
BD,190,0,413
BDE,232,0,552
BDG,126,0,255
BDM,133,0,83
BDPB,195,0,736
BET,169,0,443
BF,137,0,83
BGN,225,0,607
BHDV,157,0,472
BHV,90,0,258
BK,225,0,552
BKF,181,0,499
BKG,180,0,495
BKL,111,0,330
BL,74,0,19
BLL,145,0,451
BMN,66,0,90
BMR,132,0,385
BN,42,37.83870967741935,82
BNC,97,0,255
BNK,107,0,327
BNN,94,0,254
BNZ,99,0,271
BP,131,0,31
BR,167,0,414
BRD,166,0,497
BRN,87,0,254
BSD,132,0,451
BSK,140,0,345
BSKS,141,0,368
BSMZ,99,0,255
BTL,159,0,400
BV,152,0,474
BZL,257,0,638
CAS,150,0,438
CK,122,0,382
CL,117,0,355
CO,67,0,34
CPS,144,0,412
CVM,242,0,569
DA,44,0,82
DB,111,0,327
DDN,52,0,101
DDR,174,0,485
DDRS,171,0,483
DDZD,175,0,602
DEI,111,0,31
DID,105,0,102
DL,24,0,14
DLD,87,0,254
DLN,71,0,48
DMN,116,0,272
DMNZ,116,0,272
DN,195,0,466
DR,72,0,90
DRH,150,0,470
DRON,44,0,14
DRP,118,0,45
DT,168,0,427
DTC,116,0,122
DTCH,114,0,122
DTCP,168,0,482
DV,43,0,24
DVC,47,0,90
DVD,118,0,156
DVN,95,0,99
DVNK,152,0,362
DWE,124,0,31
DZ,156,0,112
DZW,155,0,112
EC,205,0,549
ED,105,0,350
EDC,107,0,372
EDN,247,0,553
EEM,163,0,111
EGH,241,0,568
EGHM,242,0,568
EHS,178,0,519
EHV,179,0,400
EKZ,184,0,507
EML,55,0,17
EMN,87,0,49
EMNZ,83,0,48
ES,55,37.87096774193548,101
ESK,51,37.83870967741935,101
EST,99,0,350
ETN,201,0,736
FN,124,0,31
FWD,121,0,31
GBG,60,0,34
GD,131,0,327
GDG,128,0,255
GDM,125,0,408
GDR,121,0,139
GERP,116,0,67
GK,137,0,82
GLN,221,0,551
GN,118,0,67
GND,160,0,472
GNN,122,0,82
GO,62,0,134
GP,185,0,462
GR,151,0,470
GS,262,0,638
GV,160,0,412
GVC,159,0,412
GVM,160,0,447
GVMW,161,0,427
GW,94,0,21
GZ,180,0,415
HAD,146,0,451
HB,232,0,582
HBZM,163,0,482
HD,51,0,14
HDB,54,0,21
HDE,30,0,14
HDG,117,0,31
HDR,204,0,536
HDRZ,203,0,536
HFD,138,0,280
HGL,47,37.87096774193548,82
HGLG,49,0,101
HGLO,49,0,101
HGV,60,0,14
HGZ,129,0,90
HIL,153,0,491
HK,149,0,474
HKS,176,0,491
HLG,133,0,32
HLGH,134,0,36
HLM,142,0,414
HLMS,141,0,435
HLO,157,0,441
HM,192,0,462
HMBH,193,0,466
HMBV,189,0,462
HMH,191,0,462
HMN,113,0,364
HN,166,0,435
HNK,167,0,491
HNO,0,0,0
HNP,149,0,34
HON,43,0,19
HOR,100,0,255
HR,78,0,14
HRL,236,0,551
HRLW,238,0,568
HRN,112,0,67
HRT,177,0,466
HT,147,0,327
HTN,107,0,327
HTNC,108,0,355
HTO,148,0,400
HVL,84,0,254
HVS,94,0,254
HVSM,95,0,255
HVSP,95,0,255
HWD,169,0,520
HWZB,134,0,438
HZE,190,0,468
IJT,132,0,32
KBD,244,0,638
KBK,67,0,50
KLP,112,0,372
KMA,141,0,451
KMR,244,0,568
KMW,154,0,39
KPN,27,0,14
KPNZ,27,0,14
KRD,244,0,579
KRG,251,0,638
KTR,120,0,364
KW,126,0,88
KZ,135,0,441
LAA,160,0,441
LC,75,0,142
LDL,148,0,345
LDM,139,0,452
LEDN,149,0,352
LG,239,0,568
LLS,69,0,14
LLZM,144,0,412
LP,144,0,94
LTN,104,0,271
LTV,94,0,92
LUT,221,0,551
LW,107,0,14
LWC,110,0,31
MAS,106,0,327
MDB,281,0,638
MES,244,0,553
MG,117,0,31
MMLH,117,0,371
MP,40,0,14
MRB,46,0,21
MRN,119,0,359
