Station Code,distance_HRL,services_per_day_HRL,n_of_disruptions_HRL
WD,192,0,259
WDN,227,0,534
WF,156,0,458
WFM,354,0,634
WH,210,0,537
WK,357,0,571
WL,173,0,478
WM,231,0,541
WP,209,0,271
WR,384,0,643
WS,362,0,634
WSM,346,0,620
WT,68,28.741935483870968,51
WTV,153,0,460
WV,279,0,551
WW,212,0,514
WWW,213,0,514
WZ,233,0,551
YPB,229,0,344
ZA,148,0,215
ZB,349,0,628
ZBM,141,0,186
ZD,225,0,538
ZDK,228,0,541
ZH,342,0,619
ZL,224,0,537
ZLSH,229,0,551
ZLW,169,0,454
ZP,177,0,461
ZTM,224,0,344
ZTMO,223,0,344
ZV,162,0,458
ZVB,177,0,459
ZVT,242,0,555
ZWD,186,0,553
ZZS,228,0,541
