Station Code,Distance from RTZ,Services from/to RTZ,Disruptions on path to RTZ
AC,75,0.0,206
AH,118,0.0,237
AHP,119,0.0,494
AHPR,121,0.0,496
AHZ,113,0.0,316
AKL,44,0.0,237
AKM,224,0.0,541
ALM,109,0.0,250
ALMB,115,0.0,381
ALMM,108,0.0,249
ALMO,117,0.0,381
ALMP,111,0.0,381
AMF,81,0.0,237
AMFS,84,0.0,477
AML,178,0.0,543
AMPO,106,0.0,249
AMR,106,0.0,324
AMRI,180,0.0,613
AMRN,107,0.0,399
ANA,136,0.0,410
APD,124,0.0,477
APDM,125,0.0,512
APDO,127,0.0,512
APG,287,0.0,571
APN,46,0.0,187
ARN,119,0.0,258
ASA,88,0.0,206
ASB,88,0.0,129
ASD,90,0.0,129
ASDL,83,0.0,129
ASDM,90,0.0,243
ASDZ,82,0.0,129
ASHD,89,0.0,143
ASN,225,0.0,491
ASS,86,0.0,129
ASSP,91,0.0,257
ATN,170,0.0,531
AVAT,87,0.0,483
BD,46,0.032258064516129,222
BDE,196,0.0,659
BDG,54,0.0,268
BDM,268,0.0,560
BDPB,41,0.0,227
BET,94,0.0,601
BF,272,0.0,560
BGN,67,0.0,227
BHDV,33,0.0,235
BHV,69,0.0,237
BK,189,0.0,659
BKF,140,0.0,214
BKG,139,0.0,210
BKL,63,0.0,173
BL,209,0.0,496
BLL,74,0.0,282
BMN,140,0.0,497
BMR,143,0.0,351
BN,187,0.0,613
BNC,100,0.0,478
BNK,68,0.0,237
BNN,97,0.0,477
BNZ,102,0.0,494
BP,266,0.0,508
BR,154,0.0,639
BRD,7,60.03225806451613,6
BRN,84,0.0,261
BSD,58,0.0,255
BSK,40,0.0,164
BSKS,39,0.0,164
BSMZ,83,0.0,238
BTL,84,0.0,558
BV,84,0.0,302
BZL,99,0.0,258
CAS,94,0.0,321
CK,133,0.0,348
CL,73,0.0,299
CO,202,0.0,511
CPS,15,0.0,81
CVM,206,0.0,676
DA,189,0.0,613
DB,72,0.0,237
DDN,182,0.0,527
DDR,16,60.03225806451613,105
DDRS,19,0.0,222
DDZD,17,0.0,222
DEI,246,0.0,508
DID,137,0.0,494
DL,159,0.0,491
DLD,72,0.0,257
DLN,206,0.0,525
DMN,93,0.0,257
DMNZ,88,0.0,206
DN,126,0.0,611
DR,134,0.0,494
DRH,79,0.0,301
DRON,158,0.0,395
DRP,253,0.0,522
DT,18,59.935483870967744,79
DTC,148,0.0,514
DTCH,146,0.0,514
DTCP,17,59.935483870967744,79
DV,139,0.0,477
DVC,143,0.0,543
DVD,86,0.0,203
DVN,127,0.0,496
DVNK,39,0.0,198
DWE,259,0.0,508
DZ,291,0.0,589
DZW,290,0.0,589
EC,169,0.0,656
ED,101,0.0,237
EDC,103,0.0,259
EDN,211,0.0,660
EEM,298,0.0,588
EGH,205,0.0,675
EGHM,206,0.0,675
EHS,103,0.0,677
EHV,104,0.032258064516129,545
EKZ,143,0.0,222
EML,104,0.0,480
EMN,222,0.0,526
EMNZ,218,0.0,525
ES,195,0.0,579
ESK,191,0.0,579
EST,110,0.0,302
ETN,57,0.0,545
FN,259,0.0,508
FWD,256,0.0,508
GBG,195,0.0,511
GD,28,0.0,79
GDG,31,0.0,164
GDM,65,0.0,256
GDR,153,0.0,531
GERP,251,0.0,544
GK,272,0.0,559
GLN,185,0.0,658
GN,253,0.0,544
GND,30,0.0,225
GNN,257,0.0,559
GO,172,0.0,519
GP,110,0.0,607
GR,39,0.0,235
GS,104,0.0,258
GV,26,57.516129032258064,180
GVC,27,57.516129032258064,195
GVM,31,0.0,195
GVMW,25,57.516129032258064,180
GW,229,0.0,498
GZ,56,0.0,545
HAD,67,0.0,205
HB,196,0.0,689
HBZM,27,0.0,225
HD,108,0.0,480
HDB,189,0.0,498
HDE,129,0.0,477
HDG,252,0.0,508
HDR,148,0.0,419
HDRZ,147,0.0,419
HFD,66,0.0,205
HGL,187,0.0,560
HGLG,185,0.0,560
HGLO,189,0.0,579
HGV,195,0.0,491
HGZ,264,0.0,567
HIL,60,0.0,205
HK,87,0.0,320
HKS,135,0.0,206
HLG,268,0.0,509
HLGH,269,0.0,513
HLM,71,0.0,245
HLMS,72,0.0,282
HLO,101,0.0,324
HM,117,0.0,607
HMBH,118,0.0,611
HMBV,114,0.0,607
HMH,116,0.0,607
HMN,96,0.0,302
HN,125,0.0,150
HNK,126,0.0,206
HNO,159,0.0,491
HNP,284,0.0,511
HON,158,0.0,543
HOR,72,0.0,237
HR,213,0.0,491
HRL,200,0.0,658
HRLW,202,0.0,675
HRN,247,0.0,544
HRT,144,0.0,639
HT,87,0.0,299
HTN,68,0.0,237
HTNC,69,0.0,265
HTO,88,0.0,372
HVL,87,0.0,477
HVS,78,0.0,237
HVSM,79,0.0,238
HVSP,77,0.0,237
HWD,113,0.0,400
HWZB,79,0.0,282
HZE,115,0.0,613
IJT,267,0.0,509
KBD,86,0.0,258
KBK,133,0.0,513
KLP,94,0.0,237
KMA,95,0.0,321
KMR,208,0.0,675
KMW,289,0.0,516
KPN,162,0.0,491
KPNZ,162,0.0,491
KRD,208,0.0,686
KRG,93,0.0,258
KTR,89,0.0,299
KW,261,0.0,565
KZ,94,0.0,153
LAA,28,0.0,195
LC,159,0.0,512
LDL,43,0.0,205
LDM,51,0.0,255
LEDN,42,0.0,195
LG,203,0.0,675
LLS,133,0.0,381
LLZM,41,0.0,164
