Station Code,Distance from DVC,Services from/to DVC,Disruptions on path to DVC
AC,107,0.0,381
AH,49,0.0,69
AHP,48,0.0,73
AHPR,46,0.0,72
AHZ,57,0.0,326
AKL,126,0.0,387
AKM,112,0.0,140
ALM,109,0.0,35
ALMB,110,0.0,101
ALMM,108,0.0,287
ALMO,108,0.0,90
ALMP,111,0.0,166
AMF,62,0.0,35
AMFS,65,0.0,275
AML,35,30.61290322580645,7
AMPO,106,0.0,287
AMR,146,0.0,574
AMRI,37,6.419354838709677,77
AMRN,147,0.0,649
ANA,176,0.0,660
APD,19,27.83870967741936,0
APDM,20,0.0,35
APDO,16,27.806451612903224,0
APG,175,0.0,170
APN,118,0.0,285
ARN,243,0.0,782
ASA,104,0.0,279
ASB,104,0.0,279
ASD,107,0.0,289
ASDL,114,0.0,547
ASDM,103,0.0,275
ASDZ,106,0.0,276
ASHD,105,0.0,293
ASN,113,0.0,90
ASS,111,0.0,547
ASSP,102,0.0,294
ATN,77,0.0,80
AVAT,68,0.0,281
BD,154,0.0,454
BDE,193,0.0,527
BDG,110,0.0,276
BDM,156,0.0,159
BDPB,159,0.0,777
BET,133,0.0,441
BF,160,0.0,159
BGN,191,0.0,782
BHDV,137,0.0,407
BHV,74,0.0,279
BK,186,0.0,528
BKF,165,0.0,632
BKG,164,0.0,628
BKL,95,0.0,348
BL,97,0.0,90
BLL,129,0.0,584
BMN,27,0.0,66
BMR,93,0.0,361
BN,44,6.419354838709677,77
BNC,81,0.0,276
BNK,91,0.0,348
BNN,78,0.0,275
BNZ,79,0.0,349
BP,154,0.0,107
BR,128,0.0,390
BRD,150,0.0,509
BRN,71,0.0,275
BSD,112,0.0,386
BSK,124,0.0,366
BSKS,125,0.0,389
BSMZ,83,0.0,276
BTL,123,0.0,441
BV,136,0.0,568
BZL,223,0.0,813
CAS,134,0.0,571
CK,83,0.0,358
CL,101,0.0,376
CO,75,0.0,94
CPS,128,0.0,433
CVM,203,0.0,545
DA,46,0.0,77
DB,95,0.0,348
DDN,54,0.0,26
DDR,154,0.0,418
DDRS,151,0.0,418
DDZD,155,0.0,535
DEI,134,0.0,107
DID,66,0.0,78
DL,47,0.0,90
DLD,71,0.0,275
DLN,79,0.0,108
DMN,100,0.0,293
DMNZ,100,0.0,276
DN,156,0.0,442
DR,33,0.0,66
DRH,134,0.0,585
DRON,67,0.0,90
DRP,141,0.0,121
DT,152,0.0,448
DTC,77,0.0,98
DTCH,75,0.0,98
DTCP,152,0.0,503
DV,4,33.96774193548387,0
DVC,0,0.0,0
DVD,102,0.0,276
DVN,56,0.0,75
