Station Code,Distance from ZVT,Services from/to ZVT,Disruptions on path to ZVT
AC,42,0.0,309
AH,123,0.0,589
AHP,124,0.0,846
AHPR,126,0.0,846
AHZ,131,0.0,846
AKL,113,0.0,412
AKM,215,0.0,359
ALM,57,0.0,295
ALMB,63,0.0,426
ALMM,56,0.0,302
ALMO,65,0.0,426
ALMP,59,0.0,426
AMF,72,0.0,309
AMFS,75,0.0,549
AML,169,0.0,615
AMPO,54,0.0,302
AMR,43,0.0,40
AMRI,171,0.0,685
AMRN,44,0.0,115
ANA,73,0.0,126
APD,115,0.0,549
APDM,116,0.0,584
APDO,118,0.0,584
APG,278,0.0,389
APN,52,0.0,17
ARN,198,0.0,201
ASA,33,0.0,295
ASB,37,0.0,295
ASD,27,19.161290322580644,37
ASDL,26,0.0,58
ASDM,31,0.0,295
ASDZ,39,0.0,295
ASHD,38,0.0,309
ASN,216,0.0,309
ASS,23,19.161290322580644,37
ASSP,32,0.0,295
ATN,175,0.0,883
AVAT,78,0.0,555
BD,125,0.0,196
BDE,233,0.0,44
BDG,60,0.0,98
BDM,259,0.0,378
BDPB,120,0.0,248
BET,136,0.0,368
BF,263,0.0,378
BGN,146,0.0,247
BHDV,112,0.0,254
BHV,75,0.0,368
BK,228,0.0,45
BKF,77,0.0,104
BKG,76,0.0,100
BKL,54,0.0,436
BL,200,0.0,309
BLL,11,7.32258064516129,37
BMN,140,0.0,584
BMR,167,0.0,624
BN,178,0.0,685
BNC,91,0.0,550
BNK,74,0.0,368
BNN,88,0.0,549
BNZ,93,0.0,566
BP,257,0.0,566
BR,196,0.0,538
BRD,86,0.0,202
BRN,63,0.0,296
BSD,99,0.0,411
BSK,58,0.0,98
BSKS,59,0.0,121
BSMZ,51,0.0,313
BTL,126,0.0,441
BV,21,0.0,37
BZL,178,0.0,278
CAS,31,0.0,37
CK,157,0.0,621
CL,84,0.0,396
CO,193,0.0,329
CPS,83,0.0,206
CVM,207,0.0,43
DA,180,0.0,319
DB,78,0.0,368
DDN,173,0.0,599
DDR,95,0.0,126
DDRS,98,0.0,243
DDZD,96,0.0,243
DEI,237,0.0,566
DID,142,0.0,846
DL,150,0.0,309
DLD,75,0.0,310
DLN,197,0.0,343
DMN,34,0.0,295
DMNZ,37,0.0,335
DN,168,0.0,510
DR,139,0.0,846
DRH,16,0.0,38
DRON,106,0.0,440
DRP,244,0.0,580
DT,61,0.0,25
DTC,153,0.0,866
DTCH,151,0.0,866
DTCP,62,0.0,126
DV,130,0.0,549
DVC,134,0.0,584
DVD,35,0.0,332
DVN,132,0.0,848
DVNK,40,0.0,10
DWE,250,0.0,566
DZ,282,0.0,407
DZW,281,0.0,407
EC,211,0.0,555
ED,106,0.0,567
EDC,104,0.0,566
EDN,236,0.0,44
EEM,289,0.0,406
EGH,206,0.0,42
EGHM,207,0.0,42
EHS,145,0.0,444
EHV,146,0.0,444
EKZ,80,0.0,112
EML,95,0.0,549
EMN,213,0.0,344
EMNZ,209,0.0,343
ES,186,0.0,651
ESK,182,0.0,651
EST,134,0.0,846
ETN,136,0.0,519
FN,250,0.0,566
FWD,247,0.0,566
GBG,186,0.0,329
GD,70,0.0,121
GDG,73,0.0,206
GDM,92,0.0,368
GDR,158,0.0,883
GERP,242,0.0,362
GK,263,0.0,377
GLN,216,0.0,43
GN,244,0.0,362
GND,109,0.0,244
GNN,248,0.0,377
GO,163,0.0,591
GP,152,0.0,506
GR,118,0.0,430
GS,183,0.0,201
GV,53,0.0,10
GVC,52,0.0,10
GVM,48,0.0,95
GVMW,54,0.0,25
GW,220,0.0,366
GZ,135,0.0,519
HAD,12,0.032258064516129,0
HB,205,0.0,42
HBZM,106,0.0,244
HD,99,0.0,552
HDB,180,0.0,316
HDE,120,0.0,549
HDG,243,0.0,566
HDR,85,0.0,135
HDRZ,84,0.0,135
HFD,43,0.0,108
HGL,178,0.0,632
HGLG,176,0.0,632
HGLO,180,0.0,651
HGV,186,0.0,309
HGZ,255,0.0,385
HIL,19,0.0,0
HK,24,0.0,55
HKS,72,0.0,96
HLG,259,0.0,567
HLGH,260,0.0,571
HLM,8,42.516129032258064,0
HLMS,9,19.161290322580644,37
HLO,38,0.0,55
HM,159,0.0,506
HMBH,160,0.0,510
HMBV,156,0.0,506
HMH,158,0.0,506
HMN,123,0.0,414
HN,62,0.0,40
HNK,63,0.0,96
HNO,150,0.0,309
HNP,275,0.0,569
HON,149,0.0,584
HOR,62,0.0,295
HR,204,0.0,366
HRL,201,0.0,25
HRLW,203,0.0,42
HRN,238,0.0,362
HRT,186,0.0,538
HT,114,0.0,368
HTN,74,0.0,368
HTNC,75,0.0,396
HTO,115,0.0,441
HVL,78,0.0,549
HVS,56,0.0,295
HVSM,55,0.0,346
HVSP,57,0.0,296
HWD,50,0.0,116
HWZB,16,19.161290322580644,37
HZE,157,0.0,512
IJT,258,0.0,567
KBD,165,0.0,201
KBK,124,0.0,585
KLP,100,0.0,368
KMA,32,0.0,56
KMR,209,0.0,42
KMW,280,0.0,574
KPN,153,0.0,309
KPNZ,123,0.0,441
KRD,209,0.0,53
KRG,172,0.0,201
KTR,116,0.0,411
KW,252,0.0,383
KZ,31,0.0,40
LAA,51,0.0,10
LC,150,0.0,584
LDL,38,0.0,10
LDM,106,0.0,412
LEDN,37,0.0,0
LG,204,0.0,42
LLS,81,0.0,426
LLZM,67,0.0,39
LP,270,0.0,389
LTN,98,0.0,566
LTV,168,0.0,586
LUT,224,0.0,44
LW,233,0.0,549
LWC,236,0.0,566
MAS,59,0.0,309
MDB,202,0.0,228
MES,221,0.0,42
MG,243,0.0,566
MMLH,152,0.0,610
MP,166,0.0,309
MRB,172,0.0,316
MRN,86,0.0,400
MT,227,0.0,42
MTH,253,0.0,385
MTN,224,0.0,56
MTR,228,0.0,44
MZ,167,0.0,517
NDB,50,0.0,302
NH,208,0.0,42
NKK,83,0.0,549
NM,142,0.0,589
NMD,147,0.0,610
NMGO,145,0.0,610
NMH,145,0.0,610
NML,141,0.0,860
NS,111,0.0,549
NSCH,288,0.0,392
NVD,170,0.0,318
NVP,48,0.0,108
NWK,79,0.0,206
O,133,0.0,441
