Station Code,Distance from APN,Services from/to APN,Disruptions on path to APN
AC,50,0.0,43
AH,93,0.0,83
AHP,94,0.0,340
AHPR,96,0.0,340
AHZ,101,0.0,340
AKL,82,0.0,127
AKM,199,0.0,314
ALM,82,0.0,27
ALMB,88,0.0,158
ALMM,81,0.0,176
ALMO,90,0.0,158
ALMP,84,0.0,158
AMF,56,0.0,10
AMFS,59,0.0,250
AML,153,0.0,316
AMPO,79,0.0,176
AMR,79,0.0,57
AMRI,155,0.0,386
AMRN,80,0.0,132
ANA,109,0.0,143
APD,99,0.0,250
APDM,100,0.0,285
APDO,102,0.0,285
APG,262,0.0,344
APN,0,0.0,0
ARN,165,0.0,183
ASA,59,0.0,24
ASB,55,0.0,10
ASD,63,0.0,17
ASDL,56,0.0,67
ASDM,61,0.0,24
ASDZ,55,0.0,67
ASHD,54,0.0,170
ASN,200,0.0,264
ASS,59,0.0,17
ASSP,62,0.0,38
ATN,145,0.0,377
AVAT,62,0.0,256
BD,92,0.0,178
BDE,207,0.0,272
BDG,8,41.935483870967744,0
BDM,243,0.0,333
BDPB,87,0.0,300
BET,105,0.0,83
BF,247,0.0,333
BGN,113,0.0,299
BHDV,79,0.0,306
BHV,44,0.0,83
BK,200,0.0,273
BKF,113,0.0,102
BKG,112,0.0,98
BKL,38,0.0,10
BL,184,0.0,264
BLL,47,0.0,17
BMN,115,0.0,343
BMR,137,0.0,375
BN,162,0.0,386
BNC,75,0.0,251
BNK,43,0.0,83
BNN,72,0.0,250
BNZ,77,0.0,267
BP,241,0.0,267
BR,165,0.0,253
BRD,53,0.0,184
BRN,59,0.0,107
BSD,68,0.0,126
BSK,6,56.58064516129032,0
BSKS,7,56.58064516129032,23
BSMZ,58,0.0,84
BTL,95,0.0,156
BV,57,0.0,19
BZL,145,0.0,330
CAS,67,0.0,54
CK,127,0.0,372
CL,53,0.0,111
CO,177,0.0,284
CPS,31,0.0,108
CVM,185,0.0,50
DA,164,0.0,386
DB,47,0.0,83
DDN,157,0.0,300
DDR,62,0.0,178
DDRS,65,0.0,295
