Station Code,Distance from WTV,Services from/to WTV,Disruptions on path to WTV
DID,14,57.83870967741935,3
DL,91,0.0,99
DLD,65,0.0,539
DLN,131,0.0,176
DMN,94,0.0,557
DMNZ,94,0.0,540
DN,112,0.0,375
DR,19,0.0,6
DRH,128,0.0,849
DRON,111,0.0,99
DRP,185,0.0,130
DT,132,0.0,432
DTC,25,57.83870967741935,23
DTCH,23,57.83870967741935,23
DTCP,132,0.0,487
DV,48,0.0,9
DVC,52,0.0,75
DVD,94,0.0,332
DVN,4,57.83870967741935,0
DVNK,116,0.0,440
DWE,191,0.0,116
DZ,223,0.0,197
DZW,222,0.0,197
EC,122,0.0,458
ED,22,0.0,259
EDC,24,0.0,281
EDN,164,0.0,462
EEM,230,0.0,196
EGH,158,0.0,477
EGHM,159,0.0,477
EHS,98,0.0,450
EHV,99,0.0,374
EKZ,162,0.0,904
EML,79,0.0,539
EMN,147,0.0,177
EMNZ,143,0.0,176
ES,85,0.0,76
ESK,81,0.0,76
EST,16,0.0,259
ETN,121,0.0,710
FN,191,0.0,116
FWD,188,0.0,116
GBG,120,0.0,162
GD,95,0.0,332
GDG,92,0.0,332
GDM,61,0.0,276
GDR,30,36.354838709677416,40
GERP,183,0.0,152
GK,204,0.0,167
GLN,138,0.0,460
GN,185,0.0,152
GND,96,0.0,340
GNN,189,0.0,167
GO,62,0.0,16
GP,105,0.0,436
GR,87,0.0,338
GS,184,0.0,715
GV,124,0.0,417
GVC,123,0.0,335
GVM,124,0.0,525
GVMW,125,0.0,432
GW,161,0.0,156
GZ,100,0.0,389
HAD,124,0.0,832
HB,149,0.0,491
HBZM,99,0.0,350
HD,83,0.0,542
HDB,114,0.0,149
HDE,97,0.0,99
HDG,184,0.0,116
HDR,182,0.0,933
HDRZ,181,0.0,933
HFD,114,0.0,420
HGL,77,0.0,57
HGLG,75,0.0,57
HGLO,79,0.0,76
HGV,127,0.0,99
HGZ,196,0.0,175
HIL,131,0.0,440
HK,127,0.0,871
HKS,154,0.0,888
HLG,200,0.0,117
HLGH,201,0.0,121
HLM,120,0.0,811
HLMS,119,0.0,832
HLO,135,0.0,838
HM,112,0.0,417
HMBH,113,0.0,421
HMBV,109,0.0,436
HMH,111,0.0,436
HMN,30,0.0,273
HN,144,0.0,832
HNK,145,0.0,888
HNO,91,0.0,99
HNP,216,0.0,119
HON,67,0.0,9
HOR,75,0.0,332
HR,145,0.0,156
HRL,153,0.0,460
HRLW,155,0.0,477
HRN,179,0.0,152
HRT,94,0.0,375
HT,67,0.0,301
HTN,69,0.0,357
HTNC,70,0.0,385
HTO,66,0.0,301
HVL,50,0.0,299
HVS,72,0.0,539
HVSM,73,0.0,540
HVSP,73,0.0,540
HWD,147,0.0,914
HWZB,112,0.0,832
HZE,110,0.0,442
IJT,199,0.0,117
KBD,166,0.0,715
KBK,41,0.0,9
KLP,29,0.0,281
KMA,119,0.0,845
KMR,161,0.0,477
KMW,221,0.0,124
KPN,94,0.0,99
KPNZ,94,0.0,99
KRD,161,0.0,488
KRG,173,0.0,715
KTR,37,0.0,273
KW,193,0.0,173
KZ,113,0.0,835
LAA,124,0.0,364
LC,49,0.0,9
LDL,112,0.0,423
LDM,75,0.0,320
LEDN,113,0.0,430
LG,156,0.0,477
LLS,127,0.0,683
LLZM,108,0.0,417
LP,211,0.0,179
LTN,30,0.0,282
LTV,67,0.0,11
LUT,138,0.0,460
LW,174,0.0,99
LWC,177,0.0,116
MAS,70,0.0,332
MDB,203,0.0,742
MES,161,0.0,462
MG,184,0.0,116
MMLH,34,0.0,280
MP,107,0.0,99
MRB,106,0.0,146
MRN,59,0.0,313
MT,155,0.0,460
MTH,194,0.0,175
MTN,158,0.0,462
MTR,156,0.0,462
MZ,120,0.0,447
NDB,78,0.0,540
NH,146,0.0,491
NKK,67,0.0,539
NM,24,0.0,259
NMD,29,0.0,280
NMGO,27,0.0,280
NMH,27,0.0,280
NML,23,0.0,273
NS,95,0.0,539
NSCH,229,0.0,182
NVD,90,0.0,16
NVP,119,0.0,548
NWK,104,0.0,417
O,48,0.0,280
OBD,153,0.0,832
ODB,141,0.0,715
ODZ,88,0.0,76
OMN,102,0.0,106
OP,33,0.0,273
OST,58,0.0,75
OT,88,0.0,417
OTB,9,0.0,259
OVN,122,0.0,848
OW,49,0.0,301
PMO,126,0.0,811
PMR,125,0.0,832
PMW,124,0.0,835
PT,74,0.0,539
RAI,97,0.0,335
RAT,97,0.0,99
RB,163,0.0,746
RD,223,0.0,183
RH,13,0.0,3
RHN,82,0.0,316
RL,54,0.0,11
RLB,123,0.0,567
RM,109,0.0,409
RS,60,0.0,301
RSD,134,0.0,710
RSN,74,0.0,9
RSW,127,0.0,432
RTA,109,0.0,417
RTB,120,0.0,487
RTD,119,0.0,417
RTN,114,0.0,419
RTST,124,0.0,487
RTZ,123,0.0,487
RV,98,0.0,395
RVS,40,0.0,259
SBK,141,0.0,490
SD,69,0.0,553
SDA,212,0.0,173
SDM,123,0.0,487
SDT,100,0.0,350
SDTB,103,0.0,351
SGL,165,0.0,476
SGN,161,0.0,924
SHL,109,0.0,346
SK,196,0.0,116
SKND,195,0.0,116
SM,104,0.0,409
SN,143,0.0,491
SOG,163,0.0,477
SPTN,127,0.0,848
SPTZ,125,0.0,848
SRN,127,0.0,487
SSH,121,0.0,440
ST,70,0.0,553
STD,134,0.0,458
STM,207,0.0,179
STV,225,0.0,124
STZ,71,0.0,543
SWD,196,0.0,167
SWK,121,0.0,149
TB,89,0.0,374
TBG,31,36.354838709677416,40
TBR,94,0.0,387
TBU,90,0.0,387
TG,91,0.0,376
TL,49,0.0,276
TPSW,51,0.0,276
TWL,53,0.0,75
UHM,220,0.0,183
UHZ,217,0.0,183
UST,212,0.0,182
UT,63,0.0,259
UTG,124,0.0,870
UTLN,65,0.0,357
UTLR,66,0.0,332
UTO,66,0.0,332
UTT,68,0.0,332
UTVR,62,0.0,357
UTZL,65,0.0,332
VB,120,0.0,417
VD,44,0.0,9
VDL,157,0.0,477
VDM,212,0.0,180
VEM,36,0.0,9
VG,71,0.0,374
VH,121,0.0,440
VHP,100,0.0,146
VK,166,0.0,477
VL,86,0.0,375
VLB,56,0.0,322
VNDC,74,0.0,315
VNDW,73,0.0,315
VP,9,0.0,3
VRY,63,0.0,323
VS,209,0.0,742
VSS,208,0.0,715
VST,118,0.0,525
VSV,38,35.54838709677419,40
VTN,70,0.0,337
VZ,93,0.0,145
WAD,103,0.0,417
WADN,104,0.0,417
WADT,102,0.0,417
WC,33,0.0,259
WD,79,0.0,332
WDN,82,0.0,16
WF,13,0.0,259
WFM,209,0.0,182
WH,65,0.0,85
WK,212,0.0,119
WL,20,57.83870967741935,23
WM,117,0.0,835
WP,87,0.0,551
WR,239,0.0,191
WS,217,0.0,182
WSM,201,0.0,168
WT,127,0.0,417
WTV,0,0.0,0
WV,134,0.0,99
WW,59,35.54838709677419,59
WWW,60,0.0,59
WZ,88,0.0,99
YPB,116,0.0,335
ZA,27,0.0,273
ZB,204,0.0,176
ZBM,70,0.0,319
ZD,111,0.0,832
ZDK,114,0.0,835
ZH,197,0.0,167
ZL,79,0.0,85
ZLSH,84,0.0,99
ZLW,125,0.0,728
ZP,32,0.0,9
ZTM,111,0.0,332
ZTMO,110,0.0,417
ZV,9,57.83870967741935,3
ZVB,133,0.0,733
ZVT,128,0.0,848
ZWD,112,0.0,468
ZZS,114,0.0,835
