Station Code,Distance from LLZM,Services from/to LLZM,Disruptions on path to LLZM
AC,60,0.0,119
AH,103,0.0,158
AHP,104,0.0,415
AHPR,106,0.0,415
AHZ,111,0.0,415
AKL,85,0.0,285
AKM,209,0.0,462
ALM,92,0.0,102
ALMB,98,0.0,233
ALMM,91,0.0,252
ALMO,100,0.0,233
ALMP,94,0.0,233
AMF,66,0.0,158
AMFS,69,0.0,398
AML,163,0.0,464
AMPO,89,0.0,252
AMR,94,0.0,79
AMRI,165,0.0,534
AMRN,95,0.0,154
ANA,124,0.0,165
APD,109,0.0,398
APDM,110,0.0,433
APDO,112,0.0,433
APG,272,0.0,492
APN,31,0.0,108
ARN,160,0.0,160
ASA,69,0.0,99
ASB,65,0.0,85
ASD,75,0.0,86
ASDL,71,0.0,79
ASDM,71,0.0,99
ASDZ,70,0.0,79
ASHD,64,0.0,246
ASN,210,0.0,412
ASS,74,0.0,39
ASSP,72,0.0,113
ATN,155,0.0,452
AVAT,72,0.0,404
BD,87,0.0,155
BDE,196,0.0,63
BDG,39,0.0,189
BDM,253,0.0,481
BDPB,82,0.0,277
BET,115,0.0,158
BF,257,0.0,481
BGN,108,0.0,276
BHDV,74,0.0,283
BHV,54,0.0,158
BK,191,0.0,64
BKF,128,0.0,124
BKG,127,0.0,120
BKL,48,0.0,86
BL,194,0.0,412
BLL,62,0.0,39
BMN,125,0.0,418
BMR,147,0.0,450
BN,172,0.0,534
BNC,85,0.0,399
BNK,53,0.0,158
BNN,82,0.0,398
BNZ,87,0.0,415
BP,251,0.0,415
BR,175,0.0,328
BRD,48,0.0,161
BRN,69,0.0,182
BSD,78,0.0,201
BSK,25,0.0,85
BSKS,24,0.0,85
BSMZ,68,0.0,159
BTL,105,0.0,231
BV,72,0.0,41
BZL,140,0.0,307
CAS,82,0.0,76
CK,137,0.0,447
CL,63,35.193548387096776,186
CO,187,0.0,432
CPS,26,0.0,85
CVM,170,0.0,62
DA,174,0.0,534
DB,57,0.0,158
DDN,167,0.0,448
DDR,57,0.0,155
DDRS,60,0.0,272
DDZD,58,0.0,272
DEI,231,0.0,415
DID,122,0.0,415
DL,144,0.0,412
DLD,57,0.0,178
DLN,191,0.0,446
DMN,74,0.0,113
DMNZ,69,0.0,102
DN,147,0.0,300
DR,119,0.0,415
DRH,67,0.0,40
DRON,141,0.0,247
DRP,238,0.0,429
DT,24,0.0,29
DTC,133,0.0,435
DTCH,131,0.0,435
DTCP,25,0.0,130
DV,124,0.0,398
DVC,128,0.0,433
DVD,67,0.0,99
DVN,112,0.0,417
DVNK,27,0.0,32
DWE,244,0.0,415
DZ,276,0.0,510
DZW,275,0.0,510
EC,190,0.0,345
ED,86,0.0,158
EDC,88,0.0,180
EDN,199,0.0,63
EEM,283,0.0,509
EGH,169,0.0,61
EGHM,170,0.0,61
EHS,124,0.0,234
EHV,125,0.0,234
EKZ,131,0.0,132
EML,89,0.0,398
EMN,207,0.0,447
EMNZ,203,0.0,446
ES,180,0.0,500
ESK,176,0.0,500
EST,114,0.0,415
ETN,98,0.0,478
FN,244,0.0,415
FWD,241,0.0,415
GBG,180,0.0,432
GD,13,45.54838709677419,0
GDG,16,43.29032258064516,85
GDM,71,35.193548387096776,158
GDR,138,0.0,452
GERP,236,0.0,465
GK,257,0.0,480
GLN,179,0.0,62
GN,238,0.0,465
GND,71,0.0,273
GNN,242,0.0,480
GO,157,0.0,440
GP,131,0.0,296
GR,80,0.0,283
GS,145,0.0,160
GV,16,0.0,29
GVC,15,45.354838709677416,0
GVM,19,0.0,29
GVMW,17,0.0,44
GW,214,0.0,469
GZ,97,0.0,478
HAD,55,0.0,39
HB,168,0.0,61
HBZM,68,0.0,273
HD,93,0.0,401
HDB,174,0.0,419
HDE,114,0.0,398
HDG,237,0.0,415
HDR,136,0.0,174
HDRZ,135,0.0,174
HFD,54,0.0,29
HGL,172,0.0,481
HGLG,170,0.0,481
HGLO,174,0.0,500
HGV,180,0.0,412
HGZ,249,0.0,488
HIL,48,0.0,39
HK,75,0.0,59
HKS,123,0.0,116
HLG,253,0.0,416
HLGH,254,0.0,420
HLM,59,0.0,39
HLMS,60,0.0,39
HLO,89,0.0,59
HM,138,0.0,296
HMBH,139,0.0,300
HMBV,135,0.0,296
HMH,137,0.0,296
HMN,102,0.0,204
HN,113,0.0,60
HNK,114,0.0,116
HNO,144,0.0,412
HNP,269,0.0,418
HON,143,0.0,433
HOR,57,0.0,158
HR,198,0.0,469
HRL,164,0.0,44
HRLW,166,0.0,61
HRN,232,0.0,465
HRT,165,0.0,328
HT,93,0.0,158
HTN,53,35.193548387096776,158
HTNC,54,35.193548387096776,186
HTO,94,0.0,231
HVL,72,0.0,398
HVS,63,0.0,158
HVSM,64,0.0,159
HVSP,62,0.0,158
HWD,101,0.0,155
HWZB,67,0.0,39
HZE,136,0.0,302
IJT,252,0.0,416
KBD,127,0.0,160
KBK,118,0.0,434
KLP,79,0.0,158
KMA,83,0.0,60
KMR,172,0.0,61
KMW,274,0.0,423
KPN,147,0.0,412
KPNZ,147,0.0,412
KRD,172,0.0,72
KRG,134,0.0,160
KTR,95,0.0,201
KW,246,0.0,486
KZ,82,0.0,63
LAA,16,0.0,29
LC,144,0.0,433
LDL,31,0.0,39
LDM,85,0.0,202
LEDN,30,0.0,29
LG,167,0.0,61
LLS,116,0.0,233
LLZM,0,0.0,0
LP,264,0.0,492
LTN,92,0.0,415
LTV,162,0.0,435
LUT,187,0.0,63
LW,227,0.0,398
LWC,230,0.0,415
MAS,52,0.0,158
MDB,164,0.0,187
MES,184,0.0,61
MG,237,0.0,415
MMLH,132,0.0,436
MP,160,0.0,412
MRB,166,0.0,419
MRN,65,0.0,190
