Station Code,Distance from VD,Services from/to VD,Disruptions on path to VD
DTCH,67,0.0,32
DTCP,163,0.0,503
DV,28,0.0,0
DVC,32,0.0,66
DVD,113,0.0,276
DVN,48,0.0,9
DVNK,147,0.0,383
DWE,171,0.0,107
DZ,203,0.0,188
DZW,202,0.0,188
EC,158,0.0,459
ED,58,0.0,260
EDC,60,0.0,282
EDN,200,0.0,463
EEM,210,0.0,187
EGH,194,0.0,478
EGHM,195,0.0,478
EHS,134,0.0,451
EHV,135,0.0,375
EKZ,179,0.0,640
EML,96,0.0,275
EMN,127,0.0,168
EMNZ,123,0.0,167
ES,65,0.0,67
ESK,61,0.0,67
EST,52,0.0,260
ETN,157,0.0,711
FN,171,0.0,107
FWD,168,0.0,107
GBG,100,0.0,153
GD,126,0.0,348
GDG,123,0.0,348
GDM,97,0.0,277
GDR,62,0.0,31
GERP,163,0.0,143
GK,184,0.0,158
GLN,174,0.0,461
GN,165,0.0,143
GND,132,0.0,341
GNN,169,0.0,158
GO,42,0.0,7
GP,141,0.0,437
GR,123,0.0,339
GS,220,0.0,716
GV,155,0.0,433
GVC,154,0.0,351
GVM,155,0.0,468
GVMW,156,0.0,448
GW,141,0.0,147
GZ,136,0.0,390
HAD,141,0.0,568
HB,185,0.0,492
HBZM,135,0.0,351
HD,98,0.0,90
HDB,94,0.0,140
HDE,77,0.0,90
HDG,164,0.0,107
HDR,199,0.0,669
HDRZ,198,0.0,669
HFD,133,0.0,350
HGL,57,0.0,48
HGLG,55,0.0,48
HGLO,59,0.0,67
HGV,107,0.0,90
HGZ,176,0.0,166
HIL,148,0.0,568
HK,144,0.0,607
HKS,171,0.0,624
HLG,180,0.0,108
HLGH,181,0.0,112
HLM,137,0.0,547
HLMS,136,0.0,568
HLO,152,0.0,574
HM,148,0.0,418
HMBH,149,0.0,422
HMBV,145,0.0,437
HMH,147,0.0,437
HMN,66,0.0,274
HN,161,0.0,568
HNK,162,0.0,624
HNO,71,0.0,90
HNP,196,0.0,110
HON,47,0.0,0
HOR,95,0.0,276
HR,125,0.0,147
HRL,189,0.0,461
HRLW,191,0.0,478
HRN,159,0.0,143
HRT,130,0.0,376
HT,103,0.0,302
HTN,102,0.0,348
HTNC,103,0.0,376
HTO,102,0.0,302
HVL,79,0.0,275
HVS,89,0.0,275
HVSM,90,0.0,276
HVSP,90,0.0,276
HWD,164,0.0,650
HWZB,129,0.0,568
HZE,146,0.0,443
IJT,179,0.0,108
KBD,202,0.0,716
KBK,21,1.0,0
KLP,65,0.0,282
KMA,136,0.0,581
KMR,197,0.0,478
KMW,201,0.0,115
KPN,74,0.0,90
KPNZ,74,0.0,90
KRD,197,0.0,489
KRG,209,0.0,716
KTR,73,0.0,274
KW,173,0.0,164
KZ,130,0.0,571
LAA,155,0.0,380
LC,29,0.0,0
LDL,143,0.0,366
LDM,111,0.0,321
LEDN,144,0.0,373
LG,192,0.0,478
LLS,116,0.0,90
LLZM,139,0.0,433
LP,191,0.0,170
LTN,66,0.0,283
LTV,23,32.516129032258064,0
LUT,174,0.0,461
LW,154,0.0,90
LWC,157,0.0,107
MAS,101,0.0,348
MDB,239,0.0,743
MES,197,0.0,463
MG,164,0.0,107
MMLH,70,0.0,281
MP,87,0.0,90
MRB,86,0.0,137
MRN,95,0.0,314
MT,191,0.0,461
MTH,174,0.0,166
MTN,194,0.0,463
MTR,192,0.0,463
MZ,156,0.0,448
NDB,95,0.0,276
NH,182,0.0,492
NKK,84,0.0,275
NM,60,0.0,260
NMD,65,0.0,281
NMGO,63,0.0,281
NMH,63,0.0,281
NML,59,0.0,274
NS,86,0.0,90
NSCH,209,0.0,173
NVD,70,0.0,7
NVP,138,0.0,478
NWK,135,0.0,433
O,84,0.0,281
OBD,170,0.0,568
ODB,177,0.0,716
ODZ,68,0.0,67
OMN,82,0.0,97
OP,69,0.0,274
OST,38,0.0,66
OT,124,0.0,418
OTB,45,0.0,260
OVN,139,0.0,584
OW,85,0.0,302
PMO,143,0.0,547
PMR,142,0.0,568
PMW,141,0.0,571
PT,91,0.0,275
RAI,116,0.0,279
RAT,77,0.0,90
RB,199,0.0,747
RD,203,0.0,174
RH,31,0.0,3
RHN,118,0.0,317
RL,10,32.516129032258064,0
RLB,157,0.0,503
RM,145,0.0,410
RS,96,0.0,302
RSD,170,0.0,711
RSN,54,0.0,0
RSW,158,0.0,448
RTA,140,0.0,433
RTB,151,0.0,503
RTD,150,0.0,433
RTN,145,0.0,435
RTST,155,0.0,503
RTZ,154,0.0,503
RV,134,0.0,396
RVS,76,0.0,260
SBK,177,0.0,491
SD,86,0.0,289
SDA,192,0.0,164
SDM,154,0.0,503
SDT,136,0.0,351
SDTB,139,0.0,352
SGL,201,0.0,477
SGN,178,0.0,660
SHL,128,0.0,350
SK,176,0.0,107
SKND,175,0.0,107
SM,140,0.0,410
SN,179,0.0,492
SOG,199,0.0,478
SPTN,144,0.0,584
SPTZ,142,0.0,584
SRN,163,0.0,488
SSH,149,0.0,478
ST,87,0.0,289
STD,170,0.0,459
STM,187,0.0,170
STV,205,0.0,115
STZ,88,0.0,279
SWD,176,0.0,158
SWK,101,0.0,140
TB,125,0.0,375
TBG,61,0.0,31
TBR,130,0.0,388
TBU,126,0.0,388
TG,127,0.0,377
TL,85,0.0,277
TPSW,87,0.0,277
TWL,33,0.0,66
UHM,200,0.0,174
UHZ,197,0.0,174
UST,192,0.0,173
UT,94,0.0,275
UTG,141,0.0,606
UTLN,98,0.0,348
UTLR,97,0.0,348
UTO,91,0.0,275
UTT,99,0.0,348
UTVR,95,0.0,348
UTZL,96,0.0,348
VB,151,0.0,433
VD,0,0.0,0
VDL,193,0.0,478
VDM,192,0.0,171
VEM,16,1.0,0
VG,107,0.0,375
VH,152,0.0,383
VHP,80,0.0,137
VK,202,0.0,478
VL,122,0.0,376
VLB,92,0.0,323
VNDC,110,0.0,316
VNDW,109,0.0,316
VP,35,0.0,6
VRY,99,0.0,324
VS,245,0.0,743
VSS,244,0.0,716
VST,149,0.0,468
VSV,54,0.0,31
VTN,101,0.0,353
VZ,73,0.0,136
WAD,134,0.0,433
WADN,135,0.0,433
WADT,133,0.0,433
WC,69,0.0,260
WD,110,0.0,275
WDN,62,0.0,7
WF,49,0.0,260
WFM,189,0.0,173
WH,45,0.0,76
WK,192,0.0,110
WL,64,0.0,32
WM,134,0.0,571
WP,104,0.0,287
WR,219,0.0,182
WS,197,0.0,173
WSM,181,0.0,159
WT,163,0.0,418
WTV,44,0.0,9
WV,114,0.0,90
WW,33,32.516129032258064,12
WWW,32,32.516129032258064,12
WZ,68,0.0,90
YPB,147,0.0,351
ZA,63,0.0,274
ZB,184,0.0,167
ZBM,106,0.0,320
ZD,128,0.0,568
ZDK,131,0.0,571
ZH,177,0.0,158
ZL,59,0.0,76
ZLSH,64,0.0,90
ZLW,161,0.0,729
ZP,12,33.25806451612903,0
ZTM,142,0.0,348
ZTMO,141,0.0,433
ZV,53,0.0,12
ZVB,169,0.0,734
ZVT,145,0.0,584
ZWD,148,0.0,469
ZZS,131,0.0,571
