Station Code,Distance from LEDN,Services from/to LEDN,Disruptions on path to LEDN
AC,51,0.0,64
AH,108,0.3870967741935484,171
AHP,109,0.0,428
AHPR,111,0.0,428
AHZ,116,0.0,428
AKL,86,0.0,246
AKM,214,0.8709677419354839,402
ALM,69,80.29032258064517,124
ALMB,75,42.064516129032256,255
ALMM,68,37.70967741935484,68
ALMO,77,35.32258064516129,255
ALMP,71,35.25806451612903,255
AMF,71,7.0,98
AMFS,74,5.387096774193548,338
AML,168,0.0,404
AMPO,66,37.70967741935484,68
AMR,64,0.0,40
AMRI,170,0.0,474
AMRN,65,0.0,115
ANA,94,0.0,126
APD,114,1.096774193548387,338
APDM,115,0.0,373
APDO,117,0.0,373
APG,277,0.0,432
APN,15,43.193548387096776,7
ARN,161,19.70967741935484,191
ASA,46,0.0,53
ASB,46,2.838709677419355,50
ASD,48,85.90322580645162,0
ASDL,41,59.61290322580645,50
ASDM,48,38.96774193548387,90
ASDZ,40,50.064516129032256,50
ASHD,47,0.0,64
ASN,215,17.129032258064516,352
ASS,44,101.58064516129032,0
ASSP,49,39.0,104
ATN,160,0.0,465
AVAT,77,4.32258064516129,344
BD,88,0.0,186
BDE,196,0.0,34
BDG,23,41.70967741935484,88
BDM,258,0.0,421
BDPB,83,0.0,238
BET,120,0.0,171
BF,262,0.0,421
BGN,109,31.096774193548388,237
BHDV,75,0.0,244
BHV,59,0.0,171
BK,191,0.0,35
BKF,98,0.0,85
BKG,97,0.0,81
BKL,53,0.0,98
BL,199,0.935483870967742,352
BLL,32,0.2258064516129032,0
BMN,130,0.0,431
BMR,152,0.0,463
BN,177,0.0,474
BNC,90,0.0,339
BNK,58,0.0,171
BNN,87,0.0,338
BNZ,92,0.0,355
BP,256,0.0,355
BR,180,0.6774193548387096,341
BRD,49,0.0,192
BRN,74,4.709677419354839,195
BSD,83,0.0,214
BSK,21,0.0,88
BSKS,22,0.0,111
BSMZ,63,4.709677419354839,79
BTL,110,0.0,244
BV,42,0.0,2
BZL,141,19.70967741935484,268
CAS,52,0.0,37
CK,142,0.0,460
CL,68,0.0,199
CO,192,0.0,372
CPS,46,0.0,196
CVM,170,0.0,33
DA,179,0.0,474
DB,62,0.0,171
DDN,172,0.0,388
DDR,58,55.41935483870968,116
DDRS,61,0.0,233
DDZD,59,0.0,233
DEI,236,0.0,355
DID,127,0.0,428
DL,149,0.0,352
DLD,62,0.0,191
DLN,196,0.0,386
DMN,51,39.0,104
DMNZ,46,3.419354838709677,53
DN,152,0.6774193548387096,313
DR,124,0.0,428
DRH,37,0.0,1
DRON,118,31.70967741935484,269
DRP,243,0.0,369
DT,24,62.87096774193548,15
DTC,138,0.0,448
DTCH,136,0.0,448
DTCP,25,0.0,116
DV,129,0.0,338
DVC,133,0.0,373
DVD,44,12.516129032258064,50
DVN,117,0.0,430
DVNK,3,60.2258064516129,0
DWE,249,0.0,355
DZ,281,0.0,450
DZW,280,0.0,450
EC,195,0.0,36
ED,91,0.3870967741935484,171
EDC,93,0.0,193
EDN,199,0.0,34
EEM,288,0.0,449
EGH,169,0.0,32
EGHM,170,0.0,32
EHS,129,0.0,247
EHV,130,0.6774193548387096,247
EKZ,101,0.0,93
EML,94,0.0,338
EMN,212,0.0,387
EMNZ,208,0.0,386
ES,185,0.0,440
ESK,181,0.0,440
EST,119,0.0,428
ETN,99,0.0,509
FN,249,0.0,355
FWD,246,0.0,355
GBG,185,0.0,372
GD,33,0.3870967741935484,111
GDG,36,0.0,196
GDM,76,0.0,171
GDR,143,0.0,465
GERP,241,0.9032258064516128,405
GK,262,0.0,420
GLN,179,0.0,33
GN,243,17.129032258064516,405
GND,72,0.0,234
GNN,247,0.0,420
GO,162,0.0,380
GP,136,0.0,309
GR,81,0.0,244
GS,146,30.35483870967742,191
GV,16,63.32258064516129,0
GVC,15,108.0,0
GVM,11,60.2258064516129,85
GVMW,17,0.0,15
GW,219,0.8709677419354839,409
GZ,98,0.0,509
HAD,25,91.64516129032258,0
HB,168,0.0,32
HBZM,69,0.0,234
HD,98,0.0,341
HDB,179,0.0,359
HDE,119,0.0,338
HDG,242,0.0,355
HDR,106,0.0,135
HDRZ,105,0.0,135
HFD,24,63.935483870967744,0
HGL,177,0.0,421
HGLG,175,0.0,421
HGLO,179,0.0,440
HGV,185,1.1290322580645162,352
HGZ,254,0.0,428
HIL,18,53.38709677419355,0
HK,45,0.0,20
HKS,93,0.0,77
HLG,258,0.0,356
HLGH,259,0.0,360
HLM,29,91.6774193548387,0
HLMS,30,1.903225806451613,0
HLO,59,0.0,20
HM,143,0.6774193548387096,309
HMBH,144,0.0,313
HMBV,140,0.0,309
HMH,142,0.0,309
HMN,107,0.0,217
HN,83,18.483870967741936,21
HNK,84,18.483870967741936,77
HNO,149,0.0,352
HNP,274,0.0,358
HON,148,0.0,373
HOR,62,0.032258064516129,171
HR,203,16.741935483870968,409
HRL,164,0.0,15
HRLW,166,0.0,32
HRN,237,0.9032258064516128,405
HRT,170,0.6774193548387096,341
HT,98,0.6774193548387096,171
HTN,58,0.0,171
HTNC,59,0.0,199
HTO,99,0.0,244
HVL,77,0.0,338
HVS,68,7.0,124
HVSM,67,4.709677419354839,112
HVSP,67,0.0,171
HWD,71,0.0,116
HWZB,37,1.903225806451613,0
HZE,141,0.0,315
IJT,257,0.0,356
KBD,128,19.70967741935484,191
KBK,123,0.0,374
KLP,84,0.3870967741935484,171
KMA,53,0.0,21
KMR,172,0.0,32
KMW,279,0.0,363
KPN,152,0.0,352
KPNZ,135,31.70967741935484,270
KRD,172,0.0,43
