Station Code,Distance from MT,Services from/to MT,Disruptions on path to MT
AC,202,0.0,200
AH,150,0.0,201
AHP,151,0.0,458
AHPR,153,0.0,458
AHZ,142,0.0,215
AKL,173,0.0,211
AKM,303,0.0,601
ALM,227,0.0,253
ALMB,233,0.0,384
ALMM,226,0.0,252
ALMO,235,0.0,384
ALMP,229,0.0,384
AMF,199,0.0,240
AMFS,202,0.0,480
AML,234,0.0,527
AMPO,224,0.0,252
AMR,254,14.806451612903226,82
AMRI,236,0.0,597
AMRN,255,1.3548387096774193,157
ANA,284,1.3548387096774193,168
APD,197,0.0,461
APDM,196,0.0,462
APDO,200,0.0,496
APG,366,0.0,631
APN,205,0.0,49
ARN,245,0.0,441
ASA,211,35.193548387096776,240
ASB,207,5.451612903225806,240
ASD,217,35.193548387096776,240
ASDL,224,0.0,498
ASDM,213,0.0,277
ASDZ,213,0.0967741935483871,254
ASHD,206,0.0,327
ASN,304,0.0,551
ASS,221,24.483870967741936,498
ASSP,214,0.0,291
ATN,202,0.0,495
AVAT,205,0.0,486
BD,156,0.0,113
BDE,6,37.64516129032258,0
BDG,205,0.0,241
BDM,347,0.0,620
BDPB,161,0.0,436
BET,108,0.0,113
BF,351,0.0,620
BGN,193,0.0,441
BHDV,184,0.0,231
BHV,187,0.0,240
BK,13,37.64516129032258,31
BKF,275,9.67741935483871,583
BKG,274,9.67741935483871,579
BKL,190,0.032258064516129,167
BL,288,0.0,551
BLL,222,0.0,42
BMN,172,0.0,461
BMR,106,0.0,138
BN,229,0.0,528
BNC,182,0.0,224
BNK,184,0.0,291
BNN,185,0.0,240
BNZ,180,0.0,224
BP,345,0.0,568
BR,71,0.0,85
BRD,195,0.0,553
BRN,202,0.0,264
BSD,159,0.0,210
BSK,211,0.0,130
BSKS,212,0.0,153
BSMZ,201,0.0,241
BTL,118,0.032258064516129,51
BV,232,0.0,44
BZL,225,0.0,472
CAS,242,14.806451612903226,79
CK,116,0.0,166
CL,160,0.0,210
CO,274,0.0,614
CPS,205,0.0,190
CVM,32,36.54838709677419,18
DA,245,0.0,597
DB,188,0.0,335
DDN,219,0.0,476
DDR,186,0.0,436
DDRS,189,0.0,553
DDZD,185,0.0,459
DEI,325,0.0,568
DID,169,0.0,458
DL,238,0.0,551
DLD,190,0.0,260
DLN,278,0.0,628
DMN,216,0.0,291
DMNZ,211,0.0,243
DN,99,0.0,85
DR,166,0.0,458
DRH,227,0.0,43
DRON,258,0.0,551
DRP,332,0.0,582
DT,180,0.0,17
DTC,180,0.0,478
DTCH,178,0.0,478
DTCP,181,0.0,118
DV,195,0.0,461
DVC,199,0.0,527
DVD,209,0.0,240
DVN,159,0.0,460
DVNK,187,0.0,35
DWE,338,0.0,568
DZ,370,0.0,649
DZW,369,0.0,649
EC,33,35.645161290322584,4
ED,167,0.0,201
EDC,169,0.0,223
EDN,9,17.548387096774192,0
EEM,377,0.0,648
EGH,31,36.54838709677419,17
EGHM,32,0.064516129032258,17
EHS,99,0.0,113
EHV,98,37.38709677419355,51
EKZ,278,9.67741935483871,591
EML,222,0.0,480
EMN,294,0.0,629
EMNZ,290,0.0,628
ES,232,0.0,528
ESK,228,0.0,528
EST,139,0.0,201
ETN,167,0.0,436
FN,338,0.0,568
FWD,335,0.0,568
GBG,267,0.0,614
GD,203,0.0,32
GDG,206,0.0,117
GDM,152,0.1290322580645161,167
GDR,185,0.0,495
GERP,330,0.0,604
GK,351,0.0,619
GLN,25,0.0,2
GN,332,0.0,604
