Station Code,Distance from MT,Services from/to MT,Disruptions on path to MT
GND,187,0.0,231
GNN,336,0.0,619
GO,209,0.0,468
GP,92,0.0,58
GR,178,0.0,229
GS,230,0.0,441
GV,174,0.0,17
GVC,175,0.0,32
GVM,179,0.0,32
GVMW,173,0.0,17
GW,308,0.0,608
GZ,146,0.0,109
HAD,215,0.0,42
HB,30,0.0,17
HBZM,190,0.0,241
HD,226,0.0,483
HDB,261,0.0,601
HDE,244,0.0,551
HDG,331,0.0,568
HDR,296,1.3548387096774193,177
HDRZ,295,1.3548387096774193,177
HFD,214,0.0,32
HGL,224,0.0,509
HGLG,222,0.0,509
HGLO,226,0.0,528
HGV,274,0.0,551
HGZ,343,0.0,627
HIL,208,0.0,42
HK,235,0.0,62
HKS,270,9.67741935483871,575
HLG,347,0.0,569
HLGH,348,0.0,573
HLM,219,0.0,42
HLMS,220,0.0,42
HLO,249,0.0,62
HM,108,0.0,113
HMBH,107,0.0,113
HMBV,108,0.0,113
HMH,109,0.0,117
HMN,153,0.0,215
HN,260,9.67741935483871,519
HNK,261,9.67741935483871,575
HNO,238,0.0,551
HNP,363,0.0,571
HON,214,0.0,461
HOR,190,0.0,240
HR,292,0.0,608
HRL,26,57.83870967741935,0
HRLW,24,38.41935483870968,14
HRN,326,0.0,604
HRT,81,0.0,137
HT,130,36.064516129032256,94
HTN,170,0.0,263
HTNC,169,0.0,263
HTO,131,0.0,167
HVL,195,0.0,241
HVS,196,0.0,240
HVSM,197,0.0,241
HVSP,195,0.0,240
HWD,261,1.3548387096774193,158
HWZB,227,0.0,42
HZE,87,0.0,53
IJT,346,0.0,569
KBD,212,0.0,441
KBK,188,0.0,461
KLP,174,0.0,223
KMA,235,0.0,532
KMR,18,38.41935483870968,14
KMW,368,0.0,576
KPN,241,0.0,551
KPNZ,241,0.0,551
KRD,34,36.54838709677419,28
KRG,219,0.0,441
KTR,160,0.0,215
KW,340,0.0,625
KZ,229,0.0,522
LAA,176,0.0,32
LC,196,0.0,461
LDL,191,0.0,42
LDM,166,0.0,211
LEDN,190,0.0,32
LG,29,36.61290322580645,17
LLS,251,0.0,384
LLZM,190,0.0,61
LP,358,0.0,631
LTN,175,0.0,224
LTV,214,0.0,463
LUT,17,37.64516129032258,31
LW,321,0.0,551
LWC,324,0.0,568
MAS,185,0.0,240
MDB,249,0.0,468
MES,6,38.41935483870968,0
MG,331,0.0,568
MMLH,121,0.0,169
MP,254,0.0,551
MRB,253,0.0,598
MRN,196,0.0,367
MT,0,0.0,0
MTH,341,0.0,627
MTN,3,38.41935483870968,0
MTR,1,93.64516129032258,0
MZ,77,0.0,51
NDB,202,0.0,241
NH,33,0.0,33
NKK,210,0.0,480
NM,131,0.0,180
NMD,136,0.0,201
NMGO,134,0.0,201
NMH,128,0.0,180
NML,132,0.0,201
NS,238,0.0,480
NSCH,376,0.0,634
NVD,237,0.0,468
NVP,209,0.0,42
NWK,209,0.0,246
O,149,0.0,167
OBD,267,0.0,168
ODB,187,0.0,441
ODZ,235,0.0,528
OMN,249,0.0,558
OP,156,0.0,215
OST,205,0.0,527
OT,127,0.0,94
OTB,154,0.0,458
OVN,221,0.0,42
OW,148,0.0,167
PMO,242,0.0,498
PMR,241,0.0,519
PMW,240,0.0,522
PT,217,0.0,480
RAI,212,0.0,243
RAT,244,0.0,551
RB,209,0.0,472
RD,370,0.0,635
RH,160,0.0,459
RHN,219,0.0,370
RL,201,0.0,463
RLB,199,0.0,652
RM,46,73.03225806451613,2
RS,137,0.0,167
RSD,180,0.0,436
RSN,221,0.0,461
RSW,175,0.0,17
RTA,204,0.0,188
RTB,195,0.0,188
RTD,194,0.0,118
RTN,199,0.0,188
RTST,199,0.0,188
RTZ,198,0.0,188
RV,57,0.0,51
RVS,147,0.0,201
SBK,28,0.0,32
SD,198,0.0,264
SDA,359,0.0,625
SDM,190,0.0,118
SDT,191,0.0,241
SDTB,193,0.0,553
SGL,10,38.41935483870968,14
SGN,275,1.3548387096774193,168
SHL,219,0.0967741935483871,61
SK,343,0.0,568
SKND,342,0.0,568
SM,51,0.0,51
SN,30,0.0,33
SOG,16,38.41935483870968,14
SPTN,226,0.0,42
SPTZ,224,0.0,42
SRN,28,35.645161290322584,2
SSH,198,0.0,42
ST,197,0.0,264
STD,21,75.03225806451613,0
STM,354,0.0,631
STV,372,0.0,576
STZ,196,0.0,264
SWD,343,0.0,619
SWK,268,0.0,601
TB,135,0.0,94
TBG,186,0.0,495
TBR,140,0.0,107
TBU,136,0.0,107
TG,64,0.0,65
TL,164,0.0,210
TPSW,162,0.0,210
TWL,200,0.0,527
UHM,367,0.0,635
UHZ,364,0.0,635
UST,359,0.0,634
UT,178,36.03225806451613,167
UTG,238,0.0,62
UTLN,174,0.0,291
UTLR,181,0.0,240
UTO,181,0.0,240
UTT,183,0.0,240
UTVR,177,0.0,291
UTZL,180,0.0,240
VB,178,0.0,61
VD,191,0.0,461
VDL,22,38.41935483870968,14
VDM,359,0.0,632
VEM,183,0.0,461
VG,126,0.0,94
VH,198,0.0,42
VHP,247,0.0,598
VK,13,38.41935483870968,14
VL,69,0.0,84
VLB,99,0.0,137
VNDC,211,0.0,369
VNDW,210,0.0,369
VP,156,0.0,459
VRY,92,0.0,137
VS,255,0.0,468
VSS,254,0.0,441
VST,185,0.0,35
VSV,193,0.0,495
VTN,185,0.0,245
VZ,240,0.0,597
WAD,211,0.0,117
WADN,212,0.0,117
WADT,210,0.0,117
WC,140,0.0,201
WD,194,0.0,240
WDN,229,0.0,468
WF,158,0.0,201
WFM,356,0.0,634
WH,212,0.0,537
WK,359,0.0,571
WL,175,0.0,478
WM,233,0.0,522
WP,211,0.0,252
WR,386,0.0,643
WS,364,0.0,634
WSM,348,0.0,620
WT,70,37.38709677419355,51
WTV,155,0.0,460
WV,281,0.0,551
WW,214,0.0,514
WWW,215,0.0,514
WZ,235,0.0,551
YPB,182,0.0,64
ZA,150,0.0,215
ZB,351,0.0,628
ZBM,143,0.1290322580645161,167
ZD,227,14.838709677419354,519
ZDK,230,0.0,522
ZH,344,0.0,619
ZL,226,0.0,537
ZLSH,231,0.0,551
ZLW,171,0.0,454
ZP,179,0.0,461
ZTM,187,0.0,61
ZTMO,188,0.0,61
ZV,164,0.0,458
ZVB,179,0.0,459
ZVT,227,0.0,42
ZWD,188,0.0,553
ZZS,230,0.0,522
