Station Code,Distance from NSCH,Services from/to NSCH,Disruptions on path to NSCH
ZA,248,0.0,447
ZB,25,19.548387096774192,9
ZBM,272,0.0,534
ZD,271,0.0,512
ZDK,274,0.0,515
ZH,60,0.0,45
ZL,150,0.0,83
ZLSH,155,0.0,97
ZLW,327,0.0,685
ZP,197,0.0,173
ZTM,285,0.0,495
ZTMO,284,0.0,495
ZV,238,0.0,185
ZVB,335,0.0,690
ZVT,288,0.0,529
ZWD,311,0.0,679
ZZS,274,0.0,515
