Station Code,distance_WL,services_per_day_WL,n_of_disruptions_WL
LG,176,0,495
LLS,147,0,701
LLZM,128,0,435
LP,231,0,202
LTN,50,0,300
LTV,49,0,36
LUT,158,0,478
LW,194,0,122
LWC,197,0,139
MAS,90,0,350
MDB,223,0,764
MES,181,0,480
MG,204,0,139
MMLH,54,0,298
MP,127,0,122
MRB,126,0,169
MRN,79,0,331
MT,175,0,478
MTH,214,0,198
MTN,178,0,480
MTR,176,0,480
MZ,140,0,465
NDB,98,0,558
NH,166,0,509
NKK,87,0,557
NM,44,0,277
NMD,49,0,298
NMGO,47,0,298
NMH,47,0,298
NML,43,0,291
NS,115,0,557
NSCH,249,0,205
NVD,110,0,105
NVP,139,0,542
NWK,124,0,435
O,68,0,298
OBD,173,0,929
ODB,161,0,733
ODZ,108,0,99
OMN,122,0,129
OP,53,0,291
OST,78,0,98
OT,108,0,435
OTB,29,0,277
OVN,142,0,853
OW,69,0,319
PMO,146,0,838
PMR,145,0,837
PMW,144,0,840
PT,94,0,560
RAI,117,0,353
RAT,117,0,122
RB,183,0,764
RD,243,0,206
RH,33,0,26
RHN,102,0,334
RL,62,0,48
RLB,143,0,587
RM,129,0,427
RS,80,0,319
RSD,154,0,728
RSN,94,0,98
RSW,147,0,450
RTA,129,0,435
RTB,140,0,505
RTD,139,0,435
RTN,134,0,437
RTST,144,0,514
RTZ,143,0,514
RV,118,0,413
RVS,60,0,277
SBK,161,0,508
SD,89,0,571
SDA,232,0,196
SDM,143,0,505
SDT,120,0,368
SDTB,123,0,369
SGL,185,0,494
SGN,181,0,929
SHL,129,0,364
SK,216,0,139
SKND,215,0,139
SM,124,0,427
SN,163,0,509
SOG,183,0,495
SPTN,147,0,871
SPTZ,145,0,871
SRN,147,0,505
SSH,141,0,458
ST,90,0,571
STD,154,0,476
STM,227,0,202
STV,245,0,147
STZ,91,0,561
SWD,216,0,190
SWK,141,0,172
TB,109,0,392
TBG,11,36.354838709677416,17
TBR,114,0,405
TBU,110,0,405
TG,111,0,394
TL,69,0,294
TPSW,71,0,294
TWL,0,0,0
UHM,240,0,206
UHZ,237,0,206
UST,232,0,205
UT,83,0,277
UTG,144,0,875
UTLN,85,0,375
UTLR,86,0,350
UTO,86,0,350
UTT,88,0,350
UTVR,82,0,375
UTZL,85,0,350
VB,140,0,435
VD,64,0,32
VDL,177,0,495
VDM,232,0,203
VEM,56,0,32
VG,91,0,392
VH,141,0,458
VHP,120,0,169
VK,186,0,495
VL,106,0,393
VLB,76,0,340
VNDC,94,0,333
VNDW,93,0,333
VP,29,0,26
VRY,83,0,341
VS,229,0,766
VSS,228,0,766
VST,138,0,543
VSV,18,35.54838709677419,17
