Station Code,Distance from ASDM,Services from/to ASDM,Disruptions on path to ASDM
NSCH,257,0.0,98
NVD,139,0.0,24
NVP,29,33.38709677419355,90
NWK,67,36.483870967741936,99
O,102,0.0,233
OBD,56,0.0,279
ODB,133,0.0,291
ODZ,158,0.0,342
OMN,130,0.0,22
OP,89,0.0,60
OST,109,0.0,306
OT,104,0.0,276
OTB,88,0.0,280
OVN,25,0.0,295
OW,101,0.0,233
PMO,29,0.0,258
PMR,28,0.0,279
PMW,27,0.0,282
PT,59,0.0,240
RAI,7,0.0,40
RAT,125,0.0,15
RB,169,0.0,291
RD,251,0.0,99
RH,102,0.0,538
RHN,78,1.5483870967741935,49
RL,124,0.0,277
RLB,89,0.0,169
RM,167,0.0,276
RS,90,0.0,233
RSD,140,0.0,169
RSN,125,0.0,275
RSW,67,0.0,119
RTA,72,36.483870967741936,99
RTB,83,0.0,169
RTD,82,36.483870967741936,99
RTN,77,36.483870967741936,101
RTST,87,0.0,169
RTZ,86,0.0,169
RV,178,0.0,325
RVS,110,0.0,254
SBK,199,0.0,357
SD,36,0.0,15
SDA,240,0.0,89
SDM,82,0.0,220
SDT,100,0.0,88
SDTB,103,0.0,89
SGL,223,0.0,343
SGN,64,0.0,371
SHL,19,53.74193548387097,40
SK,224,0.0,257
SKND,223,0.0,257
SM,172,0.0,325
SN,201,0.0,358
SOG,221,0.0,344
SPTN,30,0.0,295
SPTZ,28,0.0,295
SRN,185,0.0,354
SSH,40,33.38709677419355,90
ST,37,0.0,15
STD,192,0.0,325
STM,235,0.0,95
STV,253,0.0,265
STZ,38,0.0,15
SWD,224,0.0,83
SWK,149,0.0,65
TB,105,0.0,233
TBG,128,0.0,574
TBR,110,0.0,246
TBU,106,0.0,246
TG,172,0.0,234
TL,73,0.0,57
TPSW,71,0.0,57
TWL,94,0.0,275
UHM,248,0.0,99
UHZ,245,0.0,99
UST,240,0.0,98
UT,35,10.225806451612904,37
UTG,27,43.41935483870968,317
UTLN,39,0.0,110
UTLR,38,0.0,110
UTO,38,0.0,110
UTT,40,0.0,110
UTVR,36,6.580645161290323,110
UTZL,33,10.225806451612904,17
VB,66,0.0,119
VD,114,0.0,275
VDL,215,0.0,344
VDM,240,0.0,96
VEM,98,0.0,277
VG,87,0.0,233
VH,44,0.0,279
VHP,147,0.0,25
VK,224,0.0,344
VL,167,0.0,233
VLB,143,0.0,343
VNDC,70,1.5483870967741935,48
VNDW,69,1.5483870967741935,48
VP,98,0.0,538
VRY,150,0.0,344
VS,215,0.0,201
VSS,214,0.0,174
VST,53,18.32258064516129,185
VSV,135,0.0,574
VTN,42,0.0,115
VZ,144,0.0,376
WAD,66,0.0,99
WADN,67,0.0,99
WADT,65,0.0,99
WC,117,0.0,257
WD,42,36.483870967741936,14
WDN,133,0.0,282
WF,84,0.0,280
WFM,237,0.0,98
WH,116,0.0,316
WK,240,0.0,260
WL,117,0.0,557
WM,20,43.41935483870968,282
WP,10,77.96774193548387,1
WR,267,0.0,107
WS,245,0.0,98
WSM,229,0.0,84
WT,143,0.0,276
WTV,97,0.0,539
WV,162,0.0,15
WW,147,0.0,289
WWW,146,0.0,289
WZ,98,0.0,253
YPB,70,0.0,122
ZA,95,0.0,60
ZB,232,0.0,92
ZBM,70,0.0,57
ZD,14,43.41935483870968,279
ZDK,17,0.0,282
ZH,225,0.0,83
ZL,107,36.87096774193548,1
ZLSH,112,0.0,15
ZLW,117,0.0,286
ZP,102,0.0,275
ZTM,74,0.0,99
ZTMO,73,0.0,99
ZV,106,0.0,537
ZVB,125,0.0,291
ZVT,31,0.0,295
ZWD,100,0.0,274
ZZS,17,43.41935483870968,282
