Station Code,Distance from WD,Services from/to WD,Disruptions on path to WD
ODB,91,0.0,277
ODZ,154,0.0,342
OMN,126,0.0,261
OP,70,0.0,119
OST,105,0.0,306
OT,85,0.0,189
OTB,70,0.0,95
OVN,65,0.0,107
OW,82,0.0,146
PMO,71,0.0,258
PMR,70,0.0,279
PMW,69,0.0,282
PT,55,0.0,240
RAI,41,0.0,17
RAT,121,0.0,254
RB,127,0.0,277
RD,247,0.0,338
RH,84,0.0,331
RHN,59,0.0,108
RL,120,0.0,277
RLB,47,0.0,155
RM,148,0.0,211
RS,71,0.0,146
RSD,98,0.0,155
RSN,121,0.0,275
RSW,48,0.0,100
RTA,30,36.516129032258064,85
RTB,41,0.0,155
RTD,40,36.516129032258064,85
RTN,35,36.483870967741936,87
RTST,45,0.0,155
RTZ,44,0.0,155
RV,159,0.0,260
RVS,91,0.0,167
SBK,180,0.0,292
SD,36,0.0,97
SDA,236,0.0,328
SDM,44,0.0,155
SDT,70,0.0,272
SDTB,67,0.0,272
SGL,204,0.0,278
SGN,106,0.0,371
SHL,53,0.0,14
SK,220,0.0,257
SKND,219,0.0,257
SM,153,0.0,260
SN,182,0.0,293
SOG,202,0.0,279
SPTN,70,0.0,107
SPTZ,68,0.0,107
SRN,166,0.0,289
SSH,42,0.0,107
ST,35,0.0,97
STD,173,0.0,260
STM,231,0.0,334
STV,249,0.0,265
STZ,34,0.0,97
SWD,220,0.0,322
SWK,145,0.0,304
TB,86,0.0,146
TBG,110,0.0,367
TBR,91,0.0,159
TBU,87,0.0,159
TG,153,0.0,212
TL,54,35.225806451612904,116
TPSW,52,35.225806451612904,116
TWL,90,0.0,275
UHM,244,0.0,338
UHZ,241,0.0,338
UST,236,0.0,337
UT,16,88.2258064516129,0
UTG,69,36.193548387096776,317
UTLN,20,36.25806451612903,73
UTLR,13,50.74193548387097,14
UTO,19,0.0,73
UTT,11,50.74193548387097,9
UTVR,17,36.25806451612903,73
UTZL,18,0.0,73
VB,41,36.45161290322581,85
VD,110,0.0,275
VDL,196,0.0,279
VDM,236,0.0,335
VEM,94,0.0,277
VG,68,0.0,146
VH,42,0.0,107
VHP,143,0.0,264
VK,205,0.0,279
VL,148,0.0,211
VLB,125,0.0,393
VNDC,51,0.0,107
VNDW,50,0.0,107
VP,80,0.0,331
VRY,132,0.0,394
VS,173,0.0,187
VSS,172,0.0,160
VST,39,0.0,192
VSV,117,0.0,367
VTN,9,50.74193548387097,0
VZ,140,0.0,376
WAD,24,0.0,85
WADN,25,0.0,85
WADT,23,0.0,85
WC,98,0.0,170
WD,0,0.0,0
WDN,129,0.0,282
WF,66,0.0,95
WFM,233,0.0,337
WH,112,0.0,316
WK,236,0.0,260
WL,99,0.0,350
WM,62,36.193548387096776,282
WP,47,0.0,160
WR,263,0.0,346
WS,241,0.0,337
WSM,225,0.0,323
WT,124,0.0,211
WTV,79,0.0,332
