Station Code,Distance from ASD,Services from/to ASD,Disruptions on path to ASD
BV,29,35.70967741935484,21
BZL,189,17.677419354838708,222
CAS,27,88.0,24
CK,130,0.0,326
CL,57,0.0,101
CO,166,0.0,34
CPS,75,36.483870967741936,86
CVM,218,0.0,62
DA,153,0.0,24
DB,51,42.38709677419355,73
DDN,146,0.0,304
DDR,106,31.032258064516128,70
DDRS,109,0.0,187
DDZD,107,0.0,187
DEI,210,0.0,271
DID,115,0.0,551
DL,123,0.0,14
DLD,48,0.0,15
DLN,170,0.0,48
DMN,7,78.0,0
DMNZ,10,0.0,40
DN,141,0.0,215
DR,112,0.0,551
DRH,27,35.61290322580645,38
DRON,79,37.16129032258065,145
DRP,217,0.0,285
DT,72,35.87096774193548,29
DTC,126,0.0,571
DTCH,124,0.0,571
DTCP,73,0.0,130
DV,103,15.516129032258064,254
DVC,107,0.0,289
DVD,8,49.193548387096776,37
DVN,105,0.0,553
DVNK,51,19.0,21
DWE,223,0.0,271
DZ,255,0.0,112
DZW,254,0.0,112
EC,184,0.0,260
ED,79,35.806451612903224,272
EDC,77,0.0,271
EDN,226,0.0,264
EEM,262,0.0,111
EGH,217,0.0,61
EGHM,218,0.0,61
EHS,118,0.0,149
EHV,119,50.74193548387097,149
EKZ,61,39.70967741935484,93
EML,68,0.0,254
EMN,186,0.0,49
EMNZ,182,0.0,48
ES,159,0.0,356
ESK,155,0.0,356
EST,107,0.8709677419354839,551
ETN,141,0.0,482
FN,223,0.0,271
FWD,220,0.0,271
GBG,159,0.0,34
GD,62,39.096774193548384,1
GDG,59,36.483870967741936,1
GDM,65,0.0967741935483871,73
GDR,131,0.0,588
GERP,215,0.3548387096774194,67
GK,236,0.0,82
GLN,200,0.0,262
GN,217,1.4838709677419355,67
GND,100,0.0,137
GNN,221,0.0,82
GO,136,0.0,296
GP,125,0.0,211
GR,91,0.0,135
GS,194,26.83870967741936,75
GV,64,36.29032258064516,29
GVC,63,29.64516129032258,0
GVM,59,19.0,21
GVMW,65,0.0,44
GW,193,0.032258064516129,71
GZ,120,0.0,161
HAD,23,38.38709677419355,21
HB,211,0.0,293
HBZM,103,0.0,147
HD,72,0.0,257
HDB,153,0.0,21
HDE,93,0.0,254
HDG,216,0.0,271
HDR,81,36.096774193548384,122
HDRZ,80,36.096774193548384,122
HFD,24,55.70967741935484,50
HGL,151,6.612903225806452,337
HGLG,149,0.0,337
HGLO,153,0.0,356
HGV,159,0.3548387096774194,14
HGZ,228,0.0,90
HIL,30,0.032258064516129,21
HK,26,35.61290322580645,60
HKS,53,39.70967741935484,77
HLG,232,0.0,272
HLGH,233,0.0,276
HLM,19,102.58064516129032,0
HLMS,18,57.25806451612903,21
HLO,34,73.19354838709677,27
HM,132,0.0,211
HMBH,133,0.0,215
HMBV,129,0.0,211
HMH,131,0.0,211
HMN,96,0.0,119
HN,43,67.03225806451613,21
HNK,44,39.74193548387097,77
HNO,123,0.0,14
HNP,248,0.0,274
HON,122,0.0,289
HOR,35,0.032258064516129,0
HR,177,1.064516129032258,71
HRL,212,11.806451612903226,44
HRLW,214,0.0,61
HRN,211,0.3548387096774194,67
HRT,159,0.0,243
HT,87,50.774193548387096,73
HTN,47,0.0,73
HTNC,48,0.0,101
HTO,88,0.0,146
HVL,51,0.0,254
HVS,29,74.25806451612904,0
HVSM,28,38.2258064516129,51
HVSP,30,0.0,1
HWD,46,63.29032258064516,103
HWZB,11,57.25806451612903,21
HZE,130,0.0,217
IJT,231,0.0,272
KBD,176,17.677419354838708,75
KBK,97,0.0,290
KLP,73,16.548387096774192,73
KMA,18,47.064516129032256,34
KMR,220,0.0,61
KMW,253,0.0,279
KPN,126,0.0,14
KPNZ,96,37.16129032258065,146
KRD,220,0.0,72
KRG,183,17.741935483870968,75
KTR,89,0.0,116
KW,225,0.0,88
KZ,12,47.064516129032256,24
LAA,62,51.354838709677416,0
LC,123,0.0,289
LDL,49,0.0,10
LDM,79,0.0,117
LEDN,48,84.29032258064517,0
LG,215,0.0,61
LLS,54,42.354838709677416,131
LLZM,75,0.0,86
LP,243,0.0,94
LTN,71,0.0,271
LTV,141,0.0,291
LUT,200,0.0,262
LW,206,1.064516129032258,254
LWC,209,0.0,271
MAS,32,10.225806451612904,14
MDB,213,26.83870967741936,102
MES,223,0.0,264
MG,216,0.0,271
MMLH,125,0.0,315
MP,139,1.4193548387096775,14
MRB,145,0.0,21
MRN,59,1.5483870967741935,105
MT,217,36.54838709677419,262
MTH,226,0.0,90
MTN,220,0.0,264
MTR,218,0.0,264
MZ,140,0.0,222
NDB,23,38.2258064516129,7
NH,208,0.0,293
NKK,56,0.0,254
NM,115,35.806451612903224,294
NMD,120,0.0,315
NMGO,118,0.0,315
NMH,118,0.0,315
NML,114,0.8387096774193549,565
NS,84,0.0,254
NSCH,261,0.0,97
NVD,143,0.0,23
NVP,29,34.12903225806452,50
NWK,71,36.483870967741936,86
O,106,0.0,146
OBD,52,27.225806451612904,21
ODB,137,0.032258064516129,192
ODZ,162,0.0,356
OMN,134,0.0,21
OP,93,0.0,119
OST,113,0.0,320
OT,108,0.0,189
OTB,92,0.0,294
OVN,21,19.870967741935484,37
OW,105,0.0,146
PMO,25,1.1612903225806452,0
PMR,24,1.7741935483870968,21
PMW,23,1.064516129032258,24
PT,63,0.0,254
RAI,11,0.0,40
RAT,129,0.0,14
RB,173,17.677419354838708,192
RD,255,0.0,98
RH,106,0.0,552
RHN,82,1.5483870967741935,108
RL,128,0.0,291
RLB,93,0.0,70
RM,171,48.354838709677416,211
RS,94,0.0,146
RSD,144,30.580645161290324,70
RSN,129,0.032258064516129,289
RSW,67,0.0,29
RTA,76,36.483870967741936,86
RTB,87,31.032258064516128,70
RTD,86,159.6451612903226,0
RTN,81,36.483870967741936,88
RTST,91,0.0,70
RTZ,90,0.0,70
RV,182,0.0,260
RVS,114,0.0,167
SBK,203,0.0,292
SD,40,0.0,15
SDA,244,0.0,88
SDM,82,32.354838709677416,130
SDT,104,0.0,147
SDTB,107,0.0,148
SGL,227,0.0,278
SGN,60,36.096774193548384,113
SHL,19,148.32258064516128,0
SK,228,0.0,271
SKND,227,0.0,271
SM,176,0.0,260
SN,205,0.0,293
SOG,222,0.0,61
SPTN,26,35.61290322580645,37
SPTZ,24,35.61290322580645,37
SRN,189,0.0,289
SSH,40,34.064516129032256,50
ST,41,0.0,15
STD,196,48.354838709677416,260
STM,239,0.0,94
STV,257,0.0,279
STZ,42,0.0,15
SWD,228,0.0,82
SWK,153,1.064516129032258,64
TB,109,0.0,146
TBG,132,0.0,588
TBR,114,0.0,159
TBU,110,0.0,159
TG,176,0.0,212
TL,77,0.0,116
TPSW,75,0.0,116
TWL,98,0.0,289
UHM,252,0.0,98
UHZ,249,0.0,98
UST,244,0.0,97
UT,39,112.0,0
UTG,23,82.6774193548387,59
UTLN,43,0.0,73
UTLR,42,0.0,73
