Station Code,Distance from ALMP,Services from/to ALMP,Disruptions on path to ALMP
AC,34,0.0,138
AH,100,0.0,424
AHP,101,0.0,681
AHPR,103,0.0,681
AHZ,108,0.0,681
AKL,98,0.0,261
AKM,156,0.0,26
ALM,2,58.83870967741935,0
ALMB,4,62.064516129032256,0
ALMM,3,58.58064516129032,131
ALMO,6,62.064516129032256,5
ALMP,0,0.0,0
AMF,49,0.0,144
AMFS,52,0.0,384
AML,124,0.0,51
AMPO,5,58.58064516129032,132
AMR,71,0.0,416
AMRI,126,0.0,121
AMRN,72,0.0,491
ANA,101,0.0,502
APD,92,0.0,131
APDM,93,0.0,166
APDO,95,0.0,166
APG,219,0.0,110
APN,84,0.0,158
ARN,228,0.0,308
ASA,29,0.0,134
ASB,29,0.0,134
ASD,32,38.16129032258065,131
ASDL,39,34.645161290322584,389
ASDM,28,38.16129032258065,139
ASDZ,31,20.41935483870968,131
ASHD,30,0.0,148
ASN,157,0.0,30
ASS,36,34.645161290322584,389
ASSP,27,38.16129032258065,139
ATN,152,0.0,718
AVAT,55,0.0,390
BD,142,0.0,303
BDE,223,0.0,406
BDG,76,0.0,149
BDM,200,0.0,99
BDPB,147,0.0,626
BET,121,0.0,217
BF,204,0.0,99
BGN,176,0.0,424
BHDV,109,0.0,281
BHV,54,0.0,144
BK,216,0.0,407
BKF,90,0.0,474
BKG,89,0.0,470
BKL,46,0.0,265
BL,141,0.0,30
BLL,54,0.0,426
BMN,117,0.0,166
BMR,144,0.0,459
BN,133,0.0,121
BNC,68,0.0,385
BNK,59,0.0,217
BNN,65,0.0,384
BNZ,70,0.0,401
BP,198,0.0,36
BR,179,0.0,488
BRD,116,0.0,309
BRN,40,0.0,144
BSD,84,0.0,260
BSK,90,0.0,239
BSKS,91,0.0,262
BSMZ,28,0.0,143
BTL,111,0.0,290
BV,61,0.0,410
BZL,208,0.0,455
CAS,59,0.0,413
CK,134,0.0,456
CL,69,0.0,245
CO,134,0.0,50
CPS,94,0.0,233
CVM,233,0.0,424
DA,121,0.0,40
DB,63,0.0,217
DDN,143,0.0,140
DDR,125,0.0,303
DDRS,123,0.0,292
DDZD,126,0.0,420
DEI,178,0.0,36
DID,119,0.0,681
DL,91,0.0,30
DLD,52,0.0,158
DLN,138,0.0,64
DMN,25,38.16129032258065,138
DMNZ,25,20.41935483870968,138
DN,153,0.0,359
DR,116,0.0,681
DRH,59,0.0,427
DRON,47,36.87096774193548,19
DRP,185,0.0,50
DT,95,0.0,348
DTC,130,0.0,701
DTCH,128,0.0,701
DTCP,96,0.0,449
DV,107,0.0,131
DVC,111,0.0,166
DVD,27,20.41935483870968,131
DVN,109,0.0,683
DVNK,74,19.032258064516128,343
DWE,191,0.0,36
DZ,223,0.0,128
DZW,222,0.0,128
EC,196,0.0,404
ED,83,0.0,402
EDC,81,0.0,401
EDN,238,0.0,408
EEM,230,0.0,127
EGH,232,0.0,423
EGHM,233,0.0,423
EHS,130,0.0,293
EHV,131,0.0,293
EKZ,93,0.0,482
EML,72,0.0,384
EMN,154,0.0,65
EMNZ,150,0.0,64
ES,146,0.0,140
ESK,142,0.0,140
EST,111,0.0,681
ETN,153,0.0,626
