Station Code,Distance from HRN,Services from/to HRN,Disruptions on path to HRN
VK,337,0.0,621
VL,257,0.0,519
VLB,227,0.0,466
VNDC,222,0.0,414
VNDW,221,0.0,414
VP,170,0.0,149
VRY,234,0.0,467
VS,375,0.0,604
VSS,374,0.0,577
VST,242,0.0,500
VSV,213,0.0,176
VTN,194,0.0,385
VZ,147,0.0,78
WAD,227,0.0,465
WADN,228,0.0,465
WADT,226,0.0,465
WC,204,0.0,403
WD,203,0.0,307
WDN,140,0.0,88
WF,184,0.0,403
WFM,30,0.0,30
WH,114,0.0,67
WK,98,0.0,35
WL,199,0.0,175
WM,227,0.0,349
WP,197,0.0,204
WR,60,0.0,39
WS,38,0.0,30
WSM,22,0.0,16
WT,295,0.0,518
WTV,179,0.0,152
WV,99,0.0,110
WW,192,0.0,157
WWW,191,0.0,157
WZ,109,0.032258064516129,67
YPB,240,0.0,383
ZA,198,0.0,417
ZB,25,0.0,24
ZBM,222,0.0,423
ZD,221,0.0,346
ZDK,224,0.0,349
ZH,18,0.0,15
ZL,100,35.225806451612904,53
ZLSH,105,0.0,67
ZLW,277,0.0,572
ZP,147,0.0,143
ZTM,235,0.0,380
ZTMO,234,0.0,465
ZV,188,0.0,155
ZVB,285,0.0,577
ZVT,238,0.0,362
ZWD,261,0.0,640
ZZS,224,0.0,349
