Station Code,Distance from HTNC,Services from/to HTNC,Disruptions on path to HTNC
HBZM,55,0.0,127
HD,57,0.0,344
HDB,138,0.0,362
HDE,78,0.0,341
HDG,201,0.0,358
HDR,129,0.0,481
HDRZ,128,0.0,481
HFD,60,0.0,189
HGL,136,0.0,424
HGLG,134,0.0,424
HGLO,138,0.0,443
HGV,144,0.0,355
HGZ,213,0.0,431
HIL,77,0.0,209
HK,74,0.0,419
HKS,101,0.0,436
HLG,217,0.0,359
HLGH,218,0.0,363
HLM,67,0.0,359
HLMS,66,0.0,380
HLO,82,0.0,386
HM,84,0.0,212
HMBH,85,0.0,216
HMBV,81,0.0,231
HMH,83,0.0,231
HMN,48,0.0,99
HN,91,0.0,380
HNK,92,0.0,436
HNO,108,0.0,355
HNP,233,0.0,361
HON,107,0.0,376
HOR,21,0.0,101
HR,162,0.0,412
HRL,167,0.0,263
HRLW,169,0.0,280
HRN,196,0.0,408
HRT,111,0.0,244
HT,39,36.935483870967744,96
HTN,1,74.25806451612904,0
HTNC,0,0.0,0
HTO,40,0.0,169
HVL,36,0.0,341
HVS,27,0.0,101
HVSM,28,0.0,102
HVSP,26,0.0,101
HWD,94,0.0,462
HWZB,59,0.0,380
HZE,82,0.0,237
IJT,216,0.0,359
KBD,136,0.0,250
KBK,82,0.0,377
KLP,41,0.0,104
KMA,66,0.0,393
KMR,175,0.0,280
KMW,238,0.0,366
KPN,111,0.0,355
KPNZ,111,0.0,355
KRD,175,0.0,291
KRG,143,0.0,250
KTR,41,0.0,96
KW,210,0.0,429
KZ,60,0.0,383
LAA,70,0.0,133
LC,108,0.0,376
LDL,58,0.0,192
LDM,31,0.0,97
LEDN,59,0.0,199
LG,170,0.0,280
LLS,82,0.0,245
LLZM,54,34.41935483870968,186
LP,228,0.0,435
LTN,56,0.0,127
LTV,126,0.0,378
LUT,152,0.0,263
LW,191,0.0,341
LWC,194,0.0,358
MAS,16,0.0,101
MDB,173,0.0,277
MES,175,0.0,265
MG,201,0.0,358
MMLH,80,0.0,134
MP,124,0.0,355
MRB,130,0.0,362
MRN,27,0.0,104
MT,169,0.0,263
MTH,211,0.0,431
MTN,172,0.0,265
MTR,170,0.0,265
MZ,92,0.0,242
NDB,33,0.0,102
NH,160,0.0,294
NKK,41,0.0,341
NM,70,0.0,113
NMD,75,0.0,134
NMGO,73,0.0,134
NMH,73,0.0,134
NML,69,0.0,113
NS,69,0.0,341
NSCH,246,0.0,438
NVD,128,0.0,364
NVP,65,0.0,317
NWK,50,0.0,186
O,58,0.0,169
OBD,100,0.0,380
ODB,97,0.0,250
ODZ,147,0.0,443
OMN,119,0.0,362
OP,45,0.0,99
OST,98,0.0,407
OT,60,0.0,212
OTB,61,0.0,126
OVN,69,0.0,396
OW,57,0.0,169
PMO,73,0.0,359
PMR,72,0.0,380
PMW,71,0.0,383
PT,48,0.0,341
RAI,43,0.0,104
RAT,114,0.0,355
RB,133,0.0,250
RD,240,0.0,439
RH,75,0.0,384
RHN,50,0.0,107
RL,113,0.0,378
RLB,72,0.0,256
RM,123,0.0,212
RS,46,0.0,169
RSD,104,0.0,245
RSN,114,0.0,376
RSW,73,0.0,201
RTA,55,0.0,186
RTB,66,0.0,256
RTD,65,0.0,186
RTN,60,0.0,188
RTST,70,0.0,256
RTZ,69,0.0,256
RV,134,0.0,261
RVS,66,0.0,190
SBK,155,0.0,293
SD,29,0.0,125
SDA,229,0.0,429
SDM,69,0.0,256
SDT,56,0.0,127
SDTB,59,0.0,128
SGL,179,0.0,279
SGN,108,0.0,472
SHL,55,0.0,115
SK,213,0.0,358
SKND,212,0.0,358
SM,128,0.0,261
SN,157,0.0,294
SOG,177,0.0,280
SPTN,74,0.0,396
SPTZ,72,0.0,396
SRN,141,0.0,290
SSH,67,0.0,209
ST,28,0.0,125
STD,148,0.0,261
STM,224,0.0,435
STV,242,0.0,366
STZ,27,0.0,125
SWD,213,0.0,423
SWK,138,0.0,405
TB,61,0.0,169
TBG,101,0.0,420
TBR,66,0.0,182
TBU,62,0.0,182
TG,128,0.0,170
TL,29,37.25806451612903,96
TPSW,27,37.25806451612903,96
TWL,83,0.0,376
UHM,237,0.0,439
UHZ,234,0.0,439
UST,229,0.0,438
UT,9,74.25806451612904,28
UTG,71,0.0,418
UTLN,5,74.25806451612904,28
UTLR,12,35.483870967741936,101
UTO,12,0.0,101
UTT,14,35.483870967741936,101
UTVR,8,74.25806451612904,28
UTZL,11,0.0,101
VB,66,34.41935483870968,186
VD,103,0.0,376
VDL,171,0.0,280
VDM,229,0.0,436
VEM,87,0.0,378
VG,43,0.0,169
VH,67,0.0,209
VHP,136,0.0,365
VK,180,0.0,280
VL,123,0.0,169
VLB,102,0.0,176
VNDC,42,0.0,106
VNDW,41,0.0,106
VP,71,0.0,384
VRY,109,0.0,177
VS,179,0.0,277
VSS,178,0.0,250
VST,64,0.0,294
VSV,108,0.0,420
VTN,16,35.483870967741936,106
VZ,133,0.0,477
WAD,49,0.0,186
WADN,50,0.0,186
WADT,48,0.0,186
WC,73,0.0,193
WD,25,35.483870967741936,101
WDN,122,0.0,383
WF,57,0.0,126
WFM,226,0.0,438
WH,105,0.0,417
WK,229,0.0,361
WL,90,0.0,403
WM,64,0.0,383
WP,42,0.0,113
WR,256,0.0,447
WS,234,0.0,438
WSM,218,0.0,424
WT,99,0.0,212
WTV,70,0.0,385
WV,151,0.0,355
WW,129,0.0,439
WWW,130,0.0,439
WZ,87,0.0,354
YPB,62,34.41935483870968,104
ZA,51,0.0,99
ZB,221,0.0,432
ZBM,26,36.935483870967744,96
ZD,58,0.0,380
ZDK,61,0.0,383
ZH,214,0.0,423
ZL,96,0.0,341
ZLSH,101,0.0,355
ZLW,81,0.0,245
ZP,91,0.0,376
ZTM,57,26.451612903225808,101
ZTMO,56,34.41935483870968,186
ZV,79,0.0,383
ZVB,89,0.0,250
ZVT,75,0.0,396
ZWD,68,0.0,245
ZZS,61,0.0,383
