Station Code,Distance from DT,Services from/to DT,Disruptions on path to DT
AC,75,0.0,108
AH,127,0.3870967741935484,120
AHP,128,0.0,377
AHPR,130,0.0,377
AHZ,131,0.0,209
AKL,62,0.0,130
AKM,233,0.0,424
ALM,93,6.806451612903226,168
ALMB,99,6.806451612903226,299
ALMM,92,0.0,112
ALMO,101,0.032258064516129,299
ALMP,95,0.0,299
AMF,90,0.0,120
AMFS,93,0.0,360
AML,187,0.0,426
AMPO,90,0.0,112
AMR,88,0.0,65
AMRI,189,0.0,496
AMRN,89,0.0,140
ANA,118,0.0,151
APD,133,0.0,360
APDM,134,0.0,395
APDO,136,0.0,395
APG,296,0.0,27
APN,39,0.0,32
ARN,137,21.90322580645161,75
ASA,70,0.0,97
ASB,70,2.3225806451612905,94
ASD,72,35.32258064516129,44
ASDL,65,0.0,94
ASDM,72,0.0,134
ASDZ,64,8.580645161290322,94
ASHD,71,0.0,108
ASN,234,0.0,374
ASS,68,29.83870967741936,25
ASSP,73,0.0,148
ATN,179,0.0,414
AVAT,96,0.0,366
BD,64,33.58064516129032,70
BDE,186,0.0,19
BDG,47,0.0,113
BDM,277,0.0,16
BDPB,59,0.0,122
BET,112,0.0,449
BF,281,0.0,44
BGN,85,33.29032258064516,121
BHDV,51,0.0,128
BHV,78,0.0,120
BK,181,0.0,20
BKF,122,0.0,110
BKG,121,0.0,106
BKL,72,0.0,101
BL,218,0.0,374
BLL,56,0.0,25
BMN,149,0.0,380
BMR,161,0.0,244
BN,196,0.0,496
BNC,109,0.0,361
BNK,77,0.0,120
BNN,106,0.0,360
BNZ,111,0.0,377
BP,275,0.0,377
BR,172,0.6774193548387096,487
BRD,25,59.74193548387097,76
BRN,93,0.0,144
BSD,76,0.0,148
BSK,45,0.0,113
BSKS,46,0.0,136
BSMZ,87,0.0,123
BTL,102,0.0,406
BV,66,0.0,27
BZL,117,21.90322580645161,152
CAS,76,0.0,62
CK,151,0.0,241
CL,87,0.0,148
CO,211,0.0,394
CPS,25,0.0,72
CVM,160,0.0,18
DA,198,0.0,496
DB,81,0.0,120
