Station Code,Distance from BDPB,Services from/to BDPB,Disruptions on path to BDPB
AC,116,0.0,319
AH,110,7.354838709677419,451
AHP,111,0.0,708
AHPR,113,0.0,710
AHZ,102,7.354838709677419,465
AKL,53,0.0,137
AKM,260,0.0,786
ALM,145,0.0,495
ALMB,151,0.0,626
ALMM,144,0.0,494
ALMO,153,0.0,626
ALMP,147,0.0,626
AMF,117,0.0,482
AMFS,120,0.0,722
AML,194,0.0,777
AMPO,142,0.0,494
AMR,147,0.0,437
AMRI,196,0.0,847
AMRN,148,0.0,512
ANA,177,0.0,523
APD,157,0.0,711
APDM,156,0.0,712
APDO,160,0.0,746
APG,323,0.0,816
APN,87,0.0,300
ARN,94,0.0,359
ASA,129,0.0,482
ASB,125,0.0,482
ASD,131,0.0,242
ASDL,124,0.0,242
ASDM,131,0.0,519
ASDZ,123,0.0,242
ASHD,126,0.0,496
ASN,261,0.0,736
ASS,127,0.0,242
ASSP,132,0.0,533
ATN,162,0.0,745
AVAT,123,0.0,728
BD,5,30.70967741935484,0
BDE,155,0.0,437
BDG,95,0.0,381
BDM,304,0.0,805
BDPB,0,0.0,0
BET,53,0.0,379
BF,308,0.0,805
BGN,42,0.0,328
BHDV,42,0.0,135
BHV,105,0.0,482
BK,148,0.0,437
BKF,181,0.0,327
BKG,180,0.0,323
BKL,104,0.0,286
BL,245,0.0,741
BLL,115,0.0,395
BMN,132,0.0,711
BMR,116,0.0,465
BN,189,0.0,778
BNC,136,0.0,723
BNK,102,0.0,533
BNN,133,0.0,722
BNZ,138,0.0,739
BP,302,0.0,753
BR,113,0.0,417
BRD,34,0.0,122
BRN,120,0.0,506
BSD,67,0.0,155
BSK,81,0.0,277
BSKS,80,0.0,277
BSMZ,119,0.0,483
BTL,43,0.0,336
BV,125,0.0,415
BZL,74,0.0,359
CAS,135,0.0,434
CK,106,0.0,462
CL,78,0.0,452
CO,234,0.0,864
CPS,56,0.0,194
CVM,165,0.0,454
DA,205,0.0,847
DB,106,0.0,577
DDN,179,0.0,726
DDR,25,30.193548387096776,5
DDRS,28,0.0,122
DDZD,24,30.193548387096776,5
DEI,282,0.0,753
DID,129,0.0,708
DL,195,0.0,736
DLD,108,0.0,502
DLN,238,0.0,878
DMN,134,0.0,533
DMNZ,129,0.0,485
DN,85,0.0,389
DR,126,0.0,708
DRH,120,0.0,414
DRON,194,0.0,640
DRP,289,0.0,767
DT,59,0.0,192
DTC,140,0.0,728
DTCH,138,0.0,728
DTCP,58,0.0,192
DV,155,0.0,711
DVC,159,0.0,777
DVD,127,0.0,482
DVN,119,0.0,710
DVNK,80,0.0,311
DWE,295,0.0,753
DZ,327,0.0,834
DZW,326,0.0,834
EC,128,0.0,434
ED,127,0.0,708
EDC,129,0.0,730
EDN,170,0.0,438
EEM,334,0.0,833
EGH,164,0.0,453
EGHM,165,0.0,453
EHS,62,0.0,455
EHV,63,0.0,323
EKZ,184,0.0,335
EML,140,0.0,725
EMN,254,0.0,879
EMNZ,250,0.0,878
ES,192,0.0,778
ESK,188,0.0,778
EST,99,7.354838709677419,451
ETN,16,0.0,323
FN,295,0.0,753
FWD,292,0.0,753
GBG,227,0.0,864
GD,69,0.0,192
GDG,72,0.0,277
GDM,70,0.0,409
GDR,145,0.0,745
GERP,287,0.0,789
GK,308,0.0,804
GLN,144,0.0,436
GN,289,0.0,789
GND,39,0.0,125
GNN,293,0.0,804
GO,169,0.0,718
GP,69,0.0,385
GR,48,0.0,135
GS,79,0.0,359
GV,67,0.0,293
GVC,68,0.0,308
GVM,72,0.0,308
GVMW,66,0.0,293
GW,265,0.0,793
GZ,15,28.870967741935484,323
HAD,108,0.0,318
HB,155,0.0,467
HBZM,36,0.0,125
HD,144,0.0,725
HDB,221,0.0,851
HDE,165,0.0,722
HDG,288,0.0,753
HDR,189,0.0,532
HDRZ,188,0.0,532
HFD,107,0.0,308
HGL,184,0.0,759
