Station Code,Distance from EC,Services from/to EC,Disruptions on path to EC
PMO,209,0.0,496
PMR,208,0.0,517
PMW,207,0.0,520
PT,184,0.0,478
RAI,179,0.0,241
RAT,211,0.0,549
RB,176,0.0,470
RD,337,0.0,633
RH,127,0.0,457
RHN,186,0.0,368
RL,168,0.0,461
RLB,166,0.0,650
RM,13,36.64516129032258,0
RS,104,0.0,165
RSD,147,0.0,434
RSN,188,0.0,459
RSW,180,0.0,21
RTA,183,0.0,504
RTB,172,0.0,551
RTD,173,0.0,434
RTN,178,0.0,504
RTST,168,0.0,551
RTZ,169,0.0,434
RV,24,0.0,49
RVS,114,0.0,199
SBK,19,0.0,34
SD,165,0.0,262
SDA,326,0.0,623
SDM,177,0.0,504
SDT,158,0.0,239
SDTB,160,0.0,551
SGL,43,0.0,20
SGN,244,0.0,609
SHL,191,0.0,252
SK,310,0.0,566
SKND,309,0.0,566
SM,18,0.0,49
SN,21,0.0,35
SOG,41,0.0,21
SPTN,210,0.0,533
SPTZ,208,0.0,533
SRN,5,36.67741935483871,0
SSH,203,0.0,46
ST,164,0.0,262
STD,12,36.67741935483871,2
STM,321,0.0,629
STV,339,0.0,574
STZ,163,0.0,262
SWD,310,0.0,617
SWK,235,0.0,599
TB,102,0.0,92
TBG,153,0.0,493
TBR,107,0.0,105
TBU,103,0.0,105
TG,31,0.0,63
TL,131,0.0,208
TPSW,129,0.0,208
TWL,167,0.0,525
UHM,334,0.0,633
UHZ,331,0.0,633
UST,326,0.0,632
UT,145,0.0,165
UTG,207,0.0,555
UTLN,141,0.0,289
UTLR,148,0.0,238
UTO,148,0.0,238
UTT,150,0.0,238
UTVR,144,0.0,289
UTZL,147,0.0,238
VB,183,0.0,65
VD,158,0.0,459
VDL,35,0.0,21
VDM,326,0.0,630
VEM,150,0.0,459
VG,93,0.0,92
VH,203,0.0,46
VHP,214,0.0,596
VK,44,0.0,21
VL,36,0.0,82
VLB,66,0.0,135
VNDC,178,0.0,367
VNDW,177,0.0,367
VP,123,0.0,457
VRY,59,0.0,135
VS,222,0.0,466
VSS,221,0.0,439
VST,190,0.0,39
VSV,160,0.0,493
VTN,152,0.0,243
VZ,207,0.0,595
WAD,185,0.0,323
WADN,186,0.0,323
WADT,184,0.0,323
WC,107,0.0,199
WD,161,0.0,238
WDN,196,0.0,466
WF,125,0.0,199
WFM,323,0.0,632
WH,179,0.0,535
WK,326,0.0,569
WL,142,0.0,476
WM,200,0.0,520
WP,178,0.0,250
WR,353,0.0,641
WS,331,0.0,632
WSM,315,0.0,618
WT,37,0.0,49
WTV,122,0.0,458
WV,248,0.0,549
WW,181,0.0,512
WWW,182,0.0,512
WZ,202,0.0,549
YPB,187,0.0,68
ZA,117,0.0,213
ZB,318,0.0,626
ZBM,110,0.0,165
ZD,194,0.0,517
ZDK,197,0.0,520
ZH,311,0.0,617
ZL,193,0.0,535
ZLSH,198,0.0,549
ZLW,138,0.0,452
ZP,146,0.0,459
ZTM,192,0.0,65
ZTMO,192,0.0,323
ZV,131,0.0,456
ZVB,146,0.0,457
ZVT,211,0.0,533
ZWD,155,0.0,551
ZZS,197,0.0,520
