Station Code,distance_GERP,services_per_day_GERP,n_of_disruptions_GERP
UT,191,1.032258064516129,307
UTG,238,0,520
UTLN,195,0,380
UTLR,194,0,380
UTO,188,0,331
UTT,196,0,380
UTVR,192,0,380
UTZL,193,0,380
VB,248,0,465
VD,163,0,143
VDL,332,0,621
VDM,29,32.0,7
VEM,155,0,143
VG,243,0,453
VH,249,0,415
VHP,144,0,77
VK,341,0,621
VL,261,0,519
VLB,231,0,466
VNDC,226,0,414
VNDW,225,0,414
VP,174,0,149
VRY,238,0,467
VS,379,0,693
VSS,378,0,693
VST,246,0,500
VSV,217,0,176
VTN,198,0,385
VZ,151,0,78
WAD,231,0,465
WADN,232,0,465
WADT,230,0,465
WC,208,0,403
WD,207,0,307
WDN,144,0,79
WF,188,0,403
WFM,26,0,30
WH,118,0,67
WK,94,0,35
WL,203,0,175
WM,231,0,485
WP,201,0,319
WR,56,17.548387096774192,18
WS,34,40.96774193548387,9
WSM,18,0,16
WT,299,0,515
WTV,183,0,152
WV,96,0,32
WW,196,0,157
WWW,195,0,157
WZ,113,0.03225806451612903,67
YPB,244,0,465
ZA,202,0,417
ZB,21,65.16129032258064,3
ZBM,226,0,504
ZD,225,0,482
ZDK,228,0,485
ZH,14,0,15
ZL,104,35.225806451612904,53
ZLSH,109,0,67
ZLW,281,0,655
ZP,151,0,143
ZTM,239,0,465
ZTMO,238,0,465
ZV,192,0,155
ZVB,289,0,660
ZVT,242,0,499
ZWD,265,0,649
ZZS,228,0,485
