Station Code,Distance from VB,Services from/to VB,Disruptions on path to VB
AC,69,0.0,93
AH,115,0.0,80
AHP,116,0.0,337
AHPR,118,0.0,337
AHZ,123,0.0,337
AKL,74,0.0,260
AKM,221,0.0,384
ALM,87,0.0,153
ALMB,93,0.0,284
ALMM,86,0.0,97
ALMO,95,0.0,284
ALMP,89,0.0,284
AMF,78,0.0,80
AMFS,81,0.0,320
AML,175,0.0,386
AMPO,84,0.0,97
AMR,82,0.0,79
AMRI,177,0.0,456
AMRN,83,0.0,154
ANA,112,0.0,165
APD,121,0.0,320
APDM,122,0.0,355
APDO,124,0.0,355
APG,284,0.0,414
APN,33,0.0,46
ARN,149,0.0,205
ASA,64,0.0,82
ASB,64,0.0,79
ASD,66,0.0,29
ASDL,59,0.0,79
ASDM,66,0.0,119
ASDZ,58,0.0,79
ASHD,65,0.0,93
ASN,222,0.0,334
ASS,62,0.0,39
ASSP,67,0.0,133
ATN,167,0.0,374
AVAT,84,0.0,326
BD,76,0.0,200
BDE,184,0.0,63
BDG,41,0.0,127
BDM,265,0.0,403
BDPB,71,0.0,252
BET,124,0.0,579
BF,269,0.0,403
BGN,97,0.0,251
BHDV,63,0.0,258
BHV,66,0.0,80
BK,179,0.0,64
BKF,116,0.0,124
BKG,115,0.0,120
BKL,60,0.0,86
BL,206,0.0,334
BLL,50,0.0,39
BMN,137,0.0,340
BMR,159,0.0,372
BN,184,0.0,456
BNC,97,0.0,321
BNK,65,0.0,80
BNN,94,0.0,320
BNZ,99,0.0,337
BP,263,0.0,337
BR,184,0.0,617
BRD,37,0.0,206
BRN,81,0.0,104
BSD,88,0.0,278
BSK,37,0.0,85
BSKS,36,0.0,85
BSMZ,80,0.0,81
BTL,114,0.0,536
BV,60,0.0,41
BZL,129,0.0,282
CAS,70,0.0,76
CK,149,0.0,369
CL,75,35.193548387096776,108
CO,199,0.0,354
CPS,37,0.0,202
CVM,158,0.0,62
DA,186,0.0,456
DB,69,0.0,80
DDN,179,0.0,370
DDR,46,0.0,130
DDRS,49,0.0,247
DDZD,47,0.0,247
DEI,243,0.0,337
DID,134,0.0,337
DL,156,0.0,334
DLD,69,0.0,100
DLN,203,0.0,368
DMN,69,0.0,133
DMNZ,64,0.0,82
DN,156,0.0,589
DR,131,0.0,337
DRH,55,0.0,40
DRON,136,0.0,298
DRP,250,0.0,351
DT,12,0.0,29
DTC,145,0.0,357
DTCH,143,0.0,357
DTCP,13,0.0,130
DV,136,0.0,320
DVC,140,0.0,355
DVD,62,0.0,79
DVN,124,0.0,339
DVNK,15,0.0,32
DWE,256,0.0,337
DZ,288,0.0,432
DZW,287,0.0,432
EC,183,0.0,65
ED,98,0.0,80
EDC,100,0.0,102
EDN,187,0.0,63
EEM,295,0.0,431
EGH,157,0.0,61
EGHM,158,0.0,61
EHS,133,0.0,655
EHV,134,0.0,523
EKZ,119,0.0,132
EML,101,0.0,320
EMN,219,0.0,369
EMNZ,215,0.0,368
ES,192,0.0,422
ESK,188,0.0,422
EST,126,0.0,337
ETN,87,0.0,523
FN,256,0.0,337
FWD,253,0.0,337
GBG,192,0.0,354
GD,25,45.54838709677419,0
GDG,28,43.29032258064516,85
GDM,83,35.193548387096776,80
GDR,150,0.0,374
GERP,248,0.0,387
GK,269,0.0,402
GLN,167,0.0,62
GN,250,0.0,387
GND,60,0.0,248
GNN,254,0.0,402
GO,169,0.0,362
GP,140,0.0,585
GR,69,0.0,258
GS,134,0.0,205
GV,4,0.0,29
GVC,3,45.45161290322581,0
GVM,7,0.0,29
GVMW,5,0.0,44
GW,226,0.0,391
GZ,86,0.0,523
HAD,43,0.0,39
HB,156,0.0,61
HBZM,57,0.0,248
HD,105,0.0,323
HDB,186,0.0,341
HDE,126,0.0,320
HDG,249,0.0,337
HDR,124,0.0,174
HDRZ,123,0.0,174
HFD,42,0.0,29
HGL,184,0.0,403
HGLG,182,0.0,403
HGLO,186,0.0,422
HGV,192,0.0,334
HGZ,261,0.0,410
HIL,36,0.0,39
HK,63,0.0,59
HKS,111,0.0,116
HLG,265,0.0,338
HLGH,266,0.0,342
HLM,47,0.0,39
HLMS,48,0.0,39
HLO,77,0.0,59
HM,147,0.0,585
HMBH,148,0.0,589
HMBV,144,0.0,585
HMH,146,0.0,585
HMN,114,0.0,126
HN,101,0.0,60
HNK,102,0.0,116
HNO,156,0.0,334
HNP,281,0.0,340
HON,155,0.0,355
HOR,69,0.0,80
HR,210,0.0,391
HRL,152,0.0,44
HRLW,154,0.0,61
HRN,244,0.0,387
HRT,174,0.0,617
HT,105,0.0,80
HTN,65,35.193548387096776,80
HTNC,66,35.193548387096776,108
HTO,106,0.0,153
HVL,84,0.0,320
HVS,75,0.0,80
HVSM,76,0.0,81
HVSP,74,0.0,80
