Station Code,Distance from GND,Services from/to GND,Disruptions on path to GND
AC,85,0.0,170
AH,91,0.0,81
AHP,92,0.0,338
AHPR,94,0.0,338
AHZ,83,0.0,81
AKL,14,32.225806451612904,2
AKM,225,0.0,441
ALM,110,0.0,150
ALMB,116,0.0,281
ALMM,109,0.0,149
ALMO,118,0.0,281
ALMP,112,0.0,281
AMF,82,0.0,137
AMFS,85,0.0,377
AML,175,0.0,407
AMPO,107,0.0,149
AMR,136,0.0,284
AMRI,177,0.0,477
AMRN,137,0.0,359
ANA,166,0.0,370
APD,125,0.0,377
APDM,126,0.0,412
APDO,128,0.0,412
APG,288,0.0,471
APN,76,0.0,296
ARN,117,0.0,123
ASA,94,0.0,137
ASB,90,0.0,64
ASD,100,0.0,137
ASDL,107,0.0,395
ASDM,96,0.0,174
ASDZ,96,0.0,78
ASHD,89,0.0,297
ASN,226,0.0,391
ASS,104,0.0,395
ASSP,97,0.0,188
ATN,143,0.0,375
AVAT,88,0.0,383
BD,44,0.0,118
BDE,181,0.0,231
BDG,84,0.0,377
BDM,269,0.0,460
BDPB,39,0.0,123
BET,79,0.0,137
BF,273,0.0,460
BGN,65,0.0,122
BHDV,3,57.32258064516129,0
BHV,70,0.0,137
BK,174,0.0,232
BKF,158,0.0,480
BKG,157,0.0,476
BKL,73,0.0,137
BL,210,0.0,391
BLL,104,0.0,244
BMN,113,0.0,341
BMR,113,0.0,116
BN,170,0.0,408
BNC,101,0.0,378
BNK,67,0.0,145
BNN,98,0.0,377
BNZ,103,0.0,394
BP,267,0.0,394
BR,139,0.0,212
BRD,23,0.0,118
BRN,85,0.0,161
BSD,28,32.225806451612904,20
BSK,70,0.0,273
BSKS,69,0.0,273
BSMZ,84,0.0,138
BTL,69,0.0,137
BV,114,0.0,246
BZL,97,0.0,153
CAS,124,0.0,281
CK,103,0.0,113
CL,43,0.0,64
CO,203,0.0,411
CPS,45,0.0,190
CVM,191,0.0,249
DA,186,0.0,477
DB,71,0.0,189
DDN,160,0.0,356
DDR,14,56.32258064516129,1
DDRS,11,56.25806451612903,1
DDZD,15,0.0,118
DEI,247,0.0,394
DID,110,0.0,338
DL,160,0.0,391
DLD,73,0.0,157
DLN,207,0.0,425
DMN,99,0.0,188
DMNZ,94,0.0,140
DN,111,0.0,184
DR,107,0.0,338
DRH,109,0.0,245
DRON,159,0.0,295
DRP,254,0.0,408
DT,48,0.0,118
DTC,121,0.0,358
DTCH,119,0.0,358
DTCP,47,0.0,188
DV,136,0.0,341
DVC,140,0.0,407
DVD,92,0.0,137
DVN,100,0.0,340
DVNK,69,0.0,237
DWE,260,0.0,394
DZ,292,0.0,489
DZW,291,0.0,489
EC,154,0.0,229
ED,100,0.0,221
EDC,102,0.0,243
EDN,196,0.0,233
EEM,299,0.0,488
EGH,190,0.0,248
EGHM,191,0.0,248
EHS,88,0.0,213
EHV,89,0.0,137
EKZ,161,0.0,488
EML,105,0.0,377
EMN,223,0.0,426
EMNZ,219,0.0,425
ES,173,0.0,408
ESK,169,0.0,408
EST,80,0.0,67
ETN,55,0.0,441
FN,260,0.0,394
FWD,257,0.0,394
GBG,196,0.0,411
GD,58,0.0,188
GDG,61,0.0,273
GDM,35,32.225806451612904,21
GDR,126,0.0,375
GERP,252,0.0,444
GK,273,0.0,459
GLN,170,0.0,231
GN,254,0.0,444
GND,0,0.0,0
GNN,258,0.0,459
GO,150,0.0,348
GP,95,0.0,199
GR,9,57.32258064516129,0
GS,102,0.0,123
GV,56,0.0,219
GVC,57,0.0,234
GVM,61,0.0,234
GVMW,55,0.0,219
GW,230,0.0,448
GZ,54,0.0,441
HAD,97,0.0,244
HB,181,0.0,262
HBZM,3,32.225806451612904,0
HD,109,0.0,380
HDB,190,0.0,398
HDE,130,0.0,377
HDG,253,0.0,394
HDR,178,0.0,379
HDRZ,177,0.0,379
HFD,96,0.0,234
HGL,165,0.0,389
HGLG,163,0.0,389
HGLO,167,0.0,408
HGV,196,0.0,391
HGZ,265,0.0,467
HIL,90,0.0,244
HK,117,0.0,264
HKS,153,0.0,472
HLG,269,0.0,395
HLGH,270,0.0,399
HLM,101,0.0,244
HLMS,102,0.0,244
HLO,131,0.0,264
HM,102,0.0,180
HMBH,103,0.0,184
HMBV,99,0.0,199
HMH,101,0.0,199
HMN,66,0.0,67
HN,143,0.0,416
HNK,144,0.0,472
HNO,160,0.0,391
HNP,285,0.0,397
HON,155,0.0,341
HOR,73,0.0,137
HR,214,0.0,448
HRL,185,0.0,231
HRLW,187,0.0,248
HRN,248,0.0,444
HRT,129,0.0,212
HT,57,0.0,64
HTN,53,0.0,117
HTNC,52,0.0,117
HTO,58,0.0,137
HVL,88,0.0,377
HVS,79,0.0,137
HVSM,80,0.0,138
HVSP,78,0.0,137
HWD,143,0.0,360
HWZB,109,0.0,244
HZE,100,0.0,205
IJT,268,0.0,395
KBD,84,0.0,123
KBK,129,0.0,341
KLP,93,0.0,221
KMA,118,0.0,429
KMR,193,0.0,248
KMW,290,0.0,402
KPN,163,0.0,391
KPNZ,163,0.0,391
KRD,193,0.0,259
KRG,91,0.0,123
KTR,59,0.0,64
KW,262,0.0,465
KZ,112,0.0,419
LAA,58,0.0,234
LC,137,0.0,341
LDL,73,0.0,244
LDM,21,32.225806451612904,20
LEDN,72,0.0,234
LG,188,0.0,248
LLS,134,0.0,281
LLZM,71,0.0,273
LP,280,0.0,471
LTN,108,0.0,394
LTV,155,0.0,343
LUT,170,0.0,231
LW,243,0.0,377
LWC,246,0.0,394
MAS,68,0.0,137
MDB,121,0.0,150
MES,193,0.0,233
MG,253,0.0,394
MMLH,98,0.0,102
MP,176,0.0,391
MRB,182,0.0,398
MRN,79,0.0,221
MT,187,0.0,231
MTH,263,0.0,467
MTN,190,0.0,233
MTR,188,0.0,233
MZ,110,0.0,210
NDB,85,0.0,138
NH,178,0.0,262
NKK,93,0.0,377
NM,88,0.0,81
NMD,93,0.0,102
NMGO,91,0.0,102
NMH,91,0.0,102
NML,87,0.0,81
NS,121,0.0,377
NSCH,298,0.0,474
NVD,178,0.0,348
NVP,91,0.0,244
NWK,49,0.0,246
O,76,0.0,137
OBD,149,0.0,370
ODB,45,0.0,123
ODZ,176,0.0,408
OMN,171,0.0,398
OP,63,0.0,67
OST,146,0.0,407
OT,73,0.0,454
OTB,95,0.0,338
OVN,103,0.0,244
OW,75,0.0,137
PMO,125,0.0,395
PMR,124,0.0,416
PMW,123,0.0,419
PT,100,0.0,377
RAI,95,0.0,140
RAT,166,0.0,391
RB,81,0.0,123
RD,292,0.0,475
RH,101,0.0,339
RHN,102,0.0,224
RL,142,0.0,343
RLB,27,0.0,217
RM,141,0.0,180
RS,64,0.0,137
RSD,52,0.0,118
RSN,162,0.0,341
RSW,53,0.0,219
RTA,44,0.0,188
RTB,33,0.0,118
RTD,34,0.0,118
RTN,39,0.0,188
RTST,29,0.0,118
RTZ,30,0.0,118
RV,152,0.0,229
RVS,84,0.0,158
SBK,173,0.0,261
SD,81,0.0,161
SDA,281,0.0,465
SDM,38,0.0,188
SDT,4,56.41935483870968,0
SDTB,7,56.32258064516129,1
SGL,197,0.0,247
SGN,157,0.0,370
SHL,101,0.0,263
SK,265,0.0,394
SKND,264,0.0,394
SM,146,0.0,229
SN,175,0.0,262
SOG,195,0.0,248
SPTN,108,0.0,244
SPTZ,106,0.0,244
SRN,159,0.0,258
SSH,80,0.0,244
ST,80,0.0,161
STD,166,0.0,229
STM,276,0.0,471
STV,294,0.0,402
STZ,79,0.0,161
SWD,265,0.0,459
SWK,190,0.0,441
TB,65,0.0,441
TBG,127,0.0,375
TBR,60,0.0,460
TBU,64,0.0,462
TG,146,0.0,138
TL,47,0.0,64
TPSW,45,0.0,64
TWL,135,0.0,412
UHM,289,0.0,475
UHZ,286,0.0,475
UST,281,0.0,474
UT,61,0.0,64
UTG,120,0.0,264
UTLN,57,0.0,145
UTLR,64,0.0,137
UTO,64,0.0,137
UTT,66,0.0,137
UTVR,60,0.0,145
UTZL,63,0.0,137
VB,60,0.0,263
VD,132,0.0,341
VDL,189,0.0,248
VDM,281,0.0,472
VEM,124,0.0,341
VG,61,0.0,137
VH,80,0.0,244
VHP,188,0.0,401
VK,198,0.0,248
VL,141,0.0,137
VLB,120,0.0,144
VNDC,94,0.0,223
VNDW,93,0.0,223
VP,97,0.0,339
VRY,127,0.0,145
VS,127,0.0,150
VSS,126,0.0,123
VST,67,0.0,237
VSV,134,0.0,375
VTN,68,0.0,142
VZ,181,0.0,477
WAD,66,0.0,273
WADN,67,0.0,273
WADT,65,0.0,273
WC,91,0.0,161
WD,74,0.0,273
WDN,170,0.0,348
WF,99,0.0,338
WFM,278,0.0,474
WH,153,0.0,417
WK,281,0.0,397
WL,116,0.0,358
WM,116,0.0,419
WP,94,0.0,149
WR,308,0.0,483
WS,286,0.0,474
WSM,270,0.0,460
WT,117,0.0,180
WTV,96,0.0,340
WV,203,0.0,391
WW,155,0.0,394
WWW,156,0.0,394
WZ,139,0.0,390
YPB,64,0.0,266
ZA,69,0.0,67
ZB,273,0.0,468
ZBM,44,0.0,64
ZD,110,0.0,416
ZDK,113,0.0,419
ZH,266,0.0,459
ZL,148,0.0,377
ZLSH,153,0.0,391
ZLW,29,0.0,118
ZP,120,0.0,341
ZTM,69,0.0,263
ZTMO,70,0.0,263
ZV,105,0.0,338
ZVB,37,0.0,123
ZVT,109,0.0,244
ZWD,16,0.0,118
ZZS,113,0.0,419
