Station Code,Distance from RH,Services from/to RH,Disruptions on path to RH
AC,92,0.0,364
AH,10,32.645161290322584,1
AHP,9,32.645161290322584,1
AHPR,7,32.645161290322584,0
AHZ,18,31.774193548387096,258
AKL,87,0.0,319
AKM,143,0.0,143
ALM,108,0.0,551
ALMB,114,0.0,682
ALMM,107,0.0,550
ALMO,116,0.0,682
ALMP,110,0.0,682
AMF,61,0.0,298
AMFS,64,0.0,538
AML,74,0.0,69
AMPO,105,0.0,550
AMR,145,0.0,837
AMRI,76,0.0,139
AMRN,146,0.0,912
ANA,175,0.0,923
APD,37,0.0,3
APDM,36,0.0,4
APDO,40,0.0,38
APG,206,0.0,173
APN,103,0.0,341
ARN,204,0.0,714
ASA,101,0.0,331
ASB,97,0.0,331
ASD,106,0.0,552
ASDL,113,0.0,810
ASDM,102,0.0,538
ASDZ,103,0.0,345
ASHD,96,0.0,491
ASN,144,0.0,93
ASS,110,0.0,810
ASSP,101,0.0,557
ATN,60,0.0,43
AVAT,67,0.0,544
BD,115,0.032258064516129,386
BDE,154,0.0,459
BDG,95,0.0,332
BDM,187,0.0,162
BDPB,120,0.0,709
BET,94,0.0,373
BF,191,0.0,162
BGN,152,0.0,714
BHDV,98,0.0,339
BHV,73,0.0,542
BK,147,0.0,460
BKF,164,0.0,895
BKG,163,0.0,891
BKL,80,0.0,331
BL,128,0.0,93
BLL,128,0.0,847
BMN,12,32.516129032258064,3
BMR,54,0.0,293
BN,69,0.0,70
BNC,42,0.0,281
BNK,60,0.0,312
BNN,45,0.0,297
BNZ,40,0.0,281
BP,185,0.0,110
BR,89,0.0,322
BRD,124,0.0,467
BRN,70,0.0,538
BSD,73,0.0,318
BSK,109,0.0,422
BSKS,110,0.0,445
BSMZ,82,0.0,539
BTL,84,0.0,373
BV,135,0.0,831
BZL,184,0.0,745
CAS,133,0.0,834
CK,44,0.0,290
CL,74,0.0,318
CO,114,0.0,156
CPS,113,0.0,416
CVM,164,0.0,477
DA,85,0.0,139
DB,56,0.0,280
DDN,59,0.0,18
DDR,115,0.0,350
DDRS,112,0.0,350
DDZD,116,0.0,467
DEI,165,0.0,110
DID,27,0.0,6
DL,78,0.0,93
DLD,70,0.0,538
DLN,118,0.0,170
DMN,99,0.0,556
DMNZ,99,0.0,539
