Station Code,Distance from ALM,Services from/to ALM,Disruptions on path to ALM
NVD,113,0.0,25
NVP,50,36.774193548387096,252
NWK,90,0.0,171
O,116,0.0,159
OBD,82,0.0,371
ODB,155,0.0,366
ODZ,151,0.0,126
OMN,104,0.0,32
OP,103,0.0,213
OST,102,0.0,25
OT,118,0.0,202
OTB,94,0.0,293
OVN,51,0.0,295
OW,115,0.0,162
PMO,55,0.0,280
PMR,54,0.0,279
PMW,53,0.0,282
PT,65,0.0,256
RAI,28,36.2258064516129,3
RAT,99,0.0,25
RB,191,0.0,397
RD,225,0.0,109
RH,108,0.0,553
RHN,92,0.0,121
RL,130,0.0,290
RLB,112,0.0,250
RM,181,0.0,221
RS,104,0.0,162
RSD,162,0.0,361
RSN,129,0.0,37
RSW,88,0.0,149
RTA,95,0.0,171
RTB,106,6.806451612903226,241
RTD,105,7.225806451612903,171
RTN,100,0.0,173
RTST,110,0.0,250
RTZ,109,0.0,250
RV,191,0.0,686
RVS,124,0.0,180
SBK,213,0.0,302
SD,42,0.0,27
SDA,214,0.0,99
SDM,103,7.225806451612903,250
SDT,114,0.0,241
SDTB,117,0.0,242
SGL,237,0.0,288
SGN,90,0.0,371
SHL,40,112.80645161290325,74
SK,198,0.0,31
SKND,197,0.0,31
SM,186,0.0,270
SN,215,0.0,303
SOG,235,0.0,289
SPTN,56,0.0,313
SPTZ,54,0.0,313
SRN,199,0.0,299
SSH,61,36.774193548387096,252
ST,43,0.0,27
STD,206,0.0,270
STM,209,0.0,105
STV,227,0.0,39
STZ,44,0.0,27
SWD,198,0.0,93
SWK,123,17.903225806451612,75
TB,119,0.0,159
TBG,134,0.0,587
TBR,124,0.0,172
TBU,120,0.0,172
TG,184,0.0,667
TL,87,0.0,210
TPSW,85,0.0,210
TWL,100,0.0,288
UHM,222,0.0,109
UHZ,219,0.0,109
UST,214,0.0,108
UT,49,30.483870967741936,13
UTG,53,0.0,317
UTLN,53,0.0,86
UTLR,52,0.0,86
UTO,46,30.483870967741936,13
UTT,54,0.0,86
UTVR,50,0.0,86
UTZL,51,0.0,86
VB,87,0.0,153
VD,120,0.0,288
VDL,229,0.0,289
VDM,214,0.0,106
VEM,104,0.0,290
VG,101,0.0,159
VH,70,0.0,338
VHP,121,0.0,35
VK,238,0.0,289
VL,179,0.0,666
VLB,149,0.0,613
VNDC,84,0.0,120
VNDW,83,0.0,120
VP,104,0.0,553
VRY,156,0.0,614
VS,237,0.0,399
VSS,236,0.0,399
VST,74,21.70967741935484,219
VSV,141,0.0,587
VTN,56,0.0,91
VZ,128,0.0,36
WAD,89,0.0,171
WADN,90,0.0,171
WADT,88,0.0,171
WC,126,0.0,550
WD,65,0.0,86
WDN,121,0.0,37
WF,90,0.0,293
WFM,211,0.0,108
WH,95,0.0,25
WK,214,0.0,34
WL,123,0.0,570
WM,46,0.0,282
WP,16,74.64516129032258,1
WR,241,0.0,117
WS,219,0.0,108
WSM,203,0.0,94
WT,157,0.0,221
WTV,103,0.0,552
WV,136,0.935483870967742,14
WW,153,0.0,302
WWW,152,0.0,302
WZ,90,0.0,25
YPB,91,0.0,156
ZA,109,0.0,213
ZB,206,0.0,102
ZBM,84,0.0,210
ZD,40,0.0,279
ZDK,43,0.0,282
ZH,199,0.0,93
ZL,81,74.45161290322581,11
ZLSH,86,0.0,25
ZLW,139,0.0,361
ZP,108,0.0,288
ZTM,96,0.0,153
ZTMO,96,0.0,171
ZV,112,0.0,550
ZVB,147,0.0,366
ZVT,57,0.0,296
ZWD,123,0.0,355
ZZS,43,0.0,282
