Station Code,Distance from LLS,Services from/to LLS,Disruptions on path to LLS
AC,56,0.0,138
AH,122,0.0,424
AHP,123,0.0,681
AHPR,125,0.0,681
AHZ,130,0.0,681
AKL,120,0.0,261
AKM,134,0.9032258064516128,7
ALM,24,83.58064516129032,0
ALMB,18,46.87096774193548,0
ALMM,25,39.354838709677416,131
ALMO,16,39.67741935483871,0
ALMP,22,39.61290322580645,5
AMF,71,0.0,144
AMFS,74,0.0,384
AML,102,0.0,35
AMPO,27,39.354838709677416,132
AMR,93,0.0,416
AMRI,104,0.0,105
AMRN,94,0.0,491
ANA,123,0.0,502
APD,103,0.0,14
APDM,104,0.0,49
APDO,100,0.0,90
APG,197,0.0,94
APN,106,0.0,158
ARN,250,0.0,308
ASA,51,0.0,134
ASB,51,0.0,134
ASD,54,40.32258064516129,131
ASDL,61,34.58064516129032,389
ASDM,50,38.096774193548384,139
ASDZ,53,42.935483870967744,131
ASHD,52,0.0,148
ASN,135,18.774193548387096,14
ASS,58,34.58064516129032,389
ASSP,49,38.096774193548384,139
ATN,161,0.0,104
AVAT,77,0.0,390
BD,164,0.0,303
BDE,245,0.0,406
BDG,98,0.0,149
BDM,178,0.0,83
BDPB,169,0.0,626
BET,143,0.0,217
BF,182,0.0,83
BGN,198,0.0,424
BHDV,131,0.0,281
BHV,76,0.0,144
BK,238,0.0,407
BKF,112,0.0,474
BKG,111,0.0,470
BKL,68,0.0,265
BL,119,1.2903225806451613,14
BLL,76,0.0,426
BMN,111,0.0,90
BMR,166,0.0,459
BN,111,0.0,105
BNC,90,0.0,385
BNK,81,0.0,217
BNN,87,0.0,384
BNZ,92,0.0,401
BP,176,0.0,17
BR,201,0.0,488
BRD,138,0.0,309
BRN,62,0.0,144
BSD,106,0.0,260
BSK,112,0.0,239
BSKS,113,0.0,262
BSMZ,50,0.0,143
BTL,133,0.0,290
BV,83,0.0,410
BZL,230,0.0,455
CAS,81,0.0,413
CK,156,0.0,456
CL,91,0.0,245
CO,112,0.0,34
CPS,116,0.0,233
CVM,255,0.0,424
DA,99,0.0,24
DB,85,0.0,217
DDN,121,0.0,124
DDR,147,6.806451612903226,303
DDRS,145,0.0,292
DDZD,148,0.0,420
DEI,156,0.0,17
DID,141,0.0,681
DL,69,0.0,14
DLD,74,0.0,158
DLN,116,0.0,48
DMN,47,38.096774193548384,138
DMNZ,47,1.2580645161290325,138
DN,175,0.0,359
DR,117,0.0,90
DRH,81,0.0,427
DRON,25,38.16129032258065,0
DRP,163,0.0,31
DT,117,7.225806451612903,348
DTC,152,0.0,701
DTCH,150,0.0,701
DTCP,118,0.0,449
DV,88,0.0,24
DVC,92,0.0,90
DVD,49,8.516129032258064,131
DVN,131,0.0,683
DVNK,96,18.096774193548388,343
DWE,169,0.0,17
DZ,201,0.0,112
DZW,200,0.0,112
EC,218,0.0,404
ED,105,0.0,402
EDC,103,0.0,401
EDN,260,0.0,408
EEM,208,0.0,111
EGH,254,0.0,423
EGHM,255,0.0,423
EHS,152,0.0,293
EHV,153,0.0,293
EKZ,115,0.0,482
EML,94,0.0,384
EMN,132,0.0,49
EMNZ,128,0.0,48
ES,124,0.0,124
ESK,120,0.0,124
EST,133,0.0,681
