Station Code,Distance from WWW,Services from/to WWW,Disruptions on path to WWW
PMR,174,0.0,582
PMW,173,0.0,585
PT,123,0.0,289
RAI,148,0.0,293
RAT,109,0.0,104
RB,223,0.0,800
RD,235,0.0,188
RH,63,0.0,17
RHN,142,0.0,370
RL,22,33.25806451612903,12
RLB,183,0.0,621
RM,169,0.0,463
RS,120,0.0,355
RSD,194,0.0,764
RSN,86,0.0,14
RSW,187,0.0,486
RTA,169,0.0,471
RTB,180,0.0,541
RTD,179,0.0,471
RTN,174,0.0,473
RTST,184,0.0,541
RTZ,183,0.0,541
RV,158,0.0,449
RVS,100,0.0,313
SBK,201,0.0,544
SD,118,0.0,303
SDA,224,0.0,178
SDM,183,0.0,541
SDT,160,0.0,404
SDTB,163,0.0,405
SGL,225,0.0,530
SGN,210,0.0,674
SHL,160,0.0,364
SK,208,0.0,121
SKND,207,0.0,121
SM,164,0.0,463
SN,203,0.0,545
SOG,223,0.0,531
SPTN,176,0.0,598
SPTZ,174,0.0,598
SRN,187,0.0,541
SSH,181,0.0,492
ST,119,0.0,303
STD,194,0.0,512
STM,219,0.0,184
STV,237,0.0,129
STZ,120,0.0,293
SWD,208,0.0,172
SWK,133,0.0,154
TB,149,0.0,428
TBG,29,0.0,19
TBR,154,0.0,441
TBU,150,0.0,441
TG,151,0.0,430
TL,109,0.0,330
TPSW,111,0.0,330
TWL,65,0.0,80
UHM,232,0.0,188
UHZ,229,0.0,188
UST,224,0.0,187
UT,123,0.0,313
UTG,173,0.0,620
UTLN,125,0.0,411
UTLR,126,0.0,386
UTO,123,0.0,289
UTT,128,0.0,386
UTVR,122,0.0,411
UTZL,125,0.0,386
VB,180,0.0,471
VD,32,33.25806451612903,12
VDL,217,0.0,531
VDM,224,0.0,185
VEM,48,1.0,14
VG,131,0.0,428
VH,181,0.0,494
VHP,112,0.0,151
VK,226,0.0,531
VL,146,0.0,429
VLB,116,0.0,376
VNDC,134,0.0,369
VNDW,133,0.0,369
VP,67,0.0,20
VRY,123,0.0,377
VS,269,0.0,796
VSS,268,0.0,769
VST,178,0.0,579
VSV,22,0.0,19
