Station Code,distance_MTR,services_per_day_MTR,n_of_disruptions_MTR
TBG,187,0,497
TBR,141,0,128
TBU,137,0,128
TG,65,0,67
TL,165,0,231
TPSW,163,0,231
TWL,201,0,529
UHM,368,0,637
UHZ,365,0,637
UST,360,0,636
UT,179,0,188
UTG,241,0,578
UTLN,175,0,312
UTLR,182,0,261
UTO,182,0,261
UTT,184,0,261
UTVR,178,0,312
UTZL,181,0,261
VB,233,0,653
VD,192,0,463
VDL,23,38.41935483870968,16
VDM,360,0,634
VEM,184,0,463
VG,127,0,234
VH,237,0,369
VHP,248,0,600
VK,14,38.41935483870968,16
VL,70,0,86
VLB,100,0,139
VNDC,212,0,390
VNDW,211,0,390
VP,157,0,463
VRY,93,0,139
VS,256,0,476
VSS,255,0,476
VST,234,0,454
VSV,194,0,497
VTN,186,0,266
VZ,241,0,599
WAD,219,0,346
WADN,220,0,346
WADT,218,0,346
WC,141,0,203
WD,195,0,261
WDN,230,0,536
WF,159,0,460
WFM,357,0,636
WH,213,0,539
WK,360,0,573
WL,176,0,480
WM,234,0,543
WP,212,0,273
WR,387,0,645
WS,365,0,636
WSM,349,0,622
WT,71,0,53
WTV,156,0,462
WV,282,0,553
WW,215,0,516
WWW,216,0,516
WZ,236,0,553
YPB,232,0,346
ZA,151,0,217
ZB,352,0,630
ZBM,144,0,188
ZD,228,0,540
ZDK,231,0,543
ZH,345,0,621
ZL,227,0,539
ZLSH,232,0,553
ZLW,172,0,456
ZP,180,0,463
ZTM,227,0,346
ZTMO,226,0,346
ZV,165,0,460
ZVB,180,0,461
ZVT,245,0,557
ZWD,189,0,555
ZZS,231,0,543
