Station Code,distance_DZW,services_per_day_DZW,n_of_disruptions_DZW
DTC,247,0,220
DTCH,245,0,220
DTCP,299,0,580
DV,174,0,122
DVC,178,0,188
DVD,249,0,254
DVN,226,0,197
DVNK,283,0,460
DWE,74,0,68
DZ,1,31.096774193548388,0
DZW,0,0,0
EC,336,0,647
ED,236,0,448
EDC,238,0,470
EDN,378,0,651
EEM,60,0,58
EGH,372,0,666
EGHM,373,0,666
EHS,309,0,617
EHV,310,0,498
EKZ,315,0,599
EML,186,0,115
EMN,218,0,147
EMNZ,214,0,146
ES,210,0,213
ESK,206,0,213
EST,230,0,448
ETN,332,0,834
FN,108,0,62
FWD,77,0,45
GBG,191,0,132
GD,262,0,425
GDG,259,0,425
GDM,256,0,506
GDR,252,0,237
GERP,39,0,45
GK,56,0,45
GLN,352,0,649
GN,37,31.096774193548388,30
GND,291,0,570
GNN,33,31.096774193548388,30
GO,217,0,246
GP,316,0,560
GR,282,0,568
GS,393,0,736
GV,291,0,510
GVC,290,0,510
GVM,291,0,545
GVMW,292,0,525
GW,104,0,62
GZ,311,0,513
HAD,277,0,543
HB,363,0,680
HBZM,294,0,580
HD,182,0,112
HDB,185,0,119
HDE,161,0,112
HDG,81,0,45
HDR,335,0,628
HDRZ,334,0,628
HFD,269,0,372
HGL,202,0,194
HGLG,204,0,213
HGLO,204,0,213
HGV,95,0,98
HGZ,52,0,68
HIL,284,0,583
HK,280,0,566
HKS,307,0,583
HLG,117,0,63
HLGH,118,0,67
HLM,273,0,506
HLMS,272,0,527
HLO,288,0,533
HM,323,0,560
HMBH,324,0,564
HMBV,320,0,560
HMH,322,0,560
HMN,244,0,462
HN,297,0,527
HNK,298,0,583
HNO,155,0,112
HNP,133,0,65
HON,193,0,188
HOR,231,0,353
HR,120,0,62
HRL,367,0,649
HRLW,369,0,666
HRN,43,0,45
HRT,308,0,564
HT,278,0,425
HTN,238,0,425
HTNC,239,0,453
HTO,279,0,498
HVL,215,0,352
HVS,225,0,352
HVSM,226,0,353
HVSP,226,0,353
HWD,300,0,609
HWZB,265,0,527
HZE,321,0,566
IJT,116,0,63
KBD,375,0,736
KBK,198,0,148
KLP,243,0,470
KMA,272,0,540
KMR,375,0,666
KMW,138,0,70
KPN,158,0,112
KPNZ,158,0,112
KRD,375,0,677
KRG,382,0,736
KTR,251,0,462
KW,49,0,66
KZ,266,0,530
LAA,291,0,539
LC,207,0,188
LDL,279,0,443
LDM,270,0,550
LEDN,280,0,450
LG,370,0,666
LLS,200,0,103
LLZM,275,0,510
LP,11,31.096774193548388,18
LTN,235,0,369
LTV,225,0,190
LUT,352,0,649
LW,91,0,45
LWC,88,0,55
MAS,237,0,425
MDB,412,0,736
MES,375,0,651
MG,101,0,62
MMLH,248,0,469
MP,115,0,98
MRB,177,0,119
MRN,250,0,457
MT,369,0,649
MTH,50,0,68
MTN,372,0,651
MTR,370,0,651
MZ,331,0,571
NDB,231,0,353
NH,360,0,680
NKK,198,0,115
NM,238,0,448
NMD,243,0,469
NMGO,241,0,469
NMH,241,0,469
NML,237,0,462
NS,170,0,112
NSCH,85,0,75
NVD,175,0,112
NVP,274,0,500
NWK,271,0,510
O,262,0,469
OBD,306,0,619
ODB,336,0,705
ODZ,213,0,213
OMN,166,0,119
OP,247,0,462
OST,164,0,112
OT,299,0,541
OTB,223,0,448
OVN,275,0,543
OW,263,0,490
PMO,279,0,528
PMR,278,0,527
PMW,277,0,530
PT,191,0,129
RAI,252,0,251
RAT,161,0,112
RB,372,0,736
RD,53,0,45
RH,209,0,191
RHN,273,0,460
RL,212,0,190
RLB,293,0,589
RM,323,0,598
RS,274,0,490
RSD,343,0,700
RSN,191,0,124
RSW,294,0,525
RTA,276,0,510
RTB,287,0,580
RTD,286,0,510
RTN,281,0,512
RTST,291,0,589
RTZ,290,0,589
RV,312,0,584
RVS,254,0,448
SBK,355,0,679
SD,222,0,366
SDA,68,0,66
SDM,290,0,580
SDT,295,0,580
SDTB,298,0,581
SGL,379,0,665
SGN,314,0,619
SHL,264,0,322
SK,113,0,62
SKND,112,0,62
SM,318,0,598
SN,357,0,680
SOG,377,0,666
SPTN,280,0,561
SPTZ,278,0,561
SRN,341,0,676
SSH,285,0,500
ST,223,0,366
STD,348,0,647
STM,15,31.096774193548388,18
STV,142,0,70
STZ,224,0,356
SWD,26,31.096774193548388,29
SWK,129,0,148
TB,300,0,498
TBG,253,0,237
TBR,305,0,511
TBU,301,0,511
TG,305,0,565
TL,263,0,465
TPSW,265,0,465
TWL,179,0,188
UHM,50,0,45
UHZ,47,0,45
UST,42,0,44
UT,230,0,352
UTG,277,0,565
UTLN,234,0,425
UTLR,233,0,425
UTO,227,0,376
UTT,235,0,425
UTVR,231,0,425
UTZL,232,0,425
VB,287,0,510
VD,202,0,188
VDL,371,0,666
VDM,68,0,73
VEM,194,0,188
VG,282,0,498
VH,288,0,460
VHP,183,0,122
VK,380,0,666
VL,300,0,564
VLB,270,0,511
VNDC,265,0,459
VNDW,264,0,459
VP,213,0,194
VRY,277,0,512
VS,418,0,738
VSS,417,0,738
VST,285,0,545
VSV,256,0,221
VTN,237,0,430
VZ,190,0,123
WAD,270,0,510
WADN,271,0,510
WADT,269,0,510
WC,247,0,448
WD,246,0,352
WDN,183,0,124
WF,227,0,448
WFM,39,0,44
WH,157,0,112
WK,129,0,65
WL,242,0,220
WM,270,0,530
WP,240,0,364
WR,95,0,84
WS,73,0,75
WSM,31,0,30
WT,338,0,560
WTV,222,0,197
WV,131,0,62
WW,235,0,202
WWW,234,0,202
WZ,152,0,112
YPB,283,0,510
ZA,241,0,462
ZB,60,0,69
ZBM,265,0,549
ZD,264,0,527
ZDK,267,0,530
ZH,49,0,45
ZL,143,0,98
ZLSH,148,0,112
ZLW,320,0,700
ZP,190,0,188
ZTM,278,0,510
ZTMO,277,0,510
ZV,231,0,200
ZVB,328,0,705
ZVT,281,0,544
ZWD,304,0,694
ZZS,267,0,530
