Station Code,Distance from AKL,Services from/to AKL,Disruptions on path to AKL
OVN,107,0.0,412
OW,61,0.0,117
PMO,111,0.0,375
PMR,110,0.0,396
PMW,109,0.0,399
PT,86,0.0,357
RAI,81,0.0,120
RAT,152,0.0,371
RB,95,0.0,135
RD,278,0.0,455
RH,87,0.0,319
RHN,88,0.0,204
RL,128,0.0,323
RLB,41,0.0,229
RM,127,0.0,160
RS,50,0.0,117
RSD,66,0.0,130
RSN,148,0.0,321
RSW,67,0.0,231
RTA,58,0.0,200
RTB,47,0.0,130
RTD,48,0.0,130
RTN,53,0.0,200
RTST,43,0.0,130
RTZ,44,0.0,130
RV,138,0.0,209
RVS,70,0.0,138
SBK,159,0.0,241
SD,67,0.0,141
SDA,267,0.0,445
SDM,52,0.0,200
SDT,18,32.193548387096776,12
SDTB,21,32.193548387096776,13
SGL,183,0.0,227
SGN,146,0.0,488
SHL,93,0.0,58
SK,251,0.0,374
SKND,250,0.0,374
SM,132,0.0,209
SN,161,0.0,242
SOG,181,0.0,228
SPTN,112,0.0,412
SPTZ,110,0.0,412
SRN,145,0.0,238
SSH,94,0.0,256
ST,66,0.0,141
STD,152,0.0,209
STM,262,0.0,451
STV,280,0.0,382
STZ,65,0.0,141
SWD,251,0.0,439
SWK,176,0.0,421
TB,65,0.0,117
TBG,113,0.0,355
TBR,70,0.0,130
TBU,66,0.0,130
TG,132,0.0,118
TL,33,0.0,44
TPSW,31,0.0,44
TWL,121,0.0,392
UHM,275,0.0,455
UHZ,272,0.0,455
UST,267,0.0,454
UT,47,0.0,44
UTG,109,0.0,434
UTLN,43,0.0,125
UTLR,50,0.0,117
UTO,50,0.0,117
UTT,52,0.0,117
UTVR,46,0.0,125
UTZL,49,0.0,117
VB,74,0.0,275
VD,118,0.0,321
VDL,175,0.0,228
VDM,267,0.0,452
VEM,110,0.0,321
VG,47,0.0,117
VH,94,0.0,256
VHP,174,0.0,381
VK,184,0.0,228
VL,127,0.0,117
VLB,106,0.0,124
VNDC,80,0.0,203
VNDW,79,0.0,203
VP,83,0.0,319
VRY,113,0.0,125
VS,141,0.0,162
VSS,140,0.0,135
VST,81,0.0,249
VSV,120,0.0,355
VTN,54,0.0,122
VZ,167,0.0,457
WAD,80,0.0,285
WADN,81,0.0,285
WADT,79,0.0,285
WC,77,0.0,141
WD,63,0.0,117
WDN,156,0.0,328
WF,85,0.0,318
WFM,264,0.0,454
WH,139,0.0,397
WK,267,0.0,377
WL,102,0.0,338
WM,102,0.0,399
WP,80,0.0,129
WR,294,0.0,463
WS,272,0.0,454
WSM,256,0.0,440
WT,103,0.0,160
WTV,82,0.0,320
WV,189,0.0,371
WW,141,0.0,374
WWW,142,0.0,374
WZ,125,0.0,370
YPB,78,0.0,278
ZA,55,0.0,47
ZB,259,0.0,448
ZBM,30,0.0,44
ZD,96,0.0,396
ZDK,99,0.0,399
ZH,252,0.0,439
ZL,134,0.0,357
ZLSH,139,0.0,371
ZLW,43,0.0,130
ZP,106,0.0,321
ZTM,83,0.0,275
ZTMO,84,0.0,275
ZV,91,0.0,318
ZVB,51,0.0,135
ZVT,113,0.0,412
ZWD,30,0.0,130
ZZS,99,0.0,399
