Station Code,Distance from UTLN,Services from/to UTLN,Disruptions on path to UTLN
AC,28,0.0,109
AH,60,0.0,98
AHP,61,0.0,355
AHPR,63,0.0,357
AHZ,68,0.0,355
AKL,43,0.0,125
AKM,168,0.0,377
ALM,53,0.0,86
ALMB,59,0.0,217
ALMM,52,0.0,85
ALMO,61,0.0,217
ALMP,55,0.0,217
AMF,25,0.0,73
AMFS,28,0.0,313
AML,122,0.0,379
AMPO,50,0.0,85
AMR,82,0.0,358
AMRI,124,0.0,449
AMRN,83,0.0,433
ANA,112,0.0,444
APD,68,0.0,313
APDM,69,0.0,348
APDO,71,0.0,348
APG,231,0.0,407
APN,39,0.0,83
ARN,174,0.0,311
ASA,37,0.0,73
ASB,33,0.0,73
ASD,43,0.0,73
ASDL,50,0.0,352
ASDM,39,0.0,110
ASDZ,39,0.0,76
ASHD,34,0.0,87
ASN,169,0.0,327
ASS,47,0.0,331
ASSP,40,0.0,124
ATN,112,0.0,392
AVAT,31,0.0,319
BD,87,0.0,210
BDE,168,0.0,311
BDG,31,0.0,74
BDM,212,0.0,396
BDPB,92,0.0,533
BET,66,0.0,240
BF,216,0.0,396
BGN,122,0.0,280
BHDV,54,0.0,145
BHV,13,0.0,73
BK,161,0.0,311
BKF,101,0.0,416
BKG,100,0.0,412
BKL,16,0.0,76
BL,153,0.0,332
BLL,65,0.0,368
BMN,82,0.0,358
BMR,100,0.0,176
BN,131,0.0,449
BNC,44,0.0,314
BNK,10,0.0,0
BNN,41,0.0,313
BNZ,46,0.0,330
BP,210,0.0,344
BR,126,0.0,291
BRD,71,0.0,243
BRN,28,0.0,97
BSD,29,0.0,124
BSK,45,0.0,164
BSKS,46,0.0,187
BSMZ,27,0.0,74
BTL,56,0.0,197
BV,72,0.0,391
BZL,154,0.0,311
CAS,70,0.0,355
CK,90,0.0,173
CL,14,74.16129032258064,28
CO,146,0.0,347
CPS,49,0.0,158
CVM,178,0.0,328
DA,133,0.0,449
DB,14,0.0,44
DDN,126,0.0,363
DDR,71,0.0,158
DDRS,68,0.0,156
DDZD,72,0.0,275
DEI,190,0.0,344
DID,79,0.0,355
DL,103,0.0,327
