Station Code,Distance from APDO,Services from/to APDO,Disruptions on path to APDO
MDB,248,0.0,782
MES,206,0.0,498
MG,148,0.0,107
MMLH,79,0.0,316
MP,71,0.0,90
MRB,70,0.0,137
MRN,87,0.0,380
MT,200,0.0,496
MTH,158,0.0,166
MTN,203,0.0,498
MTR,201,0.0,498
MZ,165,0.0,483
NDB,68,0.0,276
NH,191,0.0,527
NKK,57,0.0,275
NM,69,0.0,295
NMD,74,0.0,316
NMGO,72,0.0,316
NMH,72,0.0,316
NML,68,0.0,309
NS,70,0.0,90
NSCH,193,0.0,173
NVD,54,0.0,73
NVP,111,0.0,531
NWK,108,0.0,433
O,93,0.0,316
OBD,143,0.0,647
ODB,173,0.0,628
ODZ,76,0.0,155
OMN,66,0.0,97
OP,78,0.0,309
OST,22,0.0,66
OT,133,0.0,453
OTB,54,0.0,295
OVN,112,0.0,571
OW,94,0.0,337
PMO,116,0.0,556
PMR,115,0.0,555
PMW,114,0.0,558
PT,64,0.0,278
RAI,89,0.0,279
RAT,61,0.0,90
RB,208,0.0,782
RD,187,0.0,174
RH,40,0.0,38
RHN,110,0.0,383
RL,43,0.0,37
RLB,130,0.0,512
RM,154,0.0,445
RS,105,0.0,337
RSD,179,0.0,746
RSN,38,27.451612903225808,66
RSW,131,0.0,448
RTA,113,0.0,433
RTB,124,0.0,503
RTD,123,0.0,433
RTN,118,0.0,435
RTST,128,0.0,512
RTZ,127,0.0,512
RV,143,0.0,431
RVS,85,0.0,295
SBK,186,0.0,526
SD,59,0.0,289
SDA,176,0.0,164
SDM,127,0.0,503
SDT,132,0.0,503
SDTB,135,0.0,504
SGL,210,0.0,512
SGN,151,0.0,647
SHL,101,0.0,353
SK,160,0.0,107
SKND,159,0.0,107
SM,149,0.0,445
SN,188,0.0,527
SOG,208,0.0,513
SPTN,117,0.0,589
SPTZ,115,0.0,589
SRN,172,0.0,523
SSH,122,0.0,531
ST,60,0.0,289
STD,179,0.0,494
STM,171,0.0,170
STV,189,0.0,115
STZ,61,0.0,279
SWD,160,0.0,158
SWK,85,0.0,140
TB,134,0.0,410
TBG,84,0.0,84
TBR,139,0.0,423
TBU,135,0.0,423
TG,136,0.0,412
TL,94,0.0,312
