Station Code,Distance from RS,Services from/to RS,Disruptions on path to RS
OST,110,0.032258064516129,368
OT,28,0.0,119
OTB,59,0.0,299
OVN,115,0.0,444
OW,11,31.096774193548388,0
PMO,119,0.0,429
PMR,118,0.0,428
PMW,117,0.0,431
PT,94,0.0,392
RAI,89,0.0,152
RAT,149,0.0,392
RB,103,0.0,448
RD,275,0.0,476
RH,65,0.0,302
RHN,96,0.0,279
RL,106,0.0,304
RLB,91,0.0,369
RM,91,0.0,138
RS,0,0.0,0
RSD,74,0.032258064516129,412
RSN,126,0.0,368
RSW,117,0.0,441
RTA,101,0.0,234
RTB,97,0.0,270
RTD,98,0.0,270
RTN,103,0.0,340
RTST,93,0.0,375
RTZ,94,0.0,375
RV,102,0.0,187
RVS,20,30.161290322580644,21
SBK,123,0.0,219
SD,75,0.0,173
SDA,264,0.0,466
SDM,102,0.0,340
SDT,68,0.0,150
SDTB,71,0.0,151
SGL,147,0.0,205
SGN,154,0.0,520
SHL,101,0.0,163
SK,248,0.0,409
SKND,247,0.0,409
SM,96,0.0,187
SN,125,0.0,220
SOG,145,0.0,206
SPTN,120,0.0,462
SPTZ,118,0.0,462
SRN,109,0.0,216
SSH,113,0.0,257
ST,74,0.0,173
STD,116,0.0,187
STM,259,0.0,472
STV,277,0.0,417
STZ,73,0.0,173
SWD,248,0.0,460
SWK,173,0.0,442
TB,29,28.29032258064516,76
TBG,91,0.0,336
TBR,34,28.258064516129032,89
TBU,30,28.258064516129032,89
TG,96,0.0,223
TL,41,0.0,119
TPSW,39,0.0,119
TWL,105,0.0,368
UHM,272,0.0,476
UHZ,269,0.0,476
UST,264,0.0,475
UT,55,0.0,76
UTG,117,0.0,466
UTLN,51,0.0,200
UTLR,58,0.0,149
UTO,58,0.0,149
UTT,60,0.0,149
UTVR,54,0.0,200
UTZL,57,0.0,149
VB,112,0.0,234
VD,96,0.0,302
VDL,139,0.0,206
VDM,264,0.0,473
VEM,88,0.0,302
VG,11,0.0,76
VH,113,0.0,257
VHP,152,0.0,439
VK,148,0.0,206
VL,91,0.0,222
VLB,68,0.0,84
VNDC,88,0.0,278
VNDW,87,0.0,278
VP,61,0.0,302
VRY,75,0.0,85
VS,149,0.0,450
VSS,148,0.0,450
VST,110,0.0,342
VSV,98,0.0,336
VTN,62,0.0,154
VZ,145,0.0,438
WAD,95,0.0,234
WADN,96,0.0,234
WADT,94,0.0,234
WC,27,30.161290322580644,24
WD,71,0.0,149
WDN,134,0.0,375
WF,63,0.0,299
WFM,261,0.0,475
WH,117,0.032258064516129,378
WK,264,0.0,412
WL,80,0.0,319
WM,110,0.0,431
WP,88,0.0,161
WR,291,0.0,484
WS,269,0.0,475
WSM,253,0.0,461
WT,67,0.0,138
WTV,60,0.0,301
WV,186,0.0,392
WW,119,0.0,355
WWW,120,0.0,355
WZ,133,0.0,402
YPB,108,0.0,234
ZA,55,0.0,56
ZB,256,0.0,469
ZBM,20,0.0,76
ZD,104,0.0,428
ZDK,107,0.0,431
ZH,249,0.0,460
ZL,131,0.032258064516129,378
ZLSH,136,0.0,392
ZLW,65,27.483870967741936,430
ZP,84,0.032258064516129,302
ZTM,103,0.0,234
ZTMO,102,0.0,234
ZV,69,0.0,299
ZVB,73,0.0,435
ZVT,121,0.0,445
ZWD,80,0.0,270
ZZS,107,0.0,431
