Station Code,Distance from LDM,Services from/to LDM,Disruptions on path to LDM
AC,64,0.0,150
AH,70,0.0,61
AHP,71,0.0,318
AHPR,73,0.0,318
AHZ,62,0.0,61
AKL,7,32.193548387096776,0
AKM,204,0.0,421
ALM,89,0.0,130
ALMB,95,0.0,261
ALMM,88,0.0,129
ALMO,97,0.0,261
ALMP,91,0.0,261
AMF,61,0.0,117
AMFS,64,0.0,357
AML,154,0.0,387
AMPO,86,0.0,129
AMR,118,0.0,402
AMRI,156,0.0,457
AMRN,119,0.0,477
ANA,148,0.0,488
APD,104,0.0,357
APDM,105,0.0,392
APDO,107,0.0,392
APG,267,0.0,451
APN,75,0.0,127
ARN,138,0.0,153
ASA,73,0.0,117
ASB,69,0.0,44
ASD,79,0.0,117
ASDL,86,0.0,375
ASDM,75,0.0,154
ASDZ,75,0.0,58
ASHD,68,0.0,277
ASN,205,0.0,371
ASS,83,0.0,375
ASSP,76,0.0,168
ATN,122,0.0,355
AVAT,67,0.0,363
BD,65,0.0,148
BDE,160,0.0,211
BDG,67,0.0,118
BDM,248,0.0,440
BDPB,60,0.0,153
BET,58,0.0,117
BF,252,0.0,440
BGN,86,0.0,152
BHDV,18,32.12903225806452,20
BHV,49,0.0,117
BK,153,0.0,212
BKF,137,0.0,460
BKG,136,0.0,456
BKL,52,0.0,117
BL,189,0.0,371
BLL,101,0.0,412
BMN,92,0.0,321
BMR,92,0.0,96
BN,149,0.0,388
BNC,80,0.0,358
BNK,46,0.0,125
BNN,77,0.0,357
BNZ,82,0.0,374
BP,246,0.0,374
BR,118,0.0,192
BRD,44,0.0,148
BRN,64,0.0,141
BSD,7,32.225806451612904,0
BSK,81,0.0,208
BSKS,82,0.0,231
BSMZ,63,0.0,118
BTL,48,0.0,117
BV,108,0.0,396
BZL,118,0.0,183
CAS,106,0.0,399
CK,82,0.0,93
CL,22,0.0,44
CO,182,0.0,391
CPS,66,0.0,220
CVM,170,0.0,229
DA,165,0.0,457
DB,50,0.0,169
DDN,139,0.0,336
DDR,35,32.193548387096776,31
DDRS,32,32.12903225806452,31
DDZD,36,0.0,148
DEI,226,0.0,374
DID,89,0.0,318
DL,139,0.0,371
DLD,52,0.0,137
DLN,186,0.0,405
DMN,78,0.0,168
DMNZ,73,0.0,120
DN,90,0.0,164
DR,86,0.0,318
DRH,106,0.0,413
DRON,138,0.0,275
DRP,233,0.0,388
DT,69,0.0,148
DTC,100,0.0,338
DTCH,98,0.0,338
DTCP,68,0.0,218
DV,115,0.0,321
DVC,119,0.0,387
DVD,71,0.0,117
DVN,79,0.0,320
DVNK,90,0.0,267
DWE,239,0.0,374
DZ,271,0.0,469
DZW,270,0.0,469
