Station Code,Distance from ZB,Services from/to ZB,Disruptions on path to ZB
AC,236,0.0,437
AH,201,0.0,170
AHP,200,0.0,174
AHPR,198,0.0,173
AHZ,209,0.0,427
AKL,259,0.0,448
AKM,95,0.0,58
ALM,206,0.0,96
ALMB,200,0.0,96
ALMM,207,0.0,227
ALMO,198,0.0,96
ALMP,204,0.0,101
AMF,191,0.0,91
AMFS,188,0.0,91
AML,170,0.0,112
AMPO,209,0.0,228
AMR,275,0.0,376
AMRI,172,0.0,182
AMRN,276,0.0,451
ANA,305,0.0,462
APD,171,0.0,91
APDM,172,0.0,126
APDO,168,0.0,167
APG,57,0.0,51
APN,247,0.0,341
ARN,390,0.0,601
ASA,233,0.0,230
ASB,233,0.0,230
ASD,236,0.0,91
ASDL,243,0.0,349
ASDM,232,0.0,331
ASDZ,235,0.0,227
ASHD,234,0.0,244
ASN,47,0.0,24
ASS,240,0.0,349
ASSP,231,0.0,235
ATN,229,0.0,181
AVAT,185,0.0,97
BD,303,0.0,490
BDE,345,0.0,628
BDG,239,0.0,332
BDM,38,0.0,40
BDPB,308,0.0,813
BET,282,0.0,404
BF,42,0.0,40
BGN,338,0.0,600
BHDV,270,0.0,468
BHV,203,0.0,335
BK,338,0.0,629
BKF,294,0.0,434
BKG,293,0.0,430
BKL,224,0.0,404
BL,63,0.0,77
BLL,258,0.0,386
BMN,179,0.0,167
BMR,245,0.0,462
BN,179,0.0,182
BNC,210,0.0,332
BNK,220,0.0,404
BNN,207,0.0,331
BNZ,212,0.0,348
BP,53,0.0,39
BR,280,0.0,491
BRD,279,0.0,565
BRN,200,0.0,331
BSD,245,0.0,447
BSK,253,0.0,422
BSKS,254,0.0,445
BSMZ,212,0.0,92
BTL,272,0.0,477
BV,265,0.0,370
BZL,370,0.0,631
CAS,263,0.0,373
CK,235,0.0,459
CL,230,0.0,432
CO,180,0.0,111
CPS,257,0.0,489
CVM,355,0.0,646
DA,167,0.0,101
DB,224,0.0,404
DDN,189,0.0,201
DDR,287,0.0,479
DDRS,284,0.0,479
DDZD,288,0.0,596
DEI,81,0.0,56
DID,218,0.0,179
DL,137,0.0,91
DLD,200,0.0,331
DLN,184,0.0,125
DMN,229,0.0,234
DMNZ,229,0.0,92
DN,308,0.0,543
DR,185,0.0,167
DRH,263,0.0,387
DRON,157,0.0,91
DRP,88,0.0,70
DT,281,0.0,504
DTC,229,0.0,199
DTCH,227,0.0,199
DTCP,281,0.0,559
DV,156,0.0,101
DVC,160,0.0,167
DVD,231,0.0,227
DVN,208,0.0,176
DVNK,265,0.0,439
DWE,60,0.0,62
DZ,61,0.0,69
DZW,60,0.0,69
EC,318,0.0,626
ED,218,0.0,427
EDC,220,0.0,449
EDN,360,0.0,630
EEM,68,0.0,68
EGH,354,0.0,645
EGHM,355,0.0,645
EHS,291,0.0,480
EHV,292,0.0,480
EKZ,297,0.0,442
EML,168,0.0,94
EMN,200,0.0,126
EMNZ,196,0.0,125
ES,192,0.0,201
ESK,188,0.0,201
EST,212,0.0,427
ETN,314,0.0,813
FN,94,0.0,56
FWD,63,0.0,39
GBG,173,0.0,111
GD,244,0.0,404
GDG,241,0.0,404
GDM,238,0.0,404
GDR,234,0.0,216
GERP,21,63.45161290322581,3
GK,42,0.0,39
GLN,334,0.0,628
GN,23,63.45161290322581,24
GND,273,0.0,468
GNN,27,0.0,39
GO,199,0.0,234
GP,298,0.0,542
GR,264,0.0,466
GS,375,0.0,601
GV,273,0.0,489
GVC,272,0.0,407
GVM,273,0.0,524
GVMW,274,0.0,504
GW,90,0.0,56
GZ,293,0.0,492
HAD,259,0.0,370
HB,345,0.0,659
HBZM,276,0.0,478
HD,164,0.0,91
HDB,167,0.0,98
HDE,143,0.0,91
HDG,67,0.0,39
HDR,317,0.0,471
HDRZ,316,0.0,471
HFD,251,0.0,301
HGL,184,0.0,182
HGLG,186,0.0,201
HGLO,186,0.0,201
HGV,77,0.0,77
HGZ,8,63.45161290322581,0
HIL,266,0.0,370
HK,262,0.0,409
HKS,289,0.0,426
HLG,103,0.0,57
HLGH,104,0.0,61
HLM,255,0.0,349
HLMS,254,0.0,370
HLO,270,0.0,376
HM,305,0.0,542
HMBH,306,0.0,546
HMBV,302,0.0,542
HMH,304,0.0,542
HMN,226,0.0,441
HN,279,0.0,370
HNK,280,0.0,426
HNO,137,0.0,91
HNP,119,0.0,59
HON,175,0.0,167
HOR,213,0.0,92
HR,106,0.0,56
HRL,349,0.0,628
HRLW,351,0.0,645
HRN,25,0.0,24
HRT,290,0.0,543
HT,260,0.0,404
HTN,220,0.0,404
HTNC,221,0.0,432
HTO,261,0.0,477
HVL,197,0.0,331
HVS,207,0.0,91
HVSM,208,0.0,92
HVSP,208,0.0,92
HWD,282,0.0,452
HWZB,247,0.0,370
HZE,303,0.0,548
IJT,102,0.0,57
KBD,357,0.0,601
KBK,180,0.0,127
KLP,225,0.0,449
KMA,254,0.0,383
KMR,357,0.0,645
KMW,124,0.0,64
KPN,140,0.0,91
KPNZ,140,0.0,91
KRD,357,0.0,656
KRG,364,0.0,601
KTR,233,0.0,441
KW,11,63.45161290322581,1
KZ,248,0.0,373
LAA,273,0.0,436
LC,189,0.0,167
LDL,261,0.0,422
LDM,252,0.0,448
LEDN,262,0.0,429
LG,352,0.0,645
LLS,182,0.0,82
LLZM,257,0.0,489
LP,49,0.0,51
LTN,217,0.0,348
LTV,207,0.0,169
LUT,334,0.0,628
LW,77,0.0,39
LWC,74,0.0,49
MAS,219,0.0,404
MDB,394,0.0,628
MES,357,0.0,630
MG,87,0.0,56
MMLH,230,0.0,448
MP,97,0.0,77
MRB,159,0.0,98
MRN,232,0.0,436
MT,351,0.0,628
MTH,10,63.45161290322581,1
MTN,354,0.0,630
MTR,352,0.0,630
MZ,313,0.0,553
NDB,213,0.0,92
NH,342,0.0,659
NKK,180,0.0,94
NM,220,0.0,427
NMD,225,0.0,448
NMGO,223,0.0,448
NMH,223,0.0,448
NML,219,0.0,441
NS,152,0.0,91
NSCH,25,20.258064516129032,9
NVD,157,0.0,100
NVP,256,0.0,429
NWK,253,0.0,489
O,244,0.0,448
OBD,288,0.0,370
ODB,318,0.0,601
ODZ,195,0.0,201
OMN,148,0.0,98
OP,229,0.0,441
OST,146,0.0,91
OT,281,0.0,520
OTB,205,0.0,427
OVN,257,0.0,386
OW,245,0.0,469
PMO,261,0.0,349
PMR,260,0.0,370
PMW,259,0.0,373
PT,173,0.0,91
RAI,234,0.0,230
RAT,143,0.0,91
RB,354,0.0,601
RD,61,0.0,55
RH,191,0.0,170
RHN,255,0.0,439
RL,194,0.0,169
RLB,275,0.0,559
RM,305,0.0,577
RS,256,0.0,469
RSD,325,0.0,596
RSN,173,0.0,112
RSW,276,0.0,504
RTA,258,0.0,489
RTB,269,0.0,559
RTD,268,0.0,489
RTN,263,0.0,491
RTST,273,0.0,559
RTZ,272,0.0,559
RV,294,0.0,563
RVS,236,0.0,427
SBK,337,0.0,658
SD,204,0.0,345
SDA,8,30.32258064516129,0
SDM,272,0.0,559
SDT,277,0.0,478
SDTB,280,0.0,479
SGL,361,0.0,644
SGN,296,0.0,462
SHL,246,0.0,301
SK,99,0.0,56
SKND,98,0.0,56
SM,300,0.0,577
SN,339,0.0,659
SOG,359,0.0,645
SPTN,262,0.0,386
SPTZ,260,0.0,386
SRN,323,0.0,655
SSH,267,0.0,429
ST,205,0.0,345
STD,330,0.0,626
STM,45,0.0,51
STV,128,0.0,64
STZ,206,0.0,335
SWD,34,0.0,39
SWK,111,0.0,127
TB,282,0.0,477
TBG,235,0.0,216
TBR,287,0.0,490
TBU,283,0.0,490
TG,287,0.0,544
TL,245,0.0,444
TPSW,247,0.0,444
TWL,161,0.0,167
UHM,58,0.0,55
UHZ,55,0.0,55
UST,50,0.0,54
UT,212,0.0,331
UTG,259,0.0,408
UTLN,216,0.0,404
UTLR,215,0.0,404
UTO,209,0.0,331
UTT,217,0.0,404
UTVR,213,0.0,404
UTZL,214,0.0,404
VB,269,0.0,489
VD,184,0.0,167
VDL,353,0.0,645
VDM,8,32.0,0
VEM,176,0.0,167
VG,264,0.0,477
VH,270,0.0,439
VHP,165,0.0,101
VK,362,0.0,645
VL,282,0.0,543
VLB,252,0.0,490
VNDC,247,0.0,438
VNDW,246,0.0,438
VP,195,0.0,173
VRY,259,0.0,491
VS,400,0.0,628
VSS,399,0.0,601
VST,267,0.0,524
VSV,238,0.0,200
VTN,219,0.0,409
VZ,172,0.0,102
WAD,252,0.0,489
WADN,253,0.0,489
WADT,251,0.0,489
WC,229,0.0,427
WD,228,0.0,331
WDN,165,0.0,112
WF,209,0.0,427
WFM,47,0.0,54
WH,139,0.0,91
WK,115,0.0,59
WL,224,0.0,199
WM,252,0.0,373
WP,222,0.0,228
WR,35,17.548387096774192,18
WS,13,30.32258064516129,9
WSM,39,0.0,40
WT,320,0.0,542
WTV,204,0.0,176
WV,117,0.0,56
WW,217,0.0,181
WWW,216,0.0,181
WZ,134,0.0,91
YPB,265,0.0,407
ZA,223,0.0,441
ZB,0,0.0,0
ZBM,247,0.0,447
ZD,246,0.0,370
ZDK,249,0.0,373
ZH,35,0.0,39
ZL,125,0.0,77
ZLSH,130,0.0,91
ZLW,302,0.0,596
ZP,172,0.0,167
ZTM,260,0.0,404
ZTMO,259,0.0,489
ZV,213,0.0,179
ZVB,310,0.0,601
ZVT,263,0.0,386
ZWD,286,0.0,664
ZZS,249,0.0,373
