Station Code,distance_SWK,services_per_day_SWK,n_of_disruptions_SWK
WH,56,0,64
WK,91,0,20
WL,141,0,172
WM,169,0,491
WP,139,0,316
WR,146,0,142
WS,124,0,133
WSM,108,0,119
WT,237,0,512
WTV,121,0,149
WV,13,29.677419354838708,0
WW,134,0,154
WWW,133,0,154
WZ,51,0,64
YPB,182,0,462
ZA,140,0,414
ZB,111,0,127
ZBM,164,0,501
ZD,163,0,488
ZDK,166,0,491
ZH,95,0,17
ZL,42,57.67741935483871,50
ZLSH,47,0,64
ZLW,219,0,652
ZP,89,0,140
ZTM,177,0,462
ZTMO,176,0,462
ZV,130,0,152
ZVB,227,0,657
ZVT,180,0,505
ZWD,203,0,646
ZZS,166,0,491
