Station Code,Distance from RTB,Services from/to RTB,Disruptions on path to RTB
RS,97,0.0,265
RSD,57,38.58064516129032,117
RSN,162,0.0,503
RSW,20,57.516129032258064,171
RTA,11,0.0,70
RTB,0,0.0,0
RTD,1,130.38709677419354,0
RTN,6,0.0,70
RTST,4,0.967741935483871,0
RTZ,3,60.03225806451613,0
RV,170,0.0,434
RVS,117,0.0,286
SBK,181,0.0,188
SD,77,0.0,252
SDA,277,0.0,556
SDM,5,127.19354838709675,70
SDT,29,0.0,117
SDTB,26,0.0,117
SGL,185,0.0,188
SGN,124,0.0,322
SHL,68,30.258064516129032,70
SK,261,0.0,485
SKND,260,0.0,485
SM,164,0.0,434
SN,179,0.0,188
SOG,179,0.0,188
SPTN,75,0.0,196
SPTZ,73,0.0,196
SRN,177,0.0,463
SSH,47,0.0,196
ST,76,0.0,252
STD,184,0.0,434
STM,272,0.0,562
STV,290,0.0,493
STZ,75,0.0,252
SWD,261,0.0,550
SWK,186,0.0,532
TB,70,0.0,323
TBG,151,0.0,522
TBR,65,0.0,342
TBU,69,0.0,344
TG,164,0.0,386
TL,80,0.0,192
TPSW,78,0.0,192
TWL,131,0.0,503
UHM,285,0.0,566
UHZ,282,0.0,566
UST,277,0.0,565
UT,57,0.0,155
UTG,87,0.0,216
UTLN,61,0.0,228
UTLR,54,0.0,170
UTO,60,0.0,228
UTT,52,0.0,165
UTVR,58,0.0,228
UTZL,59,0.0,228
VB,27,0.0,215
VD,151,0.0,503
VDL,173,0.0,188
VDM,277,0.0,563
VEM,135,0.0,505
VG,94,0.0,265
VH,47,0.0,196
VHP,184,0.0,492
VK,182,0.0,188
VL,159,0.0,385
VLB,153,0.0,272
VNDC,92,0.0,262
VNDW,91,0.0,262
VP,121,0.0,486
VRY,160,0.0,273
VS,132,33.483870967741936,149
VSS,131,22.83870967741936,122
VST,34,0.0,189
VSV,158,0.0,522
VTN,50,0.0,156
VZ,181,0.0,604
WAD,33,0.0,155
WADN,34,0.0,155
WADT,32,0.0,155
WC,124,0.0,289
WD,41,0.0,155
WDN,170,0.0,510
WF,107,0.0,250
WFM,274,0.0,565
WH,153,0.0,544
WK,277,0.0,488
WL,140,0.0,505
WM,94,0.0,242
WP,88,0.0,316
WR,304,0.0,574
WS,282,0.0,565
WSM,266,0.0,551
WT,135,0.0,385
WTV,120,0.0,487
WV,199,0.0,482
WW,179,0.0,541
WWW,180,0.0,541
WZ,135,0.0,481
YPB,31,0.0,218
ZA,102,0.0,195
ZB,269,0.0,559
ZBM,77,0.0,192
ZD,89,0.0,141
ZDK,92,0.0,144
ZH,262,0.0,550
ZL,144,0.0,468
ZLSH,149,0.0,482
ZLW,34,0.1290322580645161,117
ZP,139,0.0,503
ZTM,36,0.0,215
ZTMO,37,0.0,215
ZV,129,0.0,485
ZVB,42,0.064516129032258,122
ZVT,76,0.0,196
ZWD,17,60.03225806451613,105
ZZS,92,0.0,144
