Station Code,Distance from HMBH,Services from/to HMBH,Disruptions on path to HMBH
OW,64,0.935483870967742,120
PMO,158,0.0,451
PMR,157,0.0,472
PMW,156,0.0,475
PT,133,0.0,433
RAI,128,0.0,196
RAT,199,0.0,447
RB,125,0.0,425
RD,325,0.0,531
RH,118,0.0,402
RHN,135,0.0,323
RL,159,0.0,406
RLB,115,0.0,605
RM,61,0.0,62
RS,53,0.935483870967742,120
RSD,96,0.0,389
RSN,179,0.0,404
RSW,141,0.0,607
RTA,132,0.0,459
RTB,121,0.0,506
RTD,122,0.0,389
RTN,127,0.0,459
RTST,117,0.0,506
RTZ,118,0.0,389
RV,50,0.0,48
RVS,73,0.0,141
SBK,93,0.0,143
SD,114,0.0,217
SDA,314,0.0,521
SDM,126,0.0,459
SDT,107,0.0,194
SDTB,109,0.0,506
SGL,117,0.0,129
SGN,193,0.0,564
SHL,140,0.0,207
SK,298,0.0,450
SKND,297,0.0,450
SM,56,0.0,62
SN,95,0.0,144
SOG,115,0.0,130
SPTN,159,0.0,488
SPTZ,157,0.0,488
SRN,79,0.0,140
SSH,152,0.0,301
ST,113,0.0,217
STD,86,0.0,111
STM,309,0.0,527
STV,327,0.0,458
STZ,112,0.0,217
SWD,298,0.0,515
SWK,223,0.0,497
TB,51,0.0,47
TBG,144,0.0,438
TBR,56,0.0,60
TBU,52,0.0,60
TG,43,0.0,29
TL,80,0.0,163
TPSW,78,0.0,163
TWL,158,0.0,470
UHM,322,0.0,531
UHZ,319,0.0,531
UST,314,0.0,530
UT,94,0.0,120
UTG,156,0.0,510
UTLN,90,0.0,244
UTLR,97,0.0,193
UTO,97,0.0,193
UTT,99,0.0,193
UTVR,93,0.0,244
UTZL,96,0.0,193
VB,148,0.0,651
VD,149,0.0,404
VDL,109,0.0,130
VDM,314,0.0,528
VEM,141,0.0,404
VG,42,27.870967741935484,47
VH,152,0.0,301
VHP,205,0.0,541
VK,118,0.0,130
VL,38,0.0,28
VLB,64,0.0,80
VNDC,127,0.0,322
VNDW,126,0.0,322
VP,114,0.0,402
VRY,57,0.0,80
VS,171,0.0,421
VSS,170,0.0,394
VST,149,0.0,386
VSV,151,0.0,438
VTN,101,0.0,198
VZ,198,0.0,540
WAD,134,0.0,278
WADN,135,0.0,278
WADT,133,0.0,278
WC,80,0.0,144
WD,110,0.0,193
WDN,187,0.0,411
WF,116,0.0,401
WFM,311,0.0,530
WH,170,0.0,480
WK,314,0.0,453
WL,133,0.0,421
WM,149,0.0,475
WP,127,0.0,205
WR,341,0.0,539
WS,319,0.0,530
WSM,303,0.0,516
WT,42,0.0,66
WTV,113,0.0,403
WV,236,0.0,447
WW,172,0.0,457
WWW,173,0.0,457
WZ,172,0.0,446
YPB,147,0.0,196
ZA,102,0.0,166
ZB,306,0.0,524
ZBM,59,0.0,120
ZD,143,0.0,472
ZDK,146,0.0,475
ZH,299,0.0,515
ZL,181,0.0,433
ZLSH,186,0.0,447
ZLW,87,0.0,407
ZP,137,0.0,404
ZTM,142,0.0,193
ZTMO,141,0.0,278
ZV,122,0.0,401
ZVB,95,0.0,412
ZVT,160,0.0,488
ZWD,104,0.0,506
ZZS,146,0.0,475
