Station Code,Distance from HLMS,Services from/to HLMS,Disruptions on path to HLMS
AC,33,0.0,293
AH,114,0.0,560
AHP,115,0.0,817
AHPR,117,0.0,819
AHZ,122,0.0,817
AKL,104,0.0,477
AKM,206,0.0,431
ALM,48,0.0,279
ALMB,54,0.0,410
ALMM,47,0.0,300
ALMO,56,0.0,410
ALMP,50,0.0,410
AMF,63,0.0,280
AMFS,66,0.0,520
AML,160,0.0,586
AMPO,45,0.0,300
AMR,36,32.61290322580645,79
AMRI,162,0.0,656
AMRN,37,27.193548387096776,154
ANA,66,0.0,165
APD,106,0.0,520
APDM,107,0.0,555
APDO,109,0.0,555
APG,269,0.0,509
APN,45,0.0,94
ARN,191,0.0,309
ASA,24,1.1935483870967742,279
ASB,28,1.1935483870967742,279
ASD,18,57.483870967741936,21
ASDL,17,0.0,21
ASDM,22,0.0,279
ASDZ,30,0.0,279
ASHD,29,0.0,293
ASN,207,0.0,429
ASS,14,69.16129032258064,0
ASSP,23,0.0,293
ATN,166,0.0,854
AVAT,69,0.0,526
BD,118,0.0,273
BDE,229,0.0,539
BDG,53,0.0,175
BDM,250,0.0,498
BDPB,113,0.0,395
BET,127,0.0,468
BF,254,0.0,498
BGN,139,0.032258064516129,278
BHDV,105,0.0,403
BHV,66,0.0,352
BK,222,0.0,539
BKF,68,0.0,85
BKG,67,0.0,81
BKL,55,0.0,296
BL,191,0.0,429
BLL,4,35.61290322580645,37
BMN,131,0.0,555
BMR,158,0.0,852
BN,169,0.0,656
BNC,82,0.0,521
BNK,65,0.0,352
BNN,79,0.0,520
BNZ,84,0.0,537
BP,248,0.0,441
BR,187,0.0,519
BRD,79,0.0,288
BRN,54,0.0,280
BSD,90,0.0,476
BSK,51,0.0,175
BSKS,52,0.0,198
BSMZ,42,0.0,311
BTL,117,0.0,425
BV,14,35.61290322580645,57
BZL,171,0.0,309
CAS,24,32.61290322580645,76
CK,148,0.0,849
CL,75,0.0,380
CO,184,0.0,458
CPS,76,0.0,283
CVM,239,0.0,556
DA,171,0.0,656
DB,69,0.0,352
DDN,164,0.0,570
DDR,88,0.032258064516129,273
DDRS,91,0.0,390
DDZD,89,0.0,390
DEI,228,0.0,441
DID,133,0.0,817
DL,141,0.0,438
DLD,66,0.0,294
DLN,188,0.0,472
DMN,25,0.0,293
DMNZ,28,0.0,319
DN,159,0.0,491
DR,130,0.0,817
DRH,9,35.61290322580645,56
DRON,97,0.0,424
DRP,235,0.0,455
DT,54,0.032258064516129,102
DTC,144,0.0,837
DTCH,142,0.0,837
DTCP,55,0.0,203
DV,121,0.0,520
DVC,125,0.0,586
DVD,26,1.1935483870967742,316
DVN,123,0.0,819
DVNK,33,0.0,87
DWE,241,0.0,441
DZ,273,0.0,527
DZW,272,0.0,527
EC,202,0.0,536
ED,97,0.0,538
EDC,95,0.0,537
EDN,244,0.0,540
EEM,280,0.0,526
EGH,238,0.0,555
EGHM,239,0.0,555
EHS,136,0.0,544
EHV,137,0.0,425
EKZ,71,0.0,93
EML,86,0.0,523
EMN,204,0.0,473
EMNZ,200,0.0,472
ES,177,0.0,622
ESK,173,0.0,622
EST,125,0.0,817
ETN,129,0.0,596
FN,241,0.0,441
FWD,238,0.0,441
GBG,177,0.0,458
GD,63,1.1935483870967742,198
GDG,66,0.0,283
GDM,83,0.0,433
GDR,149,0.0,854
GERP,233,0.0,482
GK,254,0.0,497
GLN,218,0.0,538
GN,235,0.0,482
GND,102,0.0,393
GNN,239,0.0,497
GO,154,0.0,562
GP,143,0.0,487
GR,109,0.0,495
GS,176,0.032258064516129,309
GV,46,0.032258064516129,87
GVC,45,1.1935483870967742,87
GVM,41,0.0,172
GVMW,47,0.0,102
GW,211,0.0,431
GZ,128,0.0,596
HAD,5,1.903225806451613,37
HB,229,0.0,569
HBZM,99,0.0,393
HD,90,0.0,523
HDB,171,0.0,445
HDE,111,0.0,520
HDG,234,0.0,441
HDR,78,0.0,174
HDRZ,77,0.0,174
HFD,34,0.0,71
HGL,169,0.0,603
HGLG,167,0.0,603
HGLO,171,0.0,622
HGV,177,0.0,424
HGZ,246,0.0,505
HIL,12,0.0,77
HK,17,35.61290322580645,75
HKS,63,0.0,77
HLG,250,0.0,442
HLGH,251,0.0,446
HLM,1,70.80645161290323,0
HLMS,0,0.0,0
HLO,31,32.61290322580645,79
HM,150,0.0,487
HMBH,151,0.0,491
HMBV,147,0.0,487
HMH,149,0.0,487
HMN,114,0.0,479
HN,53,27.193548387096776,21
HNK,54,0.0,77
HNO,141,0.0,435
HNP,266,0.0,444
HON,140,0.0,586
HOR,53,0.0,280
HR,195,0.0,424
HRL,233,0.0,538
HRLW,235,0.0,555
HRN,229,0.0,488
HRT,177,0.0,519
HT,105,0.0,352
HTN,65,0.0,352
HTNC,66,0.0,380
HTO,106,0.0,425
HVL,69,0.0,520
HVS,47,0.0,279
HVSM,46,0.0,344
HVSP,48,0.0,280
HWD,43,27.193548387096776,155
HWZB,7,69.16129032258064,0
HZE,148,0.0,493
IJT,249,0.0,442
KBD,158,0.0,309
KBK,115,0.0,556
KLP,91,0.0,352
KMA,25,0.0,76
KMR,241,0.0,555
KMW,271,0.0,449
KPN,144,0.0,435
KPNZ,114,0.0,425
KRD,241,0.0,566
KRG,165,0.0,309
KTR,107,0.0,476
KW,243,0.0,509
KZ,22,0.0,24
LAA,44,0.032258064516129,87
LC,141,0.0,555
LDL,31,0.0,87
LDM,97,0.0,477
LEDN,30,1.935483870967742,77
LG,236,0.0,555
LLS,72,0.0,410
LLZM,60,0.0,119
LP,261,0.0,515
LTN,89,0.0,537
LTV,159,0.0,557
LUT,218,0.0,538
LW,224,0.0,424
LWC,227,0.0,441
MAS,50,0.0,293
MDB,195,0.032258064516129,309
MES,241,0.0,540
MG,234,0.0,441
MMLH,143,0.0,838
MP,157,0.0,435
MRB,163,0.0,442
MRN,77,0.0,384
MT,235,0.0,538
MTH,244,0.0,511
MTN,238,0.0,540
MTR,236,0.0,540
MZ,158,0.0,498
NDB,41,0.0,300
NH,226,0.0,569
NKK,74,0.0,520
NM,133,0.0,817
NMD,138,0.0,838
NMGO,136,0.0,838
NMH,136,0.0,838
NML,132,0.0,831
NS,102,0.0,520
NSCH,279,0.0,518
NVD,161,0.0,435
NVP,39,0.0,199
NWK,72,0.0,283
O,124,0.0,425
OBD,49,27.193548387096776,165
ODB,119,0.0,395
ODZ,180,0.0,622
OMN,152,0.0,442
OP,111,0.0,479
OST,131,0.0,586
OT,126,0.0,468
OTB,110,0.0,560
OVN,3,19.870967741935484,37
OW,123,0.0,428
PMO,35,0.0,22
PMR,34,0.0,21
PMW,33,0.0,24
PT,81,0.0,523
RAI,29,0.0,319
RAT,147,0.0,435
RB,155,0.0,309
RD,273,0.0,519
RH,124,0.0,820
RHN,100,0.0,387
RL,146,0.0,557
RLB,75,0.0,282
RM,189,0.0,487
RS,112,0.0,428
RSD,126,0.032258064516129,273
RSN,147,0.0,586
RSW,49,0.0,102
RTA,77,0.0,283
RTB,69,0.032258064516129,273
RTD,68,0.032258064516129,203
RTN,73,0.0,273
RTST,73,0.0,282
RTZ,72,0.0,282
RV,200,0.0,536
RVS,132,0.0,446
SBK,221,0.0,568
SD,58,0.0,294
SDA,262,0.0,509
SDM,64,0.032258064516129,203
SDT,98,0.0,392
SDTB,95,0.0,392
SGL,245,0.0,554
SGN,57,0.0,165
SHL,29,0.0,21
SK,246,0.0,441
SKND,245,0.0,441
SM,194,0.0,536
SN,223,0.0,569
SOG,243,0.0,555
SPTN,8,35.61290322580645,55
SPTZ,6,35.61290322580645,55
SRN,207,0.0,565
SSH,38,0.0,87
ST,59,0.0,294
STD,214,0.0,536
STM,257,0.0,515
STV,275,0.0,449
STZ,60,0.0,294
SWD,246,0.0,503
SWK,171,0.0,485
TB,127,0.0,425
TBG,150,0.0,854
TBR,132,0.0,438
TBU,128,0.0,438
TG,194,0.0,572
TL,95,0.0,476
TPSW,93,0.0,476
TWL,116,0.0,555
UHM,270,0.0,519
UHZ,267,0.0,519
UST,262,0.0,518
UT,57,0.0,279
UTG,20,35.61290322580645,75
UTLN,61,0.0,352
UTLR,60,0.0,352
UTO,60,0.0,352
UTT,62,0.0,352
UTVR,58,0.0,352
UTZL,55,0.0,296
VB,48,0.0,116
VD,136,0.0,555
VDL,237,0.0,555
VDM,262,0.0,516
VEM,120,0.0,557
VG,109,0.0,425
VH,22,1.6774193548387095,80
VHP,169,0.0,445
VK,246,0.0,555
VL,189,0.0,571
VLB,165,0.0,880
VNDC,92,0.0,386
VNDW,91,0.0,386
VP,120,0.0,820
VRY,172,0.0,881
VS,201,0.032258064516129,311
VSS,200,0.0,311
VST,35,0.0,172
VSV,157,0.0,854
VTN,64,0.0,357
VZ,166,0.0,656
WAD,55,0.0,198
WADN,54,0.0,198
WADT,56,0.0,198
WC,139,0.0,449
WD,64,0.032258064516129,184
WDN,155,0.0,593
WF,106,0.0,560
WFM,259,0.0,518
WH,138,0.0,596
WK,262,0.0,444
WL,139,0.0,837
WM,26,0.0,24
WP,32,0.0,294
WR,289,0.0,527
WS,267,0.0,518
WSM,251,0.0,504
WT,165,0.0,487
WTV,119,0.0,819
WV,184,0.0,424
WW,169,0.0,569
WWW,168,0.0,569
WZ,120,0.0,533
YPB,52,0.0,119
ZA,117,0.0,479
ZB,254,0.0,512
ZBM,92,0.0,476
ZD,20,0.0,21
ZDK,23,0.0,24
ZH,247,0.0,503
ZL,129,0.0,421
ZLSH,134,0.0,435
ZLW,103,0.0,390
ZP,124,0.0,555
ZTM,57,0.0,116
ZTMO,58,0.0,119
ZV,128,0.0,817
ZVB,111,0.0,395
ZVT,9,19.870967741935484,38
ZWD,86,0.0,387
ZZS,23,0.0,24
