Station Code,Distance from ZBM,Services from/to ZBM,Disruptions on path to ZBM
AC,59,0.0,149
AH,65,0.0,60
AHP,66,0.0,317
AHPR,68,0.0,317
AHZ,57,0.0,60
AKL,30,0.0,44
AKM,199,0.0,420
ALM,84,0.0,129
ALMB,90,0.0,260
ALMM,83,0.0,128
ALMO,92,0.0,260
ALMP,86,0.0,260
AMF,56,0.0,116
AMFS,59,0.0,356
AML,149,0.0,386
AMPO,81,0.0,128
AMR,113,0.1290322580645161,401
AMRI,151,0.0,456
AMRN,114,0.0,476
ANA,143,0.0,487
APD,99,0.0,356
APDM,100,0.0,391
APDO,102,0.0,391
APG,262,0.0,450
APN,70,0.0,126
ARN,145,0.0,414
ASA,68,0.1290322580645161,116
ASB,64,0.0,43
ASD,74,0.1290322580645161,116
ASDL,81,0.0,374
ASDM,70,0.0,153
ASDZ,70,0.0,57
ASHD,63,0.0,276
ASN,200,0.0,370
ASS,78,0.1290322580645161,374
ASSP,71,0.0,167
ATN,117,0.0,354
AVAT,62,0.0,362
BD,56,0.0,86
BDE,137,0.0,167
BDG,62,0.0,117
BDM,243,0.0,439
BDPB,61,0.0,409
BET,35,0.0,73
BF,247,0.0,439
BGN,93,0.0,414
BHDV,41,0.0,64
BHV,44,0.0,116
BK,130,0.0,168
BKF,132,0.0,459
BKG,131,0.0,455
BKL,47,0.0,116
BL,184,0.0,370
BLL,96,0.0,411
BMN,87,0.0,320
BMR,81,0.0,129
BN,144,0.0,387
BNC,75,0.0,357
BNK,41,0.0,124
BNN,72,0.0,356
BNZ,77,0.0,373
BP,241,0.0,373
BR,95,0.0,148
BRD,67,0.0,192
BRN,59,0.0,140
BSD,16,0.0,43
BSK,76,0.0,207
BSKS,77,0.0,230
BSMZ,58,0.0,117
BTL,25,0.0,73
BV,103,0.0,395
BZL,125,0.0,445
CAS,101,0.1290322580645161,398
CK,71,0.0,126
CL,17,37.61290322580645,43
CO,177,0.0,390
CPS,80,0.0,201
CVM,147,0.0,185
DA,160,0.0,456
DB,45,0.0,168
DDN,134,0.0,335
DDR,58,0.0,75
DDRS,55,0.0,75
DDZD,59,0.0,192
DEI,221,0.0,373
DID,84,0.0,317
DL,134,0.0,370
DLD,47,0.0,136
DLN,181,0.0,404
DMN,73,0.0,167
DMNZ,68,0.0,119
DN,67,0.0,120
DR,81,0.0,317
DRH,101,0.0,412
DRON,133,0.0,274
DRP,228,0.0,387
DT,92,0.0,192
DTC,95,0.0,337
DTCH,93,0.0,337
DTCP,91,0.0,262
DV,110,0.0,320
DVC,114,0.0,386
DVD,66,0.0,116
DVN,74,0.0,319
DVNK,88,0.0,224
DWE,234,0.0,373
DZ,266,0.0,468
DZW,265,0.0,468
EC,110,0.0,165
ED,74,0.0,200
EDC,76,0.0,222
EDN,152,0.0,169
EEM,273,0.0,467
EGH,146,0.0,184
EGHM,147,0.0,184
EHS,44,0.0,149
EHV,45,0.0967741935483871,73
EKZ,135,0.0,467
EML,79,0.0,356
EMN,197,0.0,405
EMNZ,193,0.0,404
ES,147,0.0,387
ESK,143,0.0,387
EST,54,0.0,46
ETN,67,0.0,409
FN,234,0.0,373
FWD,231,0.0,373
GBG,170,0.0,390
GD,67,1.064516129032258,116
GDG,64,1.064516129032258,116
GDM,9,37.74193548387097,0
GDR,100,0.0,354
GERP,226,0.0,423
GK,247,0.0,438
GLN,126,0.0,167
GN,228,0.0,423
GND,44,0.0,64
GNN,232,0.0,438
GO,124,0.0,327
GP,51,0.0,135
GR,35,0.0,62
GS,130,0.0,414
GV,96,0.0,201
GVC,95,0.0,119
GVM,96,0.0,309
GVMW,97,0.0,216
GW,204,0.0,427
GZ,46,0.0,88
HAD,97,0.0,395
HB,137,0.0,198
HBZM,47,0.0,74
HD,83,0.0,359
HDB,164,0.0,377
HDE,104,0.0,356
HDG,227,0.0,373
HDR,155,0.0,496
HDRZ,154,0.0,496
HFD,86,0.0,131
HGL,139,0.0,368
HGLG,137,0.0,368
HGLO,141,0.0,387
HGV,170,0.0,370
HGZ,239,0.0,446
HIL,103,0.0,224
HK,100,0.0,434
HKS,127,0.0,451
HLG,243,0.0,374
HLGH,244,0.0,378
HLM,93,0.0,374
HLMS,92,0.0,395
HLO,108,0.0,401
HM,58,0.0,116
HMBH,59,0.0,120
HMBV,55,0.0,135
HMH,57,0.0,135
HMN,40,0.0,46
HN,117,0.0,395
HNK,118,0.0,451
HNO,134,0.0,370
HNP,259,0.0,376
HON,129,0.0,320
HOR,47,0.0,116
HR,188,0.0,427
HRL,141,0.0,167
HRLW,143,0.0,184
HRN,222,0.0,423
HRT,85,0.0,148
HT,13,37.03225806451613,0
HTN,27,37.61290322580645,96
HTNC,26,37.61290322580645,96
HTO,14,0.0,73
HVL,62,0.0,356
HVS,53,0.0,116
HVSM,54,0.0,117
HVSP,52,0.0,116
HWD,120,0.0,477
HWZB,85,0.0,395
HZE,56,0.0,141
IJT,242,0.0,374
KBD,112,0.0,414
KBK,103,0.0,320
KLP,67,0.0,200
KMA,92,0.0,408
KMR,149,0.0,184
KMW,264,0.0,381
KPN,137,0.0,370
KPNZ,137,0.0,370
KRD,149,0.0,195
KRG,119,0.0,414
KTR,33,0.0,43
KW,236,0.0,444
KZ,86,0.0,398
LAA,96,0.0,148
LC,111,0.0,320
LDL,84,0.0,207
LDM,23,0.0,44
LEDN,85,0.0,214
LG,144,0.0,184
LLS,108,0.0,260
LLZM,80,0.0,201
LP,254,0.0,450
LTN,82,0.0,373
LTV,129,0.0,322
LUT,126,0.0,167
LW,217,0.0,356
LWC,220,0.0,373
MAS,42,0.0,116
MDB,149,0.0,441
MES,149,0.0,169
MG,227,0.0,373
MMLH,66,0.0,115
MP,150,0.0,370
MRB,156,0.0,377
MRN,53,0.0,200
MT,143,0.0967741935483871,167
MTH,237,0.0,446
MTN,146,0.0,169
MTR,144,0.0,169
MZ,66,0.0,146
NDB,59,0.0,117
NH,134,0.0,198
NKK,67,0.0,356
NM,56,0.0,94
NMD,51,0.0,97
NMGO,53,0.0,98
NMH,59,0.0,115
NML,57,0.0,115
NS,95,0.0,356
NSCH,272,0.0,453
NVD,152,0.0,327
NVP,91,0.0,259
NWK,76,0.0,201
O,32,0.0,73
OBD,126,0.0,395
ODB,87,0.0,414
ODZ,150,0.0,387
OMN,145,0.0,377
OP,37,0.0,46
OST,120,0.0,386
OT,34,0.0,116
OTB,69,0.0,317
OVN,95,0.0,411
OW,31,0.0,73
PMO,99,0.0,374
PMR,98,0.0,395
PMW,97,0.0,398
PT,74,0.0,356
RAI,69,0.0,119
RAT,140,0.0,370
RB,109,0.0,445
RD,266,0.0,454
RH,75,0.0,318
RHN,76,0.0,203
RL,116,0.0,322
RLB,71,0.0,291
RM,97,0.0967741935483871,116
RS,20,0.0,73
RSD,80,0.0,409
RSN,136,0.0,320
RSW,97,0.0,293
RTA,81,0.0,201
RTB,77,0.0,192
RTD,78,0.0,192
RTN,83,0.0,262
RTST,73,0.0,192
RTZ,74,0.0,192
RV,108,0.0,165
RVS,40,0.0,94
SBK,129,0.0,197
SD,55,0.0,140
SDA,255,0.0,444
SDM,82,0.0,262
SDT,48,0.0,74
SDTB,51,0.0,75
SGL,153,0.0,183
SGN,134,0.0,487
SHL,81,0.0,57
SK,239,0.0,373
SKND,238,0.0,373
SM,102,0.0,165
SN,131,0.0,198
SOG,151,0.0,184
SPTN,100,0.0,411
SPTZ,98,0.0,411
SRN,115,0.0,194
SSH,93,0.0,224
ST,54,0.0,140
STD,122,0.0967741935483871,165
STM,250,0.0,450
STV,268,0.0,381
STZ,53,0.0,140
SWD,239,0.0,438
SWK,164,0.0,420
TB,35,0.0,73
TBG,101,0.0,354
TBR,40,0.0,86
TBU,36,0.0,86
TG,102,0.0,74
TL,21,0.0,43
TPSW,19,0.0,43
TWL,109,0.0,391
UHM,263,0.0,454
UHZ,260,0.0,454
UST,255,0.0,453
UT,35,37.74193548387097,43
UTG,97,0.0,433
UTLN,31,37.61290322580645,124
UTLR,38,1.064516129032258,116
UTO,38,0.0,116
UTT,40,1.064516129032258,116
UTVR,34,37.61290322580645,124
UTZL,37,0.0,116
VB,92,0.0,201
VD,106,0.0,320
VDL,145,0.0,184
VDM,255,0.0,451
VEM,98,0.0,320
VG,17,0.0,73
VH,93,0.0,224
VHP,162,0.0,380
VK,154,0.0,184
VL,97,0.0,73
VLB,88,0.0,157
VNDC,68,0.0,202
VNDW,67,0.0,202
VP,71,0.0,318
VRY,95,0.0,158
VS,155,0.0,441
VSS,154,0.0,414
VST,90,0.0,309
VSV,108,0.0,354
VTN,42,1.064516129032258,121
VZ,155,0.0,456
WAD,75,0.0,201
WADN,76,0.0,201
WADT,74,0.0,201
WC,47,0.0,97
WD,51,1.064516129032258,116
WDN,144,0.0,327
WF,73,0.0,317
WFM,252,0.0,453
WH,127,0.0,396
WK,255,0.0,376
WL,90,0.0,337
WM,90,0.0,398
WP,68,0.0,128
WR,282,0.0,462
WS,260,0.0,453
WSM,244,0.0,439
WT,73,0.0967741935483871,116
WTV,70,0.0,319
WV,177,0.0,370
WW,129,0.0,373
WWW,130,0.0,373
WZ,113,0.0,369
YPB,88,0.0,119
ZA,43,0.0,46
ZB,247,0.0,447
ZBM,0,0.0,0
ZD,84,0.1290322580645161,395
ZDK,87,0.0,398
ZH,240,0.0,438
ZL,122,0.0,356
ZLSH,127,0.0,370
ZLW,71,0.0,427
ZP,94,0.0,320
ZTM,83,0.0,116
ZTMO,82,0.0,201
ZV,79,0.0,317
ZVB,79,0.0,432
ZVT,101,0.0,411
ZWD,60,0.0,192
ZZS,87,0.0,398
