Station Code,Distance from MRN,Services from/to MRN,Disruptions on path to MRN
AC,44,0.0,138
AH,54,0.0,54
AHP,55,0.0,311
AHPR,57,0.0,311
AHZ,62,0.0,311
AKL,65,0.0,201
AKM,184,0.0,409
ALM,69,0.0,118
ALMB,75,0.0,249
ALMM,68,0.0,117
ALMO,77,0.0,249
ALMP,71,0.0,249
AMF,41,0.0,105
AMFS,44,0.0,345
AML,138,0.0,411
AMPO,66,0.0,117
AMR,98,0.0,390
AMRI,140,0.0,481
AMRN,99,0.0,465
ANA,128,0.0,476
APD,84,0.0,345
APDM,85,0.0,380
APDO,87,0.0,380
APG,247,0.0,439
APN,55,0.0,115
ARN,196,0.0,354
ASA,53,0.0,105
ASB,49,0.0,32
ASD,59,0.0,105
ASDL,66,0.0,363
ASDM,55,0.0,142
ASDZ,55,0.0,46
ASHD,48,0.0,265
ASN,185,0.0,359
ASS,63,0.0,363
ASSP,56,0.0,156
ATN,106,0.0,348
AVAT,47,0.0,351
BD,109,0.0,286
BDE,190,0.0,367
BDG,47,0.0,106
BDM,228,0.0,428
BDPB,114,0.0,609
BET,88,0.0,273
BF,232,0.0,428
BGN,144,0.0,353
BHDV,76,0.0,221
BHV,29,0.0,105
BK,183,0.0,368
BKF,117,0.0,448
BKG,116,0.0,444
BKL,32,35.67741935483871,105
BL,169,0.0,359
BLL,81,0.0,400
BMN,76,0.0,314
BMR,98,0.0,89
BN,133,0.0,381
BNC,52,0.0,55
BNK,12,36.54838709677419,32
BNN,55,0.0,71
BNZ,50,0.0,55
BP,226,0.0,362
BR,133,0.0,118
BRD,87,0.0,266
BRN,44,0.0,129
BSD,51,0.0,200
BSK,61,0.0,196
BSKS,62,0.0,219
BSMZ,43,0.0,106
BTL,78,0.0,273
BV,88,0.0,384
BZL,176,0.0,384
CAS,86,0.0,387
CK,88,0.0,86
CL,36,0.0,104
CO,162,0.0,379
CPS,65,0.0,190
CVM,200,0.0,385
DA,149,0.0,481
DB,8,36.54838709677419,0
DDN,123,0.0,329
DDR,93,0.0,232
DDRS,90,0.0,232
DDZD,94,0.0,349
DEI,206,0.0,362
DID,73,0.0,311
DL,119,0.0,359
DLD,32,0.0,125
DLN,166,0.0,393
DMN,58,0.0,156
DMNZ,53,0.0,108
DN,120,0.0,320
DR,70,0.0,311
DRH,86,0.0,401
DRON,118,0.0,263
DRP,213,0.0,376
DT,89,0.0,205
DTC,84,0.0,331
DTCH,82,0.0,331
DTCP,89,0.0,260
DV,99,0.0,345
DVC,103,0.0,380
DVD,51,0.0,105
DVN,63,0.0,313
DVNK,73,0.0,213
DWE,219,0.0,362
DZ,251,0.0,457
DZW,250,0.0,457
EC,163,0.0,365
ED,37,0.0,32
EDC,39,0.0,54
EDN,205,0.0,369
EEM,258,0.0,456
EGH,199,0.0,384
EGHM,200,0.0,384
EHS,97,0.0,349
EHV,98,0.0,273
EKZ,120,0.0,456
EML,64,0.0,345
EMN,182,0.0,394
EMNZ,178,0.0,393
ES,136,0.0,381
ESK,132,0.0,381
EST,65,0.0,311
ETN,120,0.0,609
FN,219,0.0,362
FWD,216,0.0,362
GBG,155,0.0,379
GD,52,0.0,105
GDG,49,0.0,105
GDM,44,0.0,157
GDR,89,0.0,348
GERP,211,0.0,412
GK,232,0.0,427
GLN,179,0.0,367
GN,213,0.0,412
GND,79,0.0,221
GNN,217,0.0,427
GO,113,0.0,321
GP,104,0.0,335
GR,70,0.0,219
GS,181,0.0,354
GV,81,0.0,190
GVC,80,0.0,108
GVM,81,0.0,298
GVMW,82,0.0,205
GW,189,0.0,416
GZ,99,0.0,288
HAD,82,0.0,384
HB,190,0.0,398
HBZM,82,0.0,231
HD,68,0.0,348
HDB,149,0.0,366
HDE,89,0.0,345
HDG,212,0.0,362
HDR,140,0.0,485
HDRZ,139,0.0,485
HFD,71,0.0,120
HGL,128,0.0,362
HGLG,126,0.0,362
HGLO,130,0.0,381
HGV,155,0.0,359
HGZ,224,0.0,435
HIL,88,0.0,213
HK,85,0.0,423
HKS,112,0.0,440
HLG,228,0.0,363
HLGH,229,0.0,367
HLM,78,0.0,363
HLMS,77,0.0,384
HLO,93,0.0,390
HM,111,0.0,316
HMBH,112,0.0,320
HMBV,108,0.0,335
HMH,110,0.0,335
HMN,75,0.0,203
HN,102,0.0,384
HNK,103,0.0,440
HNO,119,0.0,359
HNP,244,0.0,365
HON,118,0.0,380
HOR,32,0.0,105
HR,173,0.0,416
HRL,194,0.0,367
HRLW,196,0.0,384
HRN,207,0.0,412
HRT,138,0.0,348
HT,66,0.0,200
HTN,26,0.0,76
HTNC,27,0.0,104
HTO,67,0.0,273
HVL,47,0.0,345
HVS,38,0.0,105
HVSM,39,0.0,106
HVSP,37,0.0,105
HWD,105,0.0,466
HWZB,70,0.0,384
HZE,109,0.0,341
IJT,227,0.0,363
KBD,163,0.0,354
KBK,92,0.0,314
KLP,30,0.0,32
KMA,77,0.0,397
KMR,202,0.0,384
KMW,249,0.0,370
KPN,122,0.0,359
KPNZ,122,0.0,359
KRD,202,0.0,395
KRG,170,0.0,354
KTR,68,0.0,200
