Station Code,Distance from DEI,Services from/to DEI,Disruptions on path to DEI
HR,33,0.0,17
HRL,323,0.0,568
HRLW,325,0.0,585
HRN,64,0.0,32
HRT,264,0.0,483
HT,234,0.0,330
HTN,194,0.0,330
HTNC,195,0.0,358
HTO,235,0.0,403
HVL,171,0.0,257
HVS,181,0.0,31
HVSM,182,0.0,32
HVSP,182,0.0,32
HWD,256,0.0,392
HWZB,221,0.0,310
HZE,277,0.0,474
IJT,29,0.0,18
KBD,331,0.0,527
KBK,154,0.0,67
KLP,199,0.0,389
KMA,228,0.0,323
KMR,331,0.0,585
KMW,51,0.0,25
KPN,114,0.0,31
KPNZ,114,0.0,31
KRD,331,0.0,596
KRG,338,0.0,527
KTR,207,0.0,381
KW,70,0.0,53
KZ,222,0.0,313
LAA,247,0.0,362
LC,163,0.0,107
LDL,235,0.0,348
LDM,226,0.0,374
LEDN,236,0.0,355
LG,326,0.0,585
LLS,156,0.0,17
LLZM,231,0.0,415
LP,84,0.0,44
LTN,191,0.0,274
LTV,181,0.0,109
LUT,308,0.0,568
LW,4,17.70967741935484,0
LWC,7,0.0,17
MAS,193,0.0,330
MDB,368,0.0,554
MES,331,0.0,570
MG,14,0.0,17
MMLH,204,0.0,388
MP,71,0.0,24
MRB,133,0.0,38
MRN,206,0.0,362
MT,325,0.0,568
MTH,71,0.0,55
MTN,328,0.0,570
MTR,326,0.0,570
MZ,287,0.0,479
NDB,187,0.0,32
NH,316,0.0,599
NKK,154,0.0,34
NM,194,0.0,367
NMD,199,0.0,388
NMGO,197,0.0,388
NMH,197,0.0,388
NML,193,0.0,381
NS,126,0.0,31
NSCH,106,0.0,62
NVD,131,0.0,40
NVP,230,0.0,234
NWK,227,0.0,415
O,218,0.0,388
OBD,262,0.0,310
ODB,292,0.0,527
ODZ,169,0.0,141
OMN,122,0.0,38
OP,203,0.0,381
OST,120,0.0,31
OT,255,0.0,446
OTB,179,0.0,367
OVN,231,0.0,326
OW,219,0.0,409
PMO,235,0.0,289
PMR,234,0.0,310
PMW,233,0.0,313
PT,147,0.0,31
RAI,208,0.0,35
RAT,117,0.0,31
RB,328,0.0,527
RD,96,0.0,48
RH,165,0.0,110
RHN,229,0.0,365
RL,168,0.0,109
RLB,249,0.0,485
RM,279,0.0,517
RS,230,0.0,409
RSD,299,0.0,522
RSN,147,0.0,52
RSW,250,0.0,430
RTA,232,0.0,415
RTB,243,0.0,485
RTD,242,0.0,415
RTN,237,0.0,417
RTST,247,0.0,485
RTZ,246,0.0,485
RV,268,0.0,503
RVS,210,0.0,367
SBK,311,0.0,598
SD,178,0.0,271
SDA,89,0.0,53
SDM,246,0.0,485
SDT,251,0.0,404
SDTB,254,0.0,405
SGL,335,0.0,584
SGN,270,0.0,402
SHL,220,0.0,106
SK,26,0.0,17
SKND,25,0.0,17
SM,274,0.0,517
SN,313,0.0,599
SOG,333,0.0,585
SPTN,236,0.0,326
SPTZ,234,0.0,326
SRN,297,0.0,595
SSH,241,0.0,234
ST,179,0.0,271
STD,304,0.0,566
STM,80,0.0,44
STV,55,0.0,25
STZ,180,0.0,261
SWD,69,0.0,32
SWK,57,0.0,17
TB,256,0.0,403
TBG,209,0.0,156
TBR,261,0.0,416
TBU,257,0.0,416
TG,261,0.0,484
TL,219,0.0,384
TPSW,221,0.0,384
TWL,135,0.0,107
UHM,93,0.0,48
UHZ,90,0.0,48
UST,85,0.0,47
UT,186,0.0,257
UTG,233,0.0,348
UTLN,190,0.0,330
UTLR,189,0.0,330
UTO,183,0.0,257
UTT,191,0.0,330
UTVR,187,0.0,330
UTZL,188,0.0,330
VB,243,0.0,415
VD,158,0.0,107
VDL,327,0.0,585
VDM,89,0.0,60
VEM,150,0.0,107
VG,238,0.0,403
VH,244,0.0,365
VHP,139,0.0,41
VK,336,0.0,585
VL,256,0.0,483
VLB,226,0.0,430
VNDC,221,0.0,364
VNDW,220,0.0,364
VP,169,0.0,113
VRY,233,0.0,431
VS,374,0.0,554
VSS,373,0.0,527
VST,241,0.0,450
VSV,212,0.0,140
VTN,193,0.0,335
VZ,146,0.0,42
WAD,226,0.0,415
WADN,227,0.0,415
WADT,225,0.0,415
WC,203,0.0,367
WD,202,0.0,257
WDN,139,0.0,52
WF,183,0.0,367
WFM,82,0.0,47
WH,113,0.0,31
WK,42,0.0,20
WL,198,0.0,139
WM,226,0.0,313
WP,196,0.0,43
WR,116,0.0,71
WS,94,0.0,62
WSM,74,0.0,33
WT,294,0.0,468
WTV,178,0.0,116
WV,44,0.0,17
WW,191,0.0,121
WWW,190,0.0,121
WZ,108,0.0,31
YPB,239,0.0,333
ZA,197,0.0,381
ZB,81,0.0,56
ZBM,221,0.0,373
ZD,220,0.0,310
ZDK,223,0.0,313
ZH,46,0.0,17
ZL,99,0.0,17
ZLSH,104,0.0,31
ZLW,276,0.0,522
ZP,146,0.0,107
ZTM,234,0.0,330
ZTMO,233,0.0,415
ZV,187,0.0,119
ZVB,284,0.0,527
ZVT,237,0.0,326
ZWD,260,0.0,590
ZZS,223,0.0,313
