Station Code,Distance from DEI,Services from/to DEI,Disruptions on path to DEI
AC,210,0.0,363
AH,175,0.0,110
AHP,174,0.0,114
AHPR,172,0.0,113
AHZ,183,0.0,367
AKL,233,0.0,374
AKM,22,0.0,19
ALM,180,0.0,42
ALMB,174,0.0,42
ALMM,181,0.0,173
ALMO,172,0.0,31
ALMP,178,0.0,47
AMF,165,0.0,17
AMFS,162,0.0,31
AML,144,0.0,52
AMPO,183,0.0,174
AMR,249,0.0,316
AMRI,146,0.0,122
AMRN,250,0.0,391
ANA,279,0.0,402
APD,145,0.0,31
APDM,146,0.0,66
APDO,142,0.0,107
APG,92,0.0,44
APN,221,0.0,267
ARN,364,0.0,527
ASA,207,0.0,35
ASB,207,0.0,35
ASD,210,0.0,31
ASDL,217,0.0,289
ASDM,206,0.0,257
ASDZ,209,0.0,32
ASHD,208,0.0,49
ASN,86,0.0,32
ASS,214,0.0,289
ASSP,205,0.0,50
ATN,203,0.0,121
AVAT,159,0.0,37
BD,277,0.0,416
BDE,319,0.0,568
BDG,213,0.0,258
BDM,73,0.0,33
BDPB,282,0.0,739
BET,256,0.0,330
BF,77,0.0,33
BGN,312,0.0,526
BHDV,244,0.0,394
BHV,177,0.0,261
BK,312,0.0,569
BKF,268,0.0,374
BKG,267,0.0,370
BKL,198,0.0,330
BL,102,0.0,85
BLL,232,0.0,326
BMN,153,0.0,107
BMR,219,0.0,402
BN,153,0.0,122
BNC,184,0.0,258
BNK,194,0.0,330
BNN,181,0.0,257
BNZ,186,0.0,274
BP,28,0.0,17
BR,254,0.0,431
BRD,253,0.0,491
BRN,174,0.0,257
BSD,219,0.0,373
BSK,227,0.0,348
BSKS,228,0.0,371
BSMZ,186,0.0,32
BTL,246,0.0,403
BV,239,0.0,310
BZL,344,0.0,557
CAS,237,0.0,313
CK,209,0.0,399
CL,204,0.0,358
CO,154,0.0,51
CPS,231,0.0,415
CVM,329,0.0,586
DA,141,0.0,41
DB,198,0.0,330
DDN,163,0.0,141
DDR,261,0.0,405
DDRS,258,0.0,405
DDZD,262,0.0,522
DEI,0,0.0,0
DID,192,0.0,119
DL,111,0.0,31
DLD,174,0.0,257
DLN,158,0.0,65
DMN,203,0.0,49
DMNZ,203,0.0,32
DN,282,0.0,483
DR,159,0.0,107
DRH,237,0.0,327
DRON,131,0.0,31
DRP,7,19.096774193548388,0
DT,255,0.0,430
DTC,203,0.0,139
DTCH,201,0.0,139
DTCP,255,0.0,485
DV,130,0.0,41
DVC,134,0.0,107
DVD,205,0.0,32
DVN,182,0.0,116
DVNK,239,0.0,365
DWE,21,0.0,17
DZ,96,0.0,62
DZW,95,0.0,62
EC,292,0.0,566
ED,192,0.0,367
EDC,194,0.0,389
EDN,334,0.0,570
EEM,103,0.0,61
EGH,328,0.0,585
EGHM,329,0.0,585
EHS,265,0.0,406
EHV,266,0.0,406
EKZ,271,0.0,382
EML,142,0.0,34
EMN,174,0.0,66
EMNZ,170,0.0,65
ES,166,0.0,141
ESK,162,0.0,141
EST,186,0.0,367
ETN,288,0.0,739
FN,13,19.096774193548388,1
FWD,18,0.0,17
GBG,147,0.0,51
GD,218,0.0,330
GDG,215,0.0,330
GDM,212,0.0,330
GDR,208,0.0,156
GERP,60,0.0,32
GK,39,0.0,40
GLN,308,0.0,568
GN,58,0.0,17
GND,247,0.0,394
GNN,62,0.0,32
GO,173,0.0,174
GP,272,0.0,468
GR,238,0.0,392
GS,349,0.0,527
GV,247,0.0,415
GVC,246,0.0,333
GVM,247,0.0,450
GVMW,248,0.0,430
GW,17,0.0,17
GZ,267,0.0,418
HAD,233,0.0,310
HB,319,0.0,599
HBZM,250,0.0,404
HD,138,0.0,31
HDB,141,0.0,38
HDE,117,0.0,31
HDG,14,0.0,17
HDR,291,0.0,411
HDRZ,290,0.0,411
HFD,225,0.0,106
HGL,158,0.0,122
HGLG,160,0.0,141
HGLO,160,0.0,141
HGV,91,0.0,74
HGZ,73,0.0,55
HIL,240,0.0,310
HK,236,0.0,349
HKS,263,0.0,366
HLG,22,19.096774193548388,2
HLGH,23,19.096774193548388,6
HLM,229,0.0,289
HLMS,228,0.0,310
HLO,244,0.0,316
HM,279,0.0,468
HMBH,280,0.0,472
HMBV,276,0.0,468
HMH,278,0.0,468
HMN,200,0.0,381
HN,253,0.0,310
HNK,254,0.0,366
HNO,111,0.0,31
HNP,46,0.0,20
HON,149,0.0,107
HOR,187,0.0,32
