Station Code,distance_GV,services_per_day_GV,n_of_disruptions_GV
RSN,166,0,464
RSW,3,82.83870967741936,0
RTA,32,0,171
RTB,23,112.7741935483871,171
RTD,22,154.48387096774192,101
RTN,27,0,171
RTST,27,0.41935483870967744,180
RTZ,26,57.38709677419355,180
RV,193,0,605
RVS,136,0,252
SBK,214,0,637
SD,81,0,182
SDA,281,0,486
SDM,18,116.64516129032258,101
SDT,52,0,290
SDTB,49,0,290
SGL,238,0,623
SGN,101,0,215
SHL,45,35.774193548387096,29
SK,265,0,429
SKND,264,0,429
SM,187,0,605
SN,216,0,638
SOG,236,0,624
SPTN,52,0,105
SPTZ,50,0,105
SRN,200,0,634
SSH,24,0.0967741935483871,10
ST,80,0,182
STD,207,0,605
STM,276,0,492
STV,294,0,437
STZ,79,0,182
SWD,265,0.06451612903225806,480
SWK,190,0,462
TB,93,33.58064516129032,494
TBG,155,0,452
TBR,88,0,513
TBU,92,0,515
TG,187,0,641
TL,99,0,282
TPSW,97,0,282
TWL,135,0,433
UHM,289,0.03225806451612903,496
UHZ,286,0.03225806451612903,496
UST,281,0,495
UT,61,4.741935483870968,85
UTG,64,0,125
UTLN,65,0,158
UTLR,58,0,108
UTO,64,0,158
UTT,56,0,103
UTVR,62,0,158
UTZL,63,0,158
VB,4,0,29
VD,155,0,433
VDL,230,0,624
VDM,281,0,493
VEM,139,0,435
VG,113,0,231
VH,24,0.6774193548387096,10
VHP,188,0,422
VK,239,0,624
VL,182,0.6774193548387096,640
VLB,170,0,478
VNDC,96,0,192
VNDW,95,0,192
VP,125,0,418
VRY,177,0,479
VS,155,30.35483870967742,209
VSS,154,19.70967741935484,209
VST,11,1.064516129032258,3
VSV,162,0,452
VTN,54,0,94
VZ,185,0,534
WAD,37,0,85
WADN,38,0,85
WADT,36,0,85
WC,143,0,255
WD,45,0,93
WDN,174,0,471
WF,111,0,180
WFM,278,0.03225806451612903,495
WH,157,0,474
WK,281,0,432
WL,144,0,435
WM,71,0,151
WP,69,0.0967741935483871,165
WR,308,0,504
WS,286,0,495
WSM,270,0.03225806451612903,481
WT,158,0,556
WTV,124,0,417
WV,203,0,412
WW,183,0,471
WWW,184,0,471
WZ,139,0,411
YPB,8,0,32
ZA,121,0,285
ZB,273,0,489
ZBM,96,0,282
ZD,66,0,100
ZDK,69,0,103
ZH,266,0,480
ZL,148,0.0967741935483871,398
ZLSH,153,0,412
ZLW,57,0.0967741935483871,288
ZP,143,0,433
ZTM,13,0,29
ZTMO,14,0,32
ZV,133,0,415
ZVB,65,0.03225806451612903,293
ZVT,53,0,88
ZWD,40,57.354838709677416,285
ZZS,69,0,103
