Station Code,Distance from NMD,Services from/to NMD,Disruptions on path to NMD
AC,106,0.0,384
AH,24,31.096774193548388,21
AHP,25,23.161290322580644,278
AHPR,27,23.161290322580644,278
AHZ,16,31.06451612903226,35
AKL,79,0.0,82
AKM,177,0.0,421
ALM,122,0.0,314
ALMB,128,0.0,445
ALMM,121,0.0,313
ALMO,130,0.0,445
ALMP,124,0.0,445
AMF,75,0.0,61
AMFS,78,0.0,301
AML,108,0.0,347
AMPO,119,0.0,313
AMR,159,0.0,600
AMRI,110,0.0,417
AMRN,160,0.0,675
ANA,189,0.0,686
APD,71,0.0,281
APDM,70,0.0,282
APDO,74,0.0,316
APG,240,0.0,451
APN,117,0.0,361
ARN,170,0.0,438
ASA,115,0.0,351
ASB,111,0.0,351
ASD,120,0.0,315
ASDL,127,0.0,573
ASDM,116,0.0,301
ASDZ,117,0.0,365
ASHD,110,0.0,511
ASN,178,0.0,371
ASS,124,0.0,573
ASSP,115,0.0,320
ATN,76,0.0,315
AVAT,81,0.0,307
BD,81,28.258064516129032,110
BDE,130,0.0,201
BDG,109,0.0,352
BDM,221,0.0,440
BDPB,86,27.483870967741936,433
BET,60,0.0,97
BF,225,0.0,440
BGN,118,0.0,438
BHDV,90,0.0,102
BHV,87,0.0,305
BK,123,0.0,202
BKF,178,0.0,658
BKG,177,0.0,654
BKL,94,0.0,351
BL,162,0.0,371
BLL,142,0.0,610
BMN,46,23.161290322580644,281
BMR,30,0.0,35
BN,103,0.0,348
BNC,56,0.0,44
BNK,74,0.0,75
BNN,59,0.0,60
BNZ,54,0.0,44
BP,219,0.0,388
BR,65,0.0,64
BRD,116,0.0,230
BRN,84,0.0,301
BSD,65,0.0,81
BSK,123,0.0,442
BSKS,124,0.0,465
BSMZ,96,0.0,302
BTL,50,0.0,97
BV,149,0.0,594
BZL,150,0.0,469
CAS,147,0.0,597
CK,20,0.0,32
CL,66,0.0,81
CO,148,0.0,434
CPS,127,0.0,436
CVM,140,0.0,219
DA,119,0.0,417
DB,70,0.0,43
DDN,93,0.0,296
DDR,107,27.483870967741936,113
DDRS,104,0.0,113
DDZD,108,27.483870967741936,230
DEI,199,0.0,388
DID,43,0.0,278
DL,112,0.0,371
DLD,84,0.0,301
DLN,152,0.0,448
DMN,113,0.0,319
DMNZ,113,0.0,302
DN,92,0.0,144
DR,40,23.193548387096776,278
DRH,147,0.0,611
DRON,132,0.0,371
DRP,206,0.0,402
DT,141,0.0,230
DTC,54,0.0,298
DTCH,52,0.0,298
DTCP,140,0.0,300
DV,69,0.032258064516129,281
DVC,73,0.0,347
DVD,113,0.0,351
DVN,33,0.0,280
DVNK,135,0.0,459
DWE,212,0.0,388
DZ,244,0.0,469
DZW,243,0.0,469
EC,103,0.0,199
ED,41,0.0,21
EDC,43,0.0,43
EDN,145,0.0,203
EEM,251,0.0,468
EGH,139,0.0,218
EGHM,140,0.0,218
EHS,69,0.0,173
EHV,70,0.0,97
EKZ,181,0.0,666
EML,98,0.0,301
EMN,168,0.0,449
EMNZ,164,0.0,448
ES,106,0.0,348
ESK,102,0.0,348
EST,13,31.06451612903226,21
ETN,92,0.0,433
FN,212,0.0,388
FWD,209,0.0,388
GBG,141,0.0,434
GD,114,0.0,351
GDG,111,0.0,351
GDM,58,0.0,38
GDR,59,0.0,315
GERP,204,0.0,424
GK,225,0.0,439
GLN,119,0.0,201
GN,206,0.0,424
GND,93,0.0,102
GNN,210,0.0,439
GO,83,0.0,288
GP,76,0.0,159
GR,84,0.0,100
GS,155,0.0,438
GV,143,0.0,436
GVC,142,0.0,354
GVM,143,0.0,544
GVMW,144,0.0,451
GW,182,0.0,428
GZ,71,28.258064516129032,112
HAD,143,0.0,594
HB,130,0.0,232
HBZM,96,0.0,112
HD,102,0.0,304
HDB,135,0.0,421
HDE,118,0.0,371
HDG,205,0.0,388
HDR,201,0.0,695
HDRZ,200,0.0,695
HFD,133,0.0,439
HGL,98,0.0,329
HGLG,96,0.0,329
HGLO,100,0.0,348
HGV,148,0.0,371
HGZ,217,0.0,447
HIL,150,0.0,459
HK,146,0.0,633
HKS,173,0.0,650
HLG,221,0.0,389
HLGH,222,0.0,393
HLM,139,0.0,573
HLMS,138,0.0,594
HLO,154,0.0,600
HM,83,0.0,140
HMBH,84,0.0,144
HMBV,80,0.0,159
HMH,82,0.0,159
HMN,27,0.0,35
HN,163,0.0,594
HNK,164,0.0,650
HNO,112,0.0,371
HNP,237,0.0,391
HON,88,0.0,281
HOR,94,0.0,351
HR,166,0.0,428
HRL,134,0.0,201
HRLW,136,0.0,218
HRN,200,0.0,424
HRT,75,0.0,116
HT,38,29.806451612903224,24
HTN,76,0.0,134
HTNC,75,0.0,134
HTO,37,29.806451612903224,24
HVL,69,0.0,61
HVS,91,0.0,301
HVSM,92,0.0,302
HVSP,92,0.0,302
HWD,166,0.0,676
HWZB,131,0.0,594
HZE,81,0.0,165
IJT,220,0.0,389
KBD,137,0.0,438
KBK,62,0.0,281
KLP,48,0.0,43
KMA,138,0.0,607
KMR,142,0.0,218
KMW,242,0.0,396
KPN,115,0.0,371
KPNZ,115,0.0,371
KRD,142,0.0,229
KRG,144,0.0,438
KTR,34,0.0,35
KW,214,0.0,445
KZ,132,0.0,597
LAA,143,0.0,383
LC,70,0.0,281
LDL,131,0.0,442
LDM,72,0.0,82
LEDN,132,0.0,449
LG,137,0.0,218
LLS,146,0.0,445
LLZM,127,0.0,436
LP,232,0.0,451
LTN,49,0.0,44
LTV,88,0.0,283
LUT,119,0.0,201
LW,195,0.0,371
LWC,198,0.0,388
MAS,89,0.0,351
MDB,174,0.0,465
MES,142,0.0,203
MG,205,0.0,388
MMLH,15,0.0,21
MP,128,0.0,371
MRB,127,0.0,418
MRN,78,0.0,75
MT,136,0.0,201
MTH,215,0.0,447
MTN,139,0.0,203
MTR,137,0.0,203
MZ,91,0.0,170
NDB,97,0.0,302
NH,127,0.0,232
NKK,86,0.0,301
NM,5,54.87096774193548,0
NMD,0,0.0,0
NMGO,2,54.87096774193548,0
NMH,8,0.0,21
NML,6,31.06451612903226,21
NS,114,0.0,301
NSCH,250,0.0,454
NVD,111,0.0,288
NVP,138,0.0,567
NWK,123,0.0,436
O,19,29.806451612903224,3
OBD,172,0.0,594
ODB,112,0.0,438
ODZ,109,0.0,348
OMN,123,0.0,378
OP,30,0.0,35
OST,79,0.032258064516129,347
OT,59,0.0,140
OTB,28,0.0,278
OVN,141,0.0,610
OW,20,29.806451612903224,24
PMO,145,0.0,573
PMR,144,0.0,594
PMW,143,0.0,597
PT,93,0.0,301
RAI,116,0.0,354
RAT,118,0.0,371
RB,134,0.0,469
RD,244,0.0,455
RH,34,23.161290322580644,279
RHN,101,0.0,78
RL,75,0.0,283
RLB,120,0.0,329
RM,90,0.0,150
RS,31,29.806451612903224,24
RSD,105,0.0,433
RSN,95,0.0,281
RSW,146,0.0,451
RTA,128,0.0,436
RTB,126,0.0,230
RTD,127,0.0,230
RTN,132,0.0,300
RTST,122,0.0,230
RTZ,123,0.0,230
RV,79,0.0,136
RVS,11,29.806451612903224,0
SBK,122,0.0,231
SD,88,0.0,315
SDA,233,0.0,445
SDM,131,0.0,300
SDT,97,0.0,112
SDTB,100,0.0,113
SGL,146,0.0,217
SGN,180,0.0,686
SHL,128,0.0,365
SK,217,0.0,388
SKND,216,0.0,388
SM,85,0.0,150
SN,124,0.0,232
SOG,144,0.0,218
SPTN,146,0.0,610
SPTZ,144,0.0,610
SRN,108,0.0,228
SSH,140,0.0,459
ST,89,0.0,315
STD,115,0.0,199
STM,228,0.0,451
STV,246,0.0,396
STZ,90,0.0,305
SWD,217,0.0,439
SWK,142,0.0,421
TB,60,28.258064516129032,97
TBG,60,0.0,315
TBR,65,28.258064516129032,110
TBU,61,28.258064516129032,110
TG,72,0.0,117
TL,46,0.0,38
TPSW,48,0.0,38
TWL,74,0.0,347
UHM,241,0.0,455
UHZ,238,0.0,455
UST,233,0.0,454
UT,82,0.0,278
UTG,143,0.0,632
UTLN,80,0.0,162
