Station Code,Distance from OT,Services from/to OT,Disruptions on path to OT
AC,93,0.0,149
AH,83,0.0,140
AHP,84,0.0,397
AHPR,86,0.0,397
AHZ,75,0.0,172
AKL,64,0.0,160
AKM,233,0.0,493
ALM,118,0.0,202
ALMB,124,0.0,333
ALMM,117,0.0,201
ALMO,126,0.0,333
ALMP,120,0.0,333
AMF,90,0.0,189
AMFS,93,0.0,429
AML,167,0.0,466
AMPO,115,0.0,201
AMR,147,0.0,474
AMRI,169,0.0,536
AMRN,148,0.0,549
ANA,177,0.0,560
APD,130,0.0,400
APDM,129,0.0,401
APDO,133,0.0,435
APG,296,0.0,523
APN,104,0.0,199
ARN,118,0.0,341
ASA,102,0.0,189
ASB,98,0.0,189
ASD,108,0.0,189
ASDL,115,0.0,447
ASDM,104,0.0,226
ASDZ,104,0.0,203
ASHD,97,0.0,276
ASN,234,0.0,443
ASS,112,0.0,447
ASSP,105,0.0,240
ATN,135,0.0,434
AVAT,96,0.0,435
BD,29,0.032258064516129,13
BDE,121,0.0,94
BDG,96,0.0,190
BDM,277,0.0,512
BDPB,34,0.0,336
BET,19,29.483870967741936,43
BF,281,0.0,512
BGN,66,0.0,341
BHDV,75,0.0,180
BHV,78,0.0,189
BK,114,0.0,95
BKF,166,0.0,532
BKG,165,0.0,528
BKL,81,0.0,116
BL,218,0.0,443
BLL,130,0.0,484
BMN,105,0.0,400
BMR,89,0.0,172
BN,162,0.0,467
BNC,109,0.0,430
BNK,75,0.0,240
BNN,106,0.0,429
BNZ,111,0.0,446
BP,275,0.0,446
BR,79,0.0,75
BRD,68,0.0,453
BRN,93,0.0,213
BSD,50,0.0,159
BSK,110,0.0,280
BSKS,111,0.0,303
BSMZ,92,0.0,190
BTL,9,29.483870967741936,0
BV,137,0.0,468
BZL,98,0.0,372
CAS,135,0.0,471
CK,79,0.0,169
CL,51,0.0,159
CO,207,0.0,553
CPS,90,0.0,408
CVM,131,0.0,112
DA,178,0.0,536
DB,79,0.0,284
DDN,152,0.0,415
DDR,59,0.0,336
DDRS,62,0.0,453
DDZD,58,0.0,359
DEI,255,0.0,446
DID,102,0.0,397
DL,168,0.0,443
DLD,81,0.0,209
DLN,211,0.0,567
DMN,107,0.0,240
DMNZ,102,0.0,192
DN,51,0.0,47
DR,99,0.0,397
DRH,135,0.0,485
DRON,167,0.0,347
DRP,262,0.0,460
DT,93,0.032258064516129,453
DTC,113,0.0,417
DTCH,111,0.0,417
DTCP,92,0.0,406
DV,128,0.0,400
DVC,132,0.0,466
DVD,100,0.0,189
DVN,92,0.0,399
DVNK,114,0.0,572
DWE,268,0.0,446
DZ,300,0.0,541
DZW,299,0.0,541
EC,94,0.0,92
ED,100,0.0,397
EDC,102,0.0,419
EDN,136,0.0,96
EEM,307,0.0,540
EGH,130,0.0,111
EGHM,131,0.0,111
EHS,28,29.483870967741936,119
EHV,29,29.483870967741936,43
EKZ,169,0.0,540
EML,113,0.0,429
EMN,227,0.0,568
EMNZ,223,0.0,567
ES,165,0.0,467
ESK,161,0.0,467
EST,72,0.0,158
ETN,40,0.0,336
FN,268,0.0,446
FWD,265,0.0,446
GBG,200,0.0,553
GD,101,0.0,189
GDG,98,0.0,189
GDM,43,0.0,116
GDR,118,0.0,434
GERP,260,0.0,496
GK,281,0.0,511
GLN,110,0.0,94
GN,262,0.0,496
GND,73,0.0,454
GNN,266,0.0,511
GO,142,0.0,407
GP,35,28.516129032258064,105
GR,69,0.0,178
GS,103,0.0,341
GV,101,0.032258064516129,554
GVC,102,0.032258064516129,569
GVM,106,0.0,569
GVMW,100,0.0,554
GW,238,0.0,500
GZ,19,0.0,15
HAD,131,0.0,468
HB,121,0.0,125
HBZM,70,0.0,454
HD,117,0.0,432
HDB,194,0.0,540
HDE,138,0.0,429
HDG,261,0.0,446
HDR,189,0.0,569
HDRZ,188,0.0,569
HFD,120,0.0,277
HGL,157,0.0,448
HGLG,155,0.0,448
HGLO,159,0.0,467
HGV,204,0.0,443
HGZ,273,0.0,519
HIL,135,0.0,579
HK,134,0.0,507
HKS,161,0.0,524
HLG,277,0.0,447
HLGH,278,0.0,451
HLM,127,0.0,447
HLMS,126,0.0,468
HLO,142,0.0,474
HM,42,0.0,43
HMBH,43,0.0,47
HMBV,39,0.0,105
HMH,41,0.0,105
HMN,74,0.0,162
HN,151,0.0,468
HNK,152,0.0,524
HNO,168,0.0,443
HNP,293,0.0,449
HON,147,0.0,400
HOR,81,0.0,189
HR,222,0.0,500
HRL,125,0.0,94
HRLW,127,0.0,111
HRN,256,0.0,496
HRT,69,0.0,75
HT,21,0.0,43
HTN,61,0.0,212
HTNC,60,0.0,212
HTO,22,0.0,116
HVL,96,0.0,429
HVS,87,0.0,189
HVSM,88,0.0,190
HVSP,86,0.0,189
HWD,154,0.0,550
HWZB,119,0.0,468
HZE,40,28.516129032258064,111
IJT,276,0.0,447
KBD,85,0.0,341
KBK,121,0.0,400
KLP,101,0.0,316
KMA,126,0.0,481
KMR,133,0.0,111
KMW,298,0.0,454
KPN,171,0.0,443
KPNZ,171,0.0,443
KRD,133,0.0,122
KRG,92,0.0,341
KTR,67,0.0,159
KW,270,0.0,517
KZ,120,0.0,471
LAA,103,0.0,569
LC,129,0.0,400
LDL,118,0.0,579
LDM,57,0.0,160
LEDN,117,0.0,569
LG,128,0.0,111
LLS,142,0.0,333
LLZM,114,0.0,274
LP,288,0.0,523
LTN,108,0.0,420
LTV,147,0.0,402
LUT,110,0.0,94
LW,251,0.0,429
LWC,254,0.0,446
MAS,76,0.0,189
MDB,122,0.0,368
MES,133,0.0,96
MG,261,0.0,446
MMLH,74,0.0,158
MP,184,0.0,443
MRB,186,0.0,537
MRN,87,0.0,316
MT,127,0.0,94
MTH,271,0.0,519
MTN,130,0.0,96
MTR,128,0.0,96
MZ,50,28.516129032258064,116
NDB,93,0.0,190
NH,118,0.0,125
NKK,101,0.0,429
NM,64,0.0,137
NMD,59,0.0,140
NMGO,61,0.0,141
NMH,67,0.0,158
NML,65,0.0,158
NS,129,0.0,429
NSCH,306,0.0,526
NVD,170,0.0,407
NVP,125,0.0,405
NWK,94,0.0,464
O,40,0.0,116
OBD,160,0.0,468
ODB,60,0.0,341
ODZ,168,0.0,467
OMN,179,0.0,450
OP,71,0.0,162
OST,138,0.0,466
OT,0,0.0,0
OTB,87,0.0,397
OVN,129,0.0,484
OW,39,0.0,116
PMO,133,0.0,447
PMR,132,0.0,468
PMW,131,0.0,471
PT,108,0.0,429
RAI,103,0.0,192
RAT,174,0.0,443
RB,82,0.0,372
RD,300,0.0,527
RH,93,0.0,398
RHN,110,0.0,319
RL,134,0.0,402
RLB,72,0.0,552
RM,81,0.0,43
RS,28,0.0,116
RSD,53,0.0,336
RSN,154,0.0,400
RSW,98,0.0,554
RTA,89,0.0,406
RTB,78,0.0,453
RTD,79,0.032258064516129,336
RTN,84,0.0,406
RTST,74,0.0,453
RTZ,75,0.0,336
RV,92,0.0,92
RVS,48,0.0,137
SBK,113,0.0,124
SD,89,0.0,213
