Station Code,Distance from KRG,Services from/to KRG,Disruptions on path to KRG
OST,223,0.0,764
OT,92,0.0,341
OTB,172,0.0,695
OVN,166,0.0,201
OW,124,0.0,414
PMO,200,0.0,146
PMR,199,0.0,146
PMW,198,0.0,149
PT,191,0.0,510
RAI,176,0.0,199
RAT,257,0.0,524
RB,10,40.54838709677419,0
RD,383,0.0,608
RH,178,0.0,696
RHN,193,0.0,357
RL,219,0.0,700
RLB,90,0.0,221
RM,173,0.0,390
RS,113,0.0,414
RSD,39,40.58064516129032,0
RSN,239,0.0,698
RSW,116,0.0,176
RTA,107,0.0,75
RTB,96,21.70967741935484,122
RTD,97,21.70967741935484,5
RTN,102,0.0,75
RTST,92,0.0,122
RTZ,93,0.0,122
RV,184,0.0,439
RVS,133,0.0,435
SBK,205,0.0,471
SD,172,0.0,294
SDA,372,0.0,598
SDM,101,21.677419354838708,75
SDT,87,0.0,122
SDTB,84,0.0,122
SGL,229,0.0,457
SGN,220,0.0,327
SHL,164,0.0,75
SK,356,0.0,527
SKND,355,0.0,527
SM,178,0.0,439
SN,207,0.0,472
SOG,227,0.0,458
SPTN,171,0.0,201
SPTZ,169,0.0,201
SRN,191,0.0,468
SSH,143,0.0,201
ST,171,0.0,294
STD,198,0.0,439
STM,367,0.0,604
STV,385,0.0,535
STZ,170,0.0,294
SWD,356,0.0,592
SWK,281,0.0,574
TB,84,0.0,328
TBG,204,0.0,732
TBR,79,0.0,347
TBU,83,0.0,349
TG,178,0.0,391
TL,138,0.0,197
TPSW,136,0.0,197
TWL,218,0.0,764
UHM,380,0.0,608
UHZ,377,0.0,608
UST,372,0.0,607
UT,152,0.0,197
UTG,183,0.0,221
UTLN,148,0.0,278
UTLR,150,0.0,175
UTO,155,0.0,270
UTT,148,0.0,170
UTVR,151,0.0,278
UTZL,154,0.0,270
VB,123,0.0,220
VD,209,0.0,698
VDL,221,0.0,458
VDM,372,0.0,605
VEM,201,0.0,698
VG,109,0.0,384
VH,143,0.0,201
VHP,265,0.0,835
VK,230,0.0,458
VL,173,0.0,390
VLB,181,0.0,498
VNDC,185,0.0,356
VNDW,184,0.0,356
VP,174,0.0,696
VRY,188,0.0,499
VS,36,43.354838709677416,0
VSS,35,41.064516129032256,0
VST,130,0.0,194
VSV,211,0.0,732
VTN,146,0.0,161
VZ,258,0.0,834
WAD,129,0.0,160
WADN,130,0.0,160
WADT,128,0.0,160
WC,140,0.0,438
WD,137,0.0,160
WDN,247,0.0,705
WF,176,0.0,695
WFM,369,0.0,607
WH,230,0.0,774
WK,372,0.0,530
WL,193,0.0,715
WM,190,0.0,247
WP,184,0.0,321
WR,399,0.0,616
WS,377,0.0,607
WSM,361,0.0,593
WT,149,0.0,390
WTV,173,0.0,697
WV,294,0.0,524
WW,232,0.0,751
WWW,233,0.0,751
WZ,230,0.0,523
YPB,127,0.0,223
ZA,160,0.0,200
ZB,364,0.0,601
ZBM,119,0.0,414
ZD,185,0.0,146
ZDK,188,0.0,149
ZH,357,0.0,592
ZL,239,0.0,510
ZLSH,244,0.0,524
ZLW,62,0.064516129032258,0
ZP,197,0.0,698
ZTM,132,0.0,220
ZTMO,133,0.0,220
ZV,182,0.0,695
ZVB,54,0.064516129032258,30
ZVT,172,0.0,201
ZWD,79,0.0,122
ZZS,188,0.0,149
