Station Code,Distance from LW,Services from/to LW,Disruptions on path to LW
TG,257,0.0,467
TL,215,0.0,367
TPSW,217,0.0,367
TWL,131,0.0,90
UHM,89,0.0,31
UHZ,86,0.0,31
UST,81,0.0,30
UT,182,17.29032258064516,240
UTG,229,0.0,331
UTLN,186,0.0,313
UTLR,185,0.0,313
UTO,179,0.0,240
UTT,187,0.0,313
UTVR,183,0.0,313
UTZL,184,0.0,313
VB,239,0.0,398
VD,154,0.0,90
VDL,323,0.0,568
VDM,85,0.0,43
VEM,146,0.0,90
VG,234,0.0,386
VH,240,0.0,348
VHP,135,0.0,24
VK,332,0.0,568
VL,252,0.0,466
VLB,222,0.0,413
VNDC,217,0.0,347
VNDW,216,0.0,347
VP,165,0.0,96
VRY,229,0.0,414
VS,370,0.0,537
VSS,369,0.0,510
VST,237,0.0,433
VSV,208,0.0,123
VTN,189,0.0,318
VZ,142,0.0,25
WAD,222,0.0,398
WADN,223,0.0,398
WADT,221,0.0,398
WC,199,0.0,350
WD,198,0.0,240
WDN,135,0.0,35
WF,179,0.0,350
WFM,78,0.0,30
WH,109,0.0,14
WK,38,21.096774193548388,3
WL,194,0.0,122
WM,222,0.0,296
WP,192,0.0,26
WR,112,0.0,54
WS,90,0.0,45
WSM,70,0.0,16
WT,290,0.0,451
WTV,174,0.0,99
WV,40,28.967741935483872,0
WW,187,0.0,104
WWW,186,0.0,104
WZ,104,0.0,14
YPB,235,0.0,316
ZA,193,0.0,364
ZB,77,0.0,39
ZBM,217,0.0,356
ZD,216,0.0,293
ZDK,219,0.0,296
ZH,42,41.38709677419355,0
ZL,95,57.67741935483871,0
ZLSH,100,0.0,14
ZLW,272,0.0,505
ZP,142,0.0,90
ZTM,230,0.0,313
ZTMO,229,0.0,398
ZV,183,0.0,102
ZVB,280,0.0,510
ZVT,233,0.0,309
ZWD,256,0.0,573
ZZS,219,0.0,296
