Station Code,Distance from LP,Services from/to LP,Disruptions on path to LP
AC,243,0.0,392
AH,208,0.0,125
AHP,207,0.0,129
AHPR,205,0.0,128
AHZ,216,0.0,382
AKL,266,0.0,403
AKM,98,0.0,46
ALM,213,0.0,46
ALMB,207,0.0,46
ALMM,214,0.0,177
ALMO,205,0.0,46
ALMP,211,0.0,51
AMF,198,0.0,46
AMFS,195,0.0,46
AML,177,0.0,67
AMPO,216,0.0,178
AMR,282,0.0,331
AMRI,179,0.0,137
AMRN,283,0.0,406
ANA,312,0.0,417
APD,178,0.0,46
APDM,179,0.0,81
APDO,175,0.0,122
APG,8,31.096774193548388,0
APN,254,0.0,296
ARN,397,0.0,556
ASA,240,0.0,180
ASB,240,0.0,180
ASD,243,0.0,46
ASDL,250,0.0,304
ASDM,239,0.0,286
ASDZ,242,0.0,177
ASHD,241,0.0,194
ASN,54,0.0,27
ASS,247,0.0,304
ASSP,238,0.0,185
ATN,236,0.0,136
AVAT,192,0.0,52
BD,310,0.0,445
BDE,352,0.0,583
BDG,246,0.0,287
BDM,11,31.096774193548388,0
BDPB,315,0.0,768
BET,289,0.0,359
BF,23,0.0,12
BGN,345,0.0,555
BHDV,277,0.0,423
BHV,210,0.0,290
BK,345,0.0,584
BKF,301,0.0,389
BKG,300,0.0,385
BKL,231,0.0,359
BL,70,0.0,80
BLL,265,0.0,341
BMN,186,0.0,122
BMR,252,0.0,417
BN,186,0.0,137
BNC,217,0.0,287
BNK,227,0.0,359
BNN,214,0.0,286
BNZ,219,0.0,303
BP,56,0.0,27
BR,287,0.0,446
BRD,286,0.0,520
BRN,207,0.0,286
BSD,252,0.0,402
BSK,260,0.0,377
BSKS,261,0.0,400
BSMZ,219,0.0,47
BTL,279,0.0,432
BV,272,0.0,325
BZL,377,0.0,586
CAS,270,0.0,328
CK,242,0.0,414
CL,237,0.0,387
CO,187,0.0,66
CPS,264,0.0,444
CVM,362,0.0,601
DA,174,0.0,56
DB,231,0.0,359
DDN,196,0.0,156
DDR,294,0.0,434
DDRS,291,0.0,434
DDZD,295,0.0,551
DEI,84,0.0,44
DID,225,0.0,134
DL,144,0.0,46
DLD,207,0.0,286
DLN,191,0.0,80
DMN,236,0.0,184
DMNZ,236,0.0,47
DN,315,0.0,498
DR,192,0.0,122
DRH,270,0.0,342
DRON,164,0.0,46
DRP,91,0.0,58
DT,288,0.0,27
DTC,236,0.0,154
DTCH,234,0.0,154
DTCP,288,0.0,514
DV,163,0.0,56
DVC,167,0.0,122
DVD,238,0.0,177
DVN,215,0.0,131
DVNK,272,0.0,394
DWE,63,0.0,50
DZ,12,31.096774193548388,18
DZW,11,31.096774193548388,18
EC,325,0.0,581
ED,225,0.0,382
EDC,227,0.0,404
EDN,367,0.0,585
EEM,49,0.0,40
EGH,361,0.0,600
EGHM,362,0.0,600
EHS,298,0.0,435
EHV,299,0.0,435
EKZ,304,0.0,397
EML,175,0.0,49
EMN,207,0.0,81
EMNZ,203,0.0,80
ES,199,0.0,156
ESK,195,0.0,156
EST,219,0.0,382
ETN,321,0.0,768
FN,97,0.0,44
FWD,66,0.0,27
GBG,180,0.0,66
GD,251,0.0,359
GDG,248,0.0,359
GDM,245,0.0,359
GDR,241,0.0,171
GERP,28,0.0,27
GK,45,0.0,27
GLN,341,0.0,583
GN,26,31.096774193548388,12
GND,280,0.0,423
GNN,22,31.096774193548388,12
GO,206,0.0,189
GP,305,0.0,497
GR,271,0.0,421
GS,382,0.0,556
GV,280,0.0,12
GVC,279,0.0,12
GVM,280,0.0,479
GVMW,281,0.0,12
GW,93,0.0,44
GZ,300,0.0,447
HAD,266,0.0,325
HB,352,0.0,614
HBZM,283,0.0,433
HD,171,0.0,46
HDB,174,0.0,53
HDE,150,0.0,46
HDG,70,0.0,27
HDR,324,0.0,426
HDRZ,323,0.0,426
HFD,258,0.0,251
HGL,191,0.0,137
HGLG,193,0.0,156
HGLO,193,0.0,156
HGV,84,0.0,27
HGZ,41,0.0,50
HIL,273,0.0,325
HK,269,0.0,364
HKS,296,0.0,381
HLG,106,0.0,45
HLGH,107,0.0,49
HLM,262,0.0,304
HLMS,261,0.0,325
HLO,277,0.0,331
HM,312,0.0,497
HMBH,313,0.0,501
HMBV,309,0.0,497
HMH,311,0.0,497
HMN,233,0.0,396
HN,286,0.0,325
HNK,287,0.0,381
HNO,144,0.0,46
HNP,122,0.0,47
HON,182,0.0,122
HOR,220,0.0,47
HR,109,0.0,44
HRL,356,0.0,583
HRLW,358,0.0,600
HRN,32,0.0,27
HRT,297,0.0,498
HT,267,0.0,359
HTN,227,0.0,359
HTNC,228,0.0,387
HTO,268,0.0,432
HVL,204,0.0,286
HVS,214,0.0,46
HVSM,215,0.0,47
HVSP,215,0.0,47
HWD,289,0.0,407
HWZB,254,0.0,325
HZE,310,0.0,503
IJT,105,0.0,45
KBD,364,0.0,556
KBK,187,0.0,82
KLP,232,0.0,404
KMA,261,0.0,338
KMR,364,0.0,600
KMW,127,0.0,52
KPN,147,0.0,46
KPNZ,147,0.0,46
KRD,364,0.0,611
KRG,371,0.0,556
KTR,240,0.0,396
KW,38,0.0,48
KZ,255,0.0,328
LAA,280,0.0,41
LC,196,0.0,122
LDL,268,0.0,377
LDM,259,0.0,403
LEDN,269,0.0,384
LG,359,0.0,600
LLS,189,0.0,32
LLZM,264,0.0,444
LP,0,0.0,0
LTN,224,0.0,303
LTV,214,0.0,124
LUT,341,0.0,583
LW,80,0.0,27
LWC,77,0.0,37
MAS,226,0.0,359
MDB,401,0.0,583
MES,364,0.0,585
MG,90,0.0,44
MMLH,237,0.0,403
MP,104,0.0,27
MRB,166,0.0,53
MRN,239,0.0,391
MT,358,0.0,583
MTH,39,0.0,50
MTN,361,0.0,585
MTR,359,0.0,585
MZ,320,0.0,508
NDB,220,0.0,47
NH,349,0.0,614
NKK,187,0.0,49
NM,227,0.0,382
NMD,232,0.0,403
NMGO,230,0.0,403
NMH,230,0.0,403
NML,226,0.0,396
NS,159,0.0,46
NSCH,74,0.0,57
NVD,164,0.0,55
NVP,263,0.0,379
NWK,260,0.0,444
O,251,0.0,403
OBD,295,0.0,325
ODB,325,0.0,556
ODZ,202,0.0,156
OMN,155,0.0,53
OP,236,0.0,396
OST,153,0.0,46
OT,288,0.0,475
OTB,212,0.0,382
OVN,264,0.0,341
OW,252,0.0,424
PMO,268,0.0,304
PMR,267,0.0,325
PMW,266,0.0,328
PT,180,0.0,46
RAI,241,0.0,180
RAT,150,0.0,46
RB,361,0.0,556
RD,42,0.0,27
RH,198,0.0,125
RHN,262,0.0,394
RL,201,0.0,124
RLB,282,0.0,514
RM,312,0.0,532
RS,263,0.0,424
RSD,332,0.0,551
RSN,180,0.0,67
RSW,283,0.0,27
RTA,265,0.0,444
RTB,276,0.0,514
RTD,275,0.0,444
RTN,270,0.0,446
RTST,280,0.0,514
RTZ,279,0.0,514
RV,301,0.0,518
RVS,243,0.0,382
SBK,344,0.0,613
SD,211,0.0,300
SDA,57,0.0,48
SDM,279,0.0,514
SDT,284,0.0,433
SDTB,287,0.0,434
SGL,368,0.0,599
SGN,303,0.0,417
SHL,253,0.0,251
SK,102,0.0,44
SKND,101,0.0,44
SM,307,0.0,532
SN,346,0.0,614
SOG,366,0.0,600
SPTN,269,0.0,341
SPTZ,267,0.0,341
SRN,330,0.0,610
SSH,274,0.0,379
ST,212,0.0,300
STD,337,0.0,581
STM,4,31.096774193548388,0
STV,131,0.0,52
STZ,213,0.0,290
SWD,15,31.096774193548388,11
SWK,118,0.0,77
TB,289,0.0,432
TBG,242,0.0,171
TBR,294,0.0,445
TBU,290,0.0,445
TG,294,0.0,499
TL,252,0.0,399
TPSW,254,0.0,399
TWL,168,0.0,122
UHM,39,0.0,27
UHZ,36,0.0,27
UST,31,0.0,26
UT,219,0.0,286
UTG,266,0.0,363
UTLN,223,0.0,359
UTLR,222,0.0,359
UTO,216,0.0,286
UTT,224,0.0,359
UTVR,220,0.0,359
UTZL,221,0.0,359
VB,276,0.0,444
VD,191,0.0,122
VDL,360,0.0,600
VDM,57,0.0,55
VEM,183,0.0,122
VG,271,0.0,432
VH,277,0.0,394
VHP,172,0.0,56
VK,369,0.0,600
VL,289,0.0,498
VLB,259,0.0,445
VNDC,254,0.0,393
VNDW,253,0.0,393
VP,202,0.0,128
VRY,266,0.0,446
VS,407,0.0,583
VSS,406,0.0,556
VST,274,0.0,479
VSV,245,0.0,155
VTN,226,0.0,364
VZ,179,0.0,57
WAD,259,0.0,444
WADN,260,0.0,444
WADT,258,0.0,444
WC,236,0.0,382
WD,235,0.0,286
WDN,172,0.0,67
WF,216,0.0,382
WFM,28,0.0,26
WH,146,0.0,46
WK,118,0.0,47
WL,231,0.0,154
WM,259,0.0,328
WP,229,0.0,178
WR,84,0.0,66
WS,62,0.0,57
WSM,20,0.0,12
WT,327,0.0,497
WTV,211,0.0,131
WV,120,0.0,44
WW,224,0.0,136
WWW,223,0.0,136
WZ,141,0.0,46
YPB,272,0.0,362
ZA,230,0.0,396
ZB,49,0.0,51
ZBM,254,0.0,402
ZD,253,0.0,325
ZDK,256,0.0,328
ZH,38,0.0,27
ZL,132,0.0,32
ZLSH,137,0.0,46
ZLW,309,0.0,551
ZP,179,0.0,122
ZTM,267,0.0,359
ZTMO,266,0.0,444
ZV,220,0.0,134
ZVB,317,0.0,556
ZVT,270,0.0,341
ZWD,293,0.0,619
ZZS,256,0.0,328
