Station Code,Distance from EEM,Services from/to EEM,Disruptions on path to EEM
AC,262,0.0,409
AH,227,0.0,142
AHP,226,0.0,146
AHPR,224,0.0,145
AHZ,235,0.0,399
AKL,285,0.0,420
AKM,117,0.0,63
ALM,232,0.0,63
ALMB,226,0.0,63
ALMM,233,0.0,194
ALMO,224,0.0,63
ALMP,230,0.0,68
AMF,217,0.0,63
AMFS,214,0.0,63
AML,196,0.0,84
AMPO,235,0.0,195
AMR,301,0.0,348
AMRI,198,0.0,154
AMRN,302,0.0,423
ANA,331,0.0,434
APD,197,0.0,63
APDM,198,0.0,98
APDO,194,0.0,139
APG,57,0.0,40
APN,273,0.0,313
ARN,416,0.0,573
ASA,259,0.0,197
ASB,259,0.0,197
ASD,262,0.0,63
ASDL,269,0.0,321
ASDM,258,0.0,303
ASDZ,261,0.0,194
ASHD,260,0.0,211
ASN,73,0.0,44
ASS,266,0.0,321
ASSP,257,0.0,202
ATN,255,0.0,153
AVAT,211,0.0,69
BD,329,0.0,462
BDE,371,0.0,600
BDG,265,0.0,304
BDM,38,0.0,29
BDPB,334,0.0,785
BET,308,0.0,376
BF,26,4.741935483870968,14
BGN,364,0.0,572
BHDV,296,0.0,440
BHV,229,0.0,307
BK,364,0.0,601
BKF,320,0.0,406
BKG,319,0.0,402
BKL,250,0.0,376
BL,89,0.0,97
BLL,284,0.0,358
BMN,205,0.0,139
BMR,271,0.0,434
BN,205,0.0,154
BNC,236,0.0,304
BNK,246,0.0,376
BNN,233,0.0,303
BNZ,238,0.0,320
BP,75,0.0,44
BR,306,0.0,463
BRD,305,0.0,537
BRN,226,0.0,303
BSD,271,0.0,419
BSK,279,0.0,394
BSKS,280,0.0,417
BSMZ,238,0.0,64
BTL,298,0.0,449
BV,291,0.0,342
BZL,396,0.0,603
CAS,289,0.0,345
CK,261,0.0,431
CL,256,0.0,404
CO,206,0.0,83
CPS,283,0.0,461
CVM,381,0.0,618
DA,193,0.0,73
DB,250,0.0,376
DDN,215,0.0,173
DDR,313,0.0,451
DDRS,310,0.0,451
DDZD,314,0.0,568
DEI,103,0.0,61
DID,244,0.0,151
DL,163,0.0,63
DLD,226,0.0,303
DLN,210,0.0,97
DMN,255,0.0,201
DMNZ,255,0.0,64
DN,334,0.0,515
DR,211,0.0,139
DRH,289,0.0,359
DRON,183,0.0,63
DRP,110,0.0,75
DT,307,0.0,13
DTC,255,0.0,171
DTCH,253,0.0,171
DTCP,307,0.0,531
DV,182,0.0,73
DVC,186,0.0,139
DVD,257,0.0,194
DVN,234,0.0,148
DVNK,291,0.0,411
DWE,82,0.0,67
DZ,61,0.0,58
DZW,60,0.0,58
EC,344,0.0,598
ED,244,0.0,399
EDC,246,0.0,421
EDN,386,0.0,602
EEM,0,0.0,0
EGH,380,0.0,617
EGHM,381,0.0,617
EHS,317,0.0,452
EHV,318,0.0,452
EKZ,323,0.0,414
EML,194,0.0,66
EMN,226,0.0,98
EMNZ,222,0.0,97
ES,218,0.0,173
ESK,214,0.0,173
EST,238,0.0,399
ETN,340,0.0,785
FN,116,0.0,61
FWD,85,0.0,44
GBG,199,0.0,83
GD,270,0.0,376
GDG,267,0.0,376
GDM,264,0.0,376
GDR,260,0.0,188
GERP,47,0.0,44
GK,64,0.0,44
GLN,360,0.0,600
GN,45,4.741935483870968,29
GND,299,0.0,440
GNN,41,4.709677419354839,29
GO,225,0.0,206
GP,324,0.0,514
GR,290,0.0,438
GS,401,0.0,573
GV,299,0.0,13
GVC,298,0.0,14
GVM,299,0.0,496
GVMW,300,0.0,13
GW,112,0.0,61
GZ,319,0.0,464
HAD,285,0.0,342
HB,371,0.0,631
HBZM,302,0.0,450
HD,190,0.0,63
HDB,193,0.0,70
HDE,169,0.0,63
HDG,89,0.0,44
HDR,343,0.0,443
HDRZ,342,0.0,443
HFD,277,0.0,268
HGL,210,0.0,154
HGLG,212,0.0,173
HGLO,212,0.0,173
HGV,103,0.0,44
HGZ,60,0.0,67
HIL,292,0.0,342
HK,288,0.0,381
HKS,315,0.0,398
HLG,125,0.0,62
HLGH,126,0.0,66
HLM,281,0.0,321
HLMS,280,0.0,342
HLO,296,0.0,348
HM,331,0.0,514
HMBH,332,0.0,518
HMBV,328,0.0,514
HMH,330,0.0,514
HMN,252,0.0,413
HN,305,0.0,342
HNK,306,0.0,398
HNO,163,0.0,63
HNP,141,0.0,64
HON,201,0.0,139
HOR,239,0.0,64
HR,128,0.0,61
HRL,375,0.0,600
HRLW,377,0.0,617
HRN,51,0.0,44
HRT,316,0.0,515
HT,286,0.0,376
HTN,246,0.0,376
HTNC,247,0.0,404
HTO,287,0.0,449
HVL,223,0.0,303
HVS,233,0.0,63
HVSM,234,0.0,64
HVSP,234,0.0,64
HWD,308,0.0,424
HWZB,273,0.0,342
HZE,329,0.0,520
IJT,124,0.0,62
KBD,383,0.0,573
KBK,206,0.0,99
KLP,251,0.0,421
KMA,280,0.0,355
KMR,383,0.0,617
KMW,146,0.0,69
KPN,166,0.0,63
KPNZ,166,0.0,63
KRD,383,0.0,628
KRG,390,0.0,573
KTR,259,0.0,413
KW,57,0.0,65
KZ,274,0.0,345
LAA,299,0.0,43
LC,215,0.0,139
LDL,287,0.0,394
LDM,278,0.0,420
LEDN,288,0.0,401
LG,378,0.0,617
LLS,208,0.0,49
LLZM,283,0.0,461
LP,49,0.0,40
LTN,243,0.0,320
LTV,233,0.0,141
LUT,360,0.0,600
LW,99,0.0,44
LWC,96,0.0,54
MAS,245,0.0,376
MDB,420,0.0,600
MES,383,0.0,602
MG,109,0.0,61
MMLH,256,0.0,420
MP,123,0.0,44
MRB,185,0.0,70
MRN,258,0.0,408
MT,377,0.0,600
MTH,58,0.0,67
MTN,380,0.0,602
MTR,378,0.0,602
MZ,339,0.0,525
NDB,239,0.0,64
NH,368,0.0,631
NKK,206,0.0,66
NM,246,0.0,399
NMD,251,0.0,420
NMGO,249,0.0,420
NMH,249,0.0,420
NML,245,0.0,413
NS,178,0.0,63
NSCH,93,0.0,74
NVD,183,0.0,72
NVP,282,0.0,396
NWK,279,0.0,461
O,270,0.0,420
OBD,314,0.0,342
ODB,344,0.0,573
ODZ,221,0.0,173
OMN,174,0.0,70
OP,255,0.0,413
OST,172,0.0,63
OT,307,0.0,492
OTB,231,0.0,399
OVN,283,0.0,358
OW,271,0.0,441
PMO,287,0.0,321
PMR,286,0.0,342
PMW,285,0.0,345
PT,199,0.0,63
RAI,260,0.0,197
RAT,169,0.0,63
RB,380,0.0,573
RD,7,4.806451612903226,0
RH,217,0.0,142
RHN,281,0.0,411
RL,220,0.0,141
RLB,301,0.0,531
RM,331,0.0,549
RS,282,0.0,441
RSD,351,0.0,568
RSN,199,0.0,84
RSW,302,0.0,13
RTA,284,0.0,461
RTB,295,0.0,531
RTD,294,0.0,461
RTN,289,0.0,463
RTST,299,0.0,531
RTZ,298,0.0,531
RV,320,0.0,535
RVS,262,0.0,399
SBK,363,0.0,630
SD,230,0.0,317
SDA,76,0.0,65
SDM,298,0.0,531
SDT,303,0.0,450
SDTB,306,0.0,451
SGL,387,0.0,616
SGN,322,0.0,434
SHL,272,0.0,268
SK,121,0.0,61
SKND,120,0.0,61
SM,326,0.0,549
SN,365,0.0,631
SOG,385,0.0,617
SPTN,288,0.0,358
SPTZ,286,0.0,358
SRN,349,0.0,627
SSH,293,0.0,396
ST,231,0.0,317
STD,356,0.0,598
STM,45,0.0,40
STV,150,0.0,69
STZ,232,0.0,307
SWD,34,4.741935483870968,28
SWK,137,0.0,94
TB,308,0.0,449
TBG,261,0.0,188
TBR,313,0.0,462
TBU,309,0.0,462
TG,313,0.0,516
TL,271,0.0,416
TPSW,273,0.0,416
TWL,187,0.0,139
UHM,10,4.741935483870968,13
UHZ,13,4.741935483870968,13
UST,18,4.741935483870968,13
UT,238,0.0,303
UTG,285,0.0,380
UTLN,242,0.0,376
UTLR,241,0.0,376
UTO,235,0.0,303
UTT,243,0.0,376
UTVR,239,0.0,376
UTZL,240,0.0,376
VB,295,0.0,461
VD,210,0.0,139
VDL,379,0.0,617
VDM,76,0.0,72
VEM,202,0.0,139
VG,290,0.0,449
VH,296,0.0,411
VHP,191,0.0,73
VK,388,0.0,617
VL,308,0.0,515
VLB,278,0.0,462
VNDC,273,0.0,410
VNDW,272,0.0,410
VP,221,0.0,145
VRY,285,0.0,463
VS,426,0.0,600
VSS,425,0.0,573
VST,293,0.0,496
VSV,264,0.0,172
VTN,245,0.0,381
VZ,198,0.0,74
WAD,278,0.0,461
WADN,279,0.0,461
WADT,277,0.0,461
WC,255,0.0,399
WD,254,0.0,303
WDN,191,0.0,84
WF,235,0.0,399
WFM,21,4.709677419354839,14
WH,165,0.0,63
