Station Code,Distance from OW,Services from/to OW,Disruptions on path to OW
AC,90,0.0,185
AH,44,7.935483870967742,42
AHP,45,0.0,299
AHPR,47,0.0,301
AHZ,36,7.903225806451613,56
AKL,61,0.0,120
AKM,197,0.0,442
ALM,115,0.0,162
ALMB,121,0.0,293
ALMM,114,0.0,161
ALMO,123,0.0,293
ALMP,117,0.0,293
AMF,87,0.0,149
AMFS,90,0.0,389
AML,128,0.0,368
AMPO,112,0.0,161
AMR,144,0.0,434
AMRI,130,0.0,438
AMRN,145,0.0,509
ANA,174,0.0,520
APD,91,0.0,302
APDM,90,0.0,303
APDO,94,0.0,337
APG,260,0.0,472
APN,101,0.0,159
ARN,150,0.0,448
ASA,99,0.0,149
ASB,95,0.0,149
ASD,105,0.0,149
ASDL,112,0.0,428
ASDM,101,0.0,186
ASDZ,101,0.0,152
ASHD,96,0.0,163
ASN,198,0.0,392
ASS,109,0.0,407
ASSP,102,0.0,200
ATN,96,0.0,336
AVAT,93,0.0,395
BD,61,28.258064516129032,89
BDE,142,0.0,190
BDG,93,0.0,150
BDM,241,0.0,461
BDPB,66,27.483870967741936,412
BET,40,0.0,119
BF,245,0.0,461
BGN,98,0.0,417
BHDV,72,0.0,140
BHV,75,0.0,149
BK,135,0.0,190
BKF,163,0.0,492
BKG,162,0.0,488
BKL,78,0.0,152
BL,182,0.0,397
BLL,127,0.0,444
BMN,66,0.0,302
BMR,50,0.0,56
BN,123,0.0,369
BNC,76,0.0,322
BNK,72,0.0,200
BNN,79,0.0,338
BNZ,74,0.0,322
BP,239,0.0,409
BR,85,0.0,85
BRD,98,0.0,270
BRN,90,0.0,173
BSD,47,0.0,119
BSK,107,0.0,240
BSKS,108,0.0,263
BSMZ,89,0.0,150
BTL,30,0.0,76
BV,134,0.0,467
BZL,130,0.0,448
CAS,132,0.0,431
CK,40,0.0,53
CL,48,0.0,119
CO,168,0.0,455
CPS,111,0.0,234
CVM,152,0.0,207
DA,139,0.0,438
DB,76,0.0,244
DDN,113,0.0,317
DDR,89,27.483870967741936,153
DDRS,86,0.0,151
DDZD,90,27.483870967741936,435
DEI,219,0.0,409
DID,63,0.0,299
DL,132,0.0,392
DLD,78,0.0,169
DLN,172,0.0,469
DMN,104,0.0,200
DMNZ,99,0.0,152
DN,72,0.0,142
DR,60,0.032258064516129,299
DRH,132,0.0,463
DRON,152,0.0,392
DRP,226,0.0,423
DT,123,0.0,340
DTC,74,0.0,319
DTCH,72,0.0,319
DTCP,122,0.0,340
DV,89,0.032258064516129,302
