Station Code,Distance from KBD,Services from/to KBD,Disruptions on path to KBD
OST,216,0.0,764
OT,85,0.0,341
OTB,165,0.0,695
OVN,159,0.0,201
OW,117,0.0,414
PMO,193,0.0,146
PMR,192,0.0,146
PMW,191,0.0,149
PT,184,0.0,510
RAI,169,0.0,199
RAT,250,0.0,524
RB,3,40.516129032258064,0
RD,376,0.0,608
RH,171,0.0,696
RHN,186,0.0,357
RL,212,0.0,700
RLB,83,0.0,221
RM,166,0.0,390
RS,106,0.0,414
RSD,32,39.54838709677419,0
RSN,232,0.0,698
RSW,109,0.0,176
RTA,100,0.0,75
RTB,89,21.64516129032258,122
RTD,90,21.64516129032258,5
RTN,95,0.0,75
RTST,85,0.0,122
RTZ,86,0.0,122
RV,177,0.0,439
RVS,126,0.0,435
SBK,198,0.0,471
SD,165,0.0,294
SDA,365,0.0,598
SDM,94,21.61290322580645,75
SDT,80,0.0,122
SDTB,77,0.0,122
SGL,222,0.0,457
SGN,213,0.0,327
SHL,157,0.0,75
SK,349,0.0,527
SKND,348,0.0,527
SM,171,0.0,439
SN,200,0.0,472
SOG,220,0.0,458
SPTN,164,0.0,201
SPTZ,162,0.0,201
SRN,184,0.0,468
SSH,136,0.0,201
ST,164,0.0,294
STD,191,0.0,439
STM,360,0.0,604
STV,378,0.0,535
STZ,163,0.0,294
SWD,349,0.0,592
SWK,274,0.0,574
TB,77,0.0,328
TBG,197,0.0,732
TBR,72,0.0,347
TBU,76,0.0,349
TG,171,0.0,391
TL,131,0.0,197
TPSW,129,0.0,197
TWL,211,0.0,764
UHM,373,0.0,608
UHZ,370,0.0,608
UST,365,0.0,607
UT,145,0.0,197
UTG,176,0.0,221
UTLN,141,0.0,278
UTLR,143,0.0,175
UTO,148,0.0,270
UTT,141,0.0,170
UTVR,144,0.0,278
UTZL,147,0.0,270
VB,116,0.0,220
VD,202,0.0,698
VDL,214,0.0,458
VDM,365,0.0,605
VEM,194,0.0,698
VG,102,0.0,384
VH,136,0.0,201
VHP,258,0.0,835
VK,223,0.0,458
VL,166,0.0,390
VLB,174,0.0,498
VNDC,178,0.0,356
VNDW,177,0.0,356
VP,167,0.0,696
VRY,181,0.0,499
VS,43,43.29032258064516,0
VSS,42,41.064516129032256,0
VST,123,0.0,194
VSV,204,0.0,732
VTN,139,0.0,161
VZ,251,0.0,834
WAD,122,0.0,160
WADN,123,0.0,160
WADT,121,0.0,160
WC,133,0.0,438
WD,130,0.0,160
WDN,240,0.0,705
WF,169,0.0,695
WFM,362,0.0,607
WH,223,0.0,774
WK,365,0.0,530
WL,186,0.0,715
WM,183,0.0,247
WP,177,0.0,321
WR,392,0.0,616
WS,370,0.0,607
WSM,354,0.0,593
WT,142,0.0,390
WTV,166,0.0,697
WV,287,0.0,524
WW,225,0.0,751
WWW,226,0.0,751
WZ,223,0.0,523
YPB,120,0.0,223
ZA,153,0.0,200
ZB,357,0.0,601
ZBM,112,0.0,414
ZD,178,0.0,146
ZDK,181,0.0,149
ZH,350,0.0,592
ZL,232,0.0,510
ZLSH,237,0.0,524
ZLW,55,0.064516129032258,0
ZP,190,0.0,698
ZTM,125,0.0,220
ZTMO,126,0.0,220
ZV,175,0.0,695
ZVB,47,0.064516129032258,0
ZVT,165,0.0,201
ZWD,72,0.0,122
ZZS,181,0.0,149
