Station Code,distance_HWZB,services_per_day_HWZB,n_of_disruptions_HWZB
AC,26,0,293
AH,107,0,560
AHP,108,0,817
AHPR,110,0,819
AHZ,115,0,817
AKL,97,0,477
AKM,199,0,431
ALM,41,0,279
ALMB,47,0,410
ALMM,40,0,300
ALMO,49,0,410
ALMP,43,0,410
AMF,56,0,280
AMFS,59,0,520
AML,153,0,586
AMPO,38,0,300
AMR,42,32.61290322580645,27
AMRI,155,0,656
AMRN,43,27.193548387096776,102
ANA,72,0,113
APD,99,0,520
APDM,100,0,555
APDO,102,0,555
APG,262,0,509
APN,52,0,94
ARN,198,0,309
ASA,17,1.1935483870967742,279
ASB,21,1.1935483870967742,279
ASD,11,57.483870967741936,21
ASDL,10,0,21
ASDM,15,0,279
ASDZ,23,0,279
ASHD,22,0,293
ASN,200,0,429
ASS,7,69.16129032258064,0
ASSP,16,0,293
ATN,159,0,854
AVAT,62,0,526
BD,125,0,273
BDE,222,0,539
BDG,60,0,175
BDM,243,0,498
BDPB,120,0,395
BET,120,0,468
BF,247,0,498
BGN,146,0.03225806451612903,278
BHDV,108,0,497
BHV,59,0,352
BK,215,0,539
BKF,61,0,85
BKG,60,0,81
BKL,48,0,296
BL,184,0,429
BLL,11,35.61290322580645,37
BMN,124,0,555
BMR,151,0,852
BN,162,0,656
BNC,75,0,521
BNK,58,0,352
BNN,72,0,520
BNZ,77,0,537
BP,241,0,441
BR,180,0,519
BRD,86,0,288
BRN,47,0,280
BSD,83,0,476
BSK,58,0,175
BSKS,59,0,198
BSMZ,35,0,311
BTL,110,0,425
BV,21,35.61290322580645,57
BZL,178,0,309
CAS,30,32.61290322580645,24
CK,141,0,849
CL,68,0,380
CO,177,0,458
CPS,83,0,283
CVM,232,0,556
DA,164,0,656
DB,62,0,352
DDN,157,0,570
DDR,95,0.03225806451612903,273
DDRS,98,0,390
DDZD,96,0,390
DEI,221,0,441
DID,126,0,817
DL,134,0,438
DLD,59,0,294
DLN,181,0,472
DMN,18,0,293
DMNZ,21,0,319
DN,152,0,491
DR,123,0,817
DRH,16,35.61290322580645,56
DRON,90,0,424
DRP,228,0,455
DT,61,0.03225806451612903,102
DTC,137,0,837
DTCH,135,0,837
DTCP,62,0,203
DV,114,0,520
DVC,118,0,586
DVD,19,1.1935483870967742,316
DVN,116,0,819
DVNK,40,0.03225806451612903,87
DWE,234,0,441
DZ,266,0,527
DZW,265,0,527
EC,195,0,536
ED,90,0,538
EDC,88,0,537
EDN,237,0,540
EEM,273,0,526
EGH,231,0,555
EGHM,232,0,555
EHS,129,0,544
EHV,130,0,425
EKZ,64,0,93
EML,79,0,523
EMN,197,0,473
EMNZ,193,0,472
ES,170,0,622
ESK,166,0,622
EST,118,0,817
ETN,136,0,596
FN,234,0,441
FWD,231,0,441
GBG,170,0,458
GD,70,1.1935483870967742,198
GDG,73,0,283
GDM,76,0,433
GDR,142,0,854
GERP,226,0,482
GK,247,0,497
GLN,211,0,538
GN,228,0,482
GND,109,0,393
GNN,232,0,497
GO,147,0,562
GP,136,0,487
GR,102,0,495
GS,183,0.03225806451612903,309
GV,53,0.03225806451612903,87
GVC,52,1.1935483870967742,87
GVM,48,0,172
GVMW,54,0,102
GW,204,0,431
GZ,131,0,440
HAD,12,0.06451612903225806,37
HB,222,0,569
HBZM,106,0,393
HD,83,0,523
HDB,164,0,445
HDE,104,0,520
HDG,227,0,441
HDR,84,0,122
HDRZ,83,0,122
HFD,27,0,71
HGL,162,0,603
HGLG,160,0,603
HGLO,164,0,622
HGV,170,0,424
HGZ,239,0,505
HIL,19,0,77
HK,24,35.61290322580645,75
HKS,56,0,77
HLG,243,0,442
HLGH,244,0,446
HLM,8,70.80645161290323,0
HLMS,7,69.12903225806451,0
HLO,37,32.61290322580645,27
HM,143,0,487
HMBH,144,0,491
HMBV,140,0,487
HMH,142,0,487
HMN,107,0,479
HN,46,27.193548387096776,21
HNK,47,0,77
HNO,134,0,438
HNP,259,0,444
HON,133,0,586
HOR,46,0,280
HR,188,0,424
HRL,226,0,538
HRLW,228,0,555
HRN,222,0,482
HRT,170,0,519
HT,98,0,352
HTN,58,0,352
HTNC,59,0,380
HTO,99,0,425
HVL,62,0,520
HVS,40,0,279
HVSM,39,0,344
HVSP,41,0,280
HWD,49,27.193548387096776,103
HWZB,0,0,0
HZE,141,0,493
IJT,242,0,442
KBD,165,0,309
KBK,108,0,556
KLP,84,0,352
KMA,21,0,34
KMR,234,0,555
KMW,264,0,449
KPN,137,0,435
KPNZ,107,0,425
KRD,234,0,566
KRG,172,0,309
KTR,100,0,476
KW,236,0,509
KZ,15,0,24
LAA,51,0.03225806451612903,87
LC,134,0,555
LDL,38,0,87
LDM,90,0,477
LEDN,37,1.935483870967742,77
LG,229,0,555
LLS,65,0,410
LLZM,67,0,119
LP,254,0,515
LTN,82,0,537
LTV,152,0,557
LUT,211,0,538
LW,217,0,424
LWC,220,0,441
MAS,43,0,293
MDB,202,0.03225806451612903,309
MES,234,0,540
MG,227,0,441
MMLH,136,0,838
MP,150,0,435
MRB,156,0,442
MRN,70,0,384
MT,228,0,538
MTH,237,0,511
MTN,231,0,540
MTR,229,0,540
MZ,151,0,498
NDB,34,0,300
NH,219,0,569
NKK,67,0,520
NM,126,0,817
NMD,131,0,838
NMGO,129,0,838
NMH,129,0,838
NML,125,0,831
NS,95,0,520
NSCH,272,0,518
NVD,154,0,435
NVP,32,0,199
NWK,79,0,283
O,117,0,425
OBD,55,27.193548387096776,113
ODB,126,0,395
ODZ,173,0,622
OMN,145,0,442
OP,104,0,479
OST,124,0,586
OT,119,0,468
OTB,103,0,560
OVN,10,19.870967741935484,37
OW,116,0,428
PMO,28,0,22
PMR,27,0,21
PMW,26,0,24
PT,74,0,523
RAI,22,0,319
RAT,140,0,435
RB,162,0,309
RD,266,0,519
RH,117,0,820
RHN,93,0,387
RL,139,0,557
RLB,82,0,282
RM,182,0,487
RS,105,0,428
RSD,133,0.03225806451612903,273
RSN,140,0,586
RSW,56,0,102
RTA,84,0,283
RTB,76,0.03225806451612903,273
RTD,75,0.03225806451612903,203
RTN,80,0,273
RTST,80,0,282
RTZ,79,0,282
RV,193,0,536
RVS,125,0,446
SBK,214,0,568
SD,51,0,294
SDA,255,0,509
SDM,71,0.03225806451612903,203
SDT,105,0,392
SDTB,102,0,392
SGL,238,0,554
SGN,63,0,113
SHL,22,0,21
SK,239,0,441
SKND,238,0,441
SM,187,0,536
SN,216,0,569
SOG,236,0,555
SPTN,15,35.61290322580645,55
SPTZ,13,35.61290322580645,55
SRN,200,0,565
SSH,43,0,199
ST,52,0,294
STD,207,0,536
STM,250,0,515
STV,268,0,449
STZ,53,0,294
SWD,239,0,503
SWK,164,0,485
TB,120,0,425
TBG,143,0,854
TBR,125,0,438
TBU,121,0,438
TG,187,0,572
TL,88,0,476
TPSW,86,0,476
TWL,109,0,555
UHM,263,0,519
UHZ,260,0,519
UST,255,0,518
UT,50,0,279
UTG,26,35.61290322580645,59
UTLN,54,0,352
UTLR,53,0,352
UTO,53,0,352
UTT,55,0,352
UTVR,51,0,352
UTZL,48,0,296
VB,55,0,116
VD,129,0,555
VDL,230,0,555
VDM,255,0,516
VEM,113,0,557
VG,102,0,425
VH,29,0.1935483870967742,80
VHP,162,0,445
VK,239,0,555
VL,182,0,571
VLB,158,0,880
VNDC,85,0,386
VNDW,84,0,386
VP,113,0,820
VRY,165,0,881
VS,208,0.03225806451612903,311
VSS,207,0,311
VST,42,0,172
VSV,150,0,854
VTN,57,0,357
VZ,159,0,656
WAD,62,0,198
WADN,61,0,198
WADT,63,0,198
WC,132,0,449
WD,66,0.03225806451612903,352
WDN,148,0,593
WF,99,0,560
WFM,252,0,518
WH,131,0,596
WK,255,0,444
WL,132,0,837
WM,19,0,24
WP,25,0,294
WR,282,0,527
WS,260,0,518
WSM,244,0,504
WT,158,0,487
WTV,112,0,819
WV,177,0,424
WW,162,0,569
WWW,161,0,569
WZ,113,0,533
YPB,59,0,119
ZA,110,0,479
ZB,247,0,512
ZBM,85,0,476
ZD,13,0,21
ZDK,16,0,24
ZH,240,0,503
ZL,122,0,421
ZLSH,127,0,435
ZLW,110,0,390
ZP,117,0,555
ZTM,64,0,116
ZTMO,65,0,119
ZV,121,0,817
ZVB,118,0,395
ZVT,16,19.870967741935484,38
ZWD,93,0,387
ZZS,16,0,24
